match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,from,player_id,player_name,playerName,reason,rescinded
11369793,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11369793,,,,,90,0.0,,1,,,injuryTime,7.0,,,,,,,,,,
11369793,,,,,89,,,2,,,substitution,,121910243.0,True,True,injury,,,,,,
11369793,,1.0,1.0,,84,,,7,,,goal,,170663171.0,,False,penalty,penalty,1473154.0,Nathaniel Opoku,,,
11369793,,,,,81,,,10,,,substitution,,121910228.0,False,False,regular,,,,,,
11369793,,,,,81,,,10,,,substitution,,121910227.0,False,False,regular,,,,,,
11369793,,,,,79,,,12,,,card,,120833401.0,,True,yellow,,845344.0,Daan Heymans,Daan Heymans,Argument,False
11369793,,,,,78,,,13,,,substitution,,121910226.0,False,True,regular,,,,,,
11369793,,,,,72,,,19,,,substitution,,121910214.0,False,False,regular,,,,,,
11369793,,,,,62,,,29,,,card,,120833358.0,,False,yellow,,360652.0,Mathieu Maertens,Mathieu Maertens,Argument,False
11369793,,,,,52,,,39,,,card,,120833348.0,,True,yellow,,358198.0,Marco Ilaimaharitra,Marco Ilaimaharitra,Foul,False
11369793,,,,,46,,,45,,,substitution,,121910038.0,False,False,regular,,,,,,
11369793,,,,,46,,,45,,,substitution,,121910037.0,False,False,regular,,,,,,
11369793,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11369793,,,,,45,0.0,,1,,,injuryTime,5.0,,,,,,,,,,
11369793,,,,,39,,,7,,,card,,120833262.0,,True,yellow,,789000.0,Isaac Mbenza,Isaac Mbenza,Time wasting,False
11369793,,,,,17,,,29,,,card,,120833188.0,,True,red,,1029748.0,Nikola Štulić,Nikola Štulić,Violent conduct,False
11369793,,1.0,0.0,,9,,,37,,,goal,,170661543.0,,True,regular,,920458.0,Oday Dabbagh,,,
