match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_keyPass,stat_aerialLost,stat_totalContest,stat_totalClearance,stat_unsuccessfulTouch,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_bigChanceCreated,stat_dispossessed,stat_wasFouled,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_clearanceOffLine,stat_outfielderBlock,stat_hitWoodwork
14109640,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187.0,289,M,190179,EUR,806803200,G,1,1,False,19.0,15.0,4.0,0.0,15.0,17.0,2.0,3.0,2.0,90.0,22.0,5.6,4.0,6.865e-05,-0.0006,0,-0.4077,0.02,-0.01,-0.2,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109640,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178.0,204,M,140735,EUR,684028800,D,18,18,False,33.0,28.0,3.0,0.0,15.0,17.0,16.0,,,39.0,39.0,6.5,7.0,0.0502204,,0,,0.18,0.03,-0.24,,True,2.0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109640,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185.0,293,M,187231,EUR,817862400,D,37,37,False,69.0,63.0,4.0,0.0,43.0,45.0,24.0,2.0,,90.0,77.0,6.3,9.0,0.0131057,,0,,0.24,0.1,-0.33,,,2.0,20.0,,,2.0,6.0,2.0,,,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14109640,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185.0,366,M,803023,EUR,914112000,D,4,4,False,84.0,75.0,9.0,0.0,44.0,46.0,38.0,7.0,,90.0,102.0,7.0,12.0,0.11159,,2,,0.48,0.16,-0.31,,,5.0,31.0,1.0,,1.0,3.0,5.0,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.089,-0.4,,,,,,,,,,,,,,,,
14109640,home,Samsunspor,Logi Tomasson,logi-tomasson,L. Tómasson,D,17,182.0,205,M,858266,EUR,968803200,D,17,17,False,27.0,22.0,1.0,0.0,8.0,9.0,18.0,4.0,,85.0,54.0,6.2,14.0,0.147144,,1,,0.02,0.05,-0.3,,,1.0,14.0,5.0,,1.0,1.0,2.0,,,,,2.0,3.0,,1.0,,1.0,1.0,1.0,0.0519,-0.08,,,,,,,,,,,,,,,,
14109640,home,Samsunspor,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186.0,539,M,920391,EUR,900720000,M,29,29,False,32.0,30.0,3.0,0.0,19.0,19.0,13.0,6.0,,45.0,37.0,6.7,2.0,0.177623,,0,,0.29,0.05,-0.08,,,2.0,11.0,,,,3.0,2.0,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,
14109640,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180.0,801,M,352676,EUR,823824000,M,10,10,False,56.0,47.0,5.0,0.0,15.0,19.0,37.0,6.0,,90.0,71.0,7.2,12.0,0.0655812,,4,,0.39,0.19,-0.15,,,2.0,32.0,,,2.0,2.0,7.0,1.0,,,2.0,,2.0,2.0,4.0,1.0,1.0,1.0,,0.145,-0.32,,,,1.0,2.0,,,,,,,,,,,
14109640,home,Samsunspor,Anthony Musaba,anthony-musaba,A. Musaba,F,20,182.0,2507,M,979473,EUR,976060800,M,7,7,False,28.0,21.0,,0.0,7.0,7.0,21.0,4.0,,90.0,44.0,6.6,15.0,0.0797391,,1,,0.32,0.13,-0.12,,,,14.0,4.0,1.0,,4.0,3.0,,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,,,1.0,0.0328,-0.06,,,,2.0,1.0,,,,,,,,,,,
14109640,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177.0,633,M,837012,EUR,928281600,M,21,21,False,37.0,29.0,3.0,0.0,10.0,10.0,27.0,2.0,,90.0,57.0,7.4,15.0,0.031826,,3,,-0.25,0.32,-0.22,,,,19.0,4.0,,,6.0,6.0,2.0,,1.0,4.0,,1.0,3.0,,,,,1.0,0.157,0.53,,,,1.0,3.0,1.0,2.0,1.0,0.2864,,,,,,,
14109640,home,Samsunspor,Afonso Sousa,sousa-afonso,A. Sousa,M,77,170.0,619,M,855672,EUR,957312000,M,77,77,False,35.0,31.0,1.0,0.0,14.0,15.0,20.0,2.0,,72.0,47.0,6.6,9.0,0.0406728,,1,,0.16,0.22,-0.12,,,1.0,17.0,1.0,,1.0,4.0,4.0,1.0,,1.0,2.0,,2.0,1.0,,,,,,0.1268,-0.23,,,,1.0,2.0,1.0,,,,1.0,,,,,,
