match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_clearanceOffLine,stat_lastManTackle,player_firstName,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_goals,stat_errorLeadToAShot
14572701,home,Fenerbahçe,Ederson,ederson,Ederson,G,31,188.0,48446,M,Ederson93,254491,EUR,745545600,G,31,31,False,27.0,24.0,9.0,6.0,0.0,20.0,21.0,4.0,6.0,1.0,3.0,2.0,5.0,2.0,90.0,35.0,7.0,5.0,0.00190756,29.745607854249,5.0,14.385,5.25,0.4533,0,-0.2281,0.06,0.0,-0.17,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572701,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184.0,2870,M,,836683,EUR,923097600,D,18,18,False,34.0,24.0,5.0,2.0,0.0,14.0,17.0,10.0,17.0,,4.0,1.0,6.0,,90.0,58.0,6.8,16.0,0.0556764,79.86126263443,10.0,20.055,21.42,,0,,-0.01,0.05,0.25,,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,21.472177719086,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14572701,home,Fenerbahçe,Milan Škriniar,milan-skriniar,M. Škriniar,D,37,187.0,9862,M,milanskriniar,187205,EUR,792460800,D,37,37,False,64.0,59.0,5.0,2.0,0.0,34.0,34.0,25.0,30.0,,2.0,1.0,1.0,,90.0,88.0,8.9,6.0,0.0138304,128.4880620197,17.0,68.46,17.955,,0,,0.14,0.1,1.0,,,,,5.0,,,14.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
14572701,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189.0,3123,M,,1048324,EUR,988243200,D,24,24,False,56.0,53.0,5.0,4.0,0.0,31.0,31.0,22.0,25.0,2.0,7.0,,2.0,,90.0,73.0,6.3,9.0,0.0141183,234.35856278029,28.0,132.405,27.09,,0,,0.01,0.13,-0.16,,1.0,,2.0,3.0,,2.0,6.0,,3.0,,,,1.0,3.0,57.601631724586,3.0,,,,,Jayden Oosterwolde,,,,,,,,,,,,,,,,,,
14572701,home,Fenerbahçe,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7755,M,nelsonsemedo50,252821,EUR,753408000,D,27,27,False,23.0,21.0,2.0,2.0,0.0,12.0,13.0,9.0,10.0,2.0,4.0,,4.0,,56.0,44.0,6.7,10.0,0.0116498,123.42815631064,15.0,40.005,25.2,,0,,-0.16,0.09,-0.02,,2.0,,,5.0,1.0,3.0,1.0,1.0,,2.0,2.0,3.0,1.0,,25.65832387355,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
14572701,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183.0,3147,M,,952600,EUR,917308800,M,5,5,False,62.0,53.0,4.0,1.0,0.0,30.0,32.0,23.0,30.0,,3.0,1.0,12.0,,73.0,83.0,8.8,11.0,0.0213633,210.32931428237,24.0,121.38,20.16,,1,,0.22,0.31,1.0,,,,3.0,13.0,,1.0,4.0,,2.0,7.0,3.0,2.0,2.0,2.0,60.304634576951,4.0,1.0,,,1.0,,,1.0,1.0,0.0286,0.0598,-0.14,,,,,,,,,,,,
14572701,home,Fenerbahçe,Fred,fred,Fred,M,7,169.0,11619,M,fred08,243623,EUR,731289600,M,7,7,False,97.0,91.0,9.0,7.0,0.0,41.0,42.0,50.0,55.0,1.0,5.0,1.0,8.0,,90.0,110.0,7.6,8.0,0.474427,346.40571028441,42.0,201.81,28.14,,2,,0.61,0.27,-0.06,,1.0,,,3.0,,,1.0,,3.0,,,1.0,3.0,3.0,122.73926095627,6.0,1.0,,,,,,,1.0,0.0553,0.01,-0.1,1.0,1.0,,,,,,,,,,
14572701,home,Fenerbahçe,Dorgeles Nene,nene-dorgeles,D. Nene,F,45,174.0,10361,M,d.nene10,1102788,EUR,1040601600,M,45,45,False,17.0,17.0,,,0.0,7.0,7.0,10.0,10.0,,1.0,,1.0,,56.0,25.0,6.8,2.0,0.0148565,59.139028276571,5.0,36.12,16.59,,0,,-0.12,0.09,0.0,,1.0,,,5.0,1.0,,,,,4.0,2.0,,1.0,,31.545932499527,2.0,1.0,,,,Nene Dorgeles,,,,,,,,,2.0,,,,,,,,,
14572701,home,Fenerbahçe,Marco Asensio,marco-asensio,M. Asensio,F,21,182.0,31813,M,marcoasensio10,361004,EUR,822182400,M,21,21,False,44.0,34.0,3.0,2.0,0.0,9.0,11.0,25.0,33.0,,3.0,,4.0,,90.0,59.0,7.7,15.0,0.607184,154.24971150432,21.0,29.505,14.595,,2,,0.69,0.19,-0.11,,3.0,1.0,,5.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,15.001368237598,1.0,2.0,,,,,,3.0,1.0,0.0899,0.5575,0.12,1.0,,,1.0,,,,,,,,
14572701,home,Fenerbahçe,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173.0,24917,M,KAktürkoğlu,903324,EUR,908928000,M,9,9,False,12.0,9.0,,,0.0,3.0,4.0,6.0,8.0,1.0,3.0,,5.0,,90.0,29.0,6.4,13.0,0.0194813,120.62332743836,13.0,21.525,13.965,,1,,-0.15,0.32,-0.05,,3.0,,,4.0,1.0,3.0,,,,,,5.0,2.0,,31.873161324513,2.0,,,,,,,2.0,1.0,0.1972,0.0774,-0.23,,,1.0,,1.0,,,,,,,
