match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,captain,stat_totalOffside,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded
10411560,home,Cremonese,Mouhamadou Sarr,mouhamadou-sarr,M. Sarr,G,1,190.0,144,M,954291,EUR,852422400,G,45,45,False,36.0,24.0,23.0,12.0,15.0,17.0,9.0,19.0,2.0,8.0,1.0,1.0,1.0,90.0,47.0,7.2,14.0,0.0,0.0,0.00888483,0,0.4229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411560,home,Cremonese,Emanuel Aiwu,emanuel-aiwu,E. Aiwu,D,47,187.0,218,M,924690,EUR,977702400,D,4,4,False,56.0,49.0,5.0,2.0,40.0,43.0,9.0,13.0,1.0,12.0,,,,90.0,64.0,7.0,9.0,0.0,0.0,0.00440871,0,,,,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10411560,home,Cremonese,Vlad Chiricheş,vlad-chiriches,V. Chiricheş,M,21,184.0,782,M,69295,EUR,627004800,D,21,21,False,8.0,8.0,,,5.0,5.0,3.0,3.0,,2.0,,,,12.0,10.0,6.9,,0.0,0.0,0.00083359,0,,,,1.0,,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411560,home,Cremonese,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185.0,4788,M,889785,EUR,909014400,D,5,5,False,49.0,41.0,6.0,2.0,27.0,31.0,14.0,18.0,2.0,7.0,,,,90.0,65.0,7.8,9.0,0.0371,0.0,0.0297015,1,,,,4.0,2.0,9.0,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10411560,home,Cremonese,Paolo Ghiglione,ghiglione-paolo,P. Ghiglione,M,18,188.0,100,M,787642,EUR,854841600,M,18,18,False,35.0,26.0,7.0,3.0,17.0,19.0,12.0,20.0,1.0,7.0,,,,82.0,53.0,6.4,15.0,0.176,0.0,0.0851193,1,,,,,8.0,5.0,,,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,,,1.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,
10411560,home,Cremonese,Charles Pickel,charles-pickel,C. Pickel,M,18,184.0,11753,M,758664,EUR,863654400,M,6,6,False,30.0,21.0,,,10.0,10.0,11.0,21.0,,6.0,,,,90.0,46.0,6.8,13.0,0.0,0.0,0.016488,0,,,,2.0,14.0,6.0,1.0,2.0,4.0,1.0,,4.0,8.0,,1.0,,,,1.0,2.0,1.0,,,,charlespickel,,,,,,,,,,
10411560,home,Cremonese,Soualiho Meïté,soualiho-meite,S. Meïté,M,8,187.0,963,M,139229,EUR,763862400,M,28,28,False,43.0,38.0,5.0,3.0,24.0,26.0,14.0,17.0,,9.0,,,,90.0,60.0,7.1,8.0,0.0285,0.0,0.0107251,1,,,,2.0,9.0,12.0,1.0,,2.0,2.0,4.0,3.0,2.0,2.0,5.0,4.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,
10411560,home,Cremonese,Pablo Galdames,pablo-galdames,P. Galdames,M,4,177.0,1069,M,386230,EUR,851904000,M,27,27,False,10.0,8.0,2.0,1.0,3.0,3.0,5.0,8.0,,,,,,18.0,12.0,6.6,3.0,0.0,0.0,0.0047127,0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10411560,home,Cremonese,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180.0,818,M,891346,EUR,912988800,M,3,3,False,24.0,19.0,3.0,2.0,9.0,10.0,10.0,18.0,,5.0,,,,90.0,48.0,6.6,15.0,0.0289,0.0,0.0383673,1,,,,,7.0,2.0,2.0,3.0,2.0,2.0,,1.0,,2.0,2.0,,,1.0,,1.0,4.0,,,1.0,,,,,,,,,,,
10411560,home,Cremonese,Cristian Buonaiuto,cristian-buonaiuto,C. Buonaiuto,F,92,179.0,57,M,126989,EUR,725587200,F,10,10,False,10.0,8.0,,,4.0,4.0,4.0,8.0,,1.0,,,,45.0,21.0,7.4,8.0,0.8149,0.9835,0.00363406,2,,,,,1.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,
