match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_keyPass,stat_totalContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_errorLeadToAGoal,stat_bigChanceMissed
12504706,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,36.0,10.0,36.0,10.0,0.0,1.0,1.0,9.0,35.0,3.0,3.0,1.0,1.0,1.0,1.0,90.0,41.0,6.2,26.0,0.00435521,0,-0.8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504706,home,Hellas Verona,Flavius Daniliuc,flavius-daniliuc,F. Daniliuc,D,24,186,441,M,901885,EUR,988329600,D,4,4,False,23.0,18.0,2.0,1.0,0.0,12.0,14.0,6.0,9.0,2.0,4.0,,,,,87.0,31.0,6.5,6.0,0.00134595,0,,,,3.0,3.0,4.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504706,home,Hellas Verona,Giangiacomo Magnani,giangiacomo-magnani,G. Magnani,D,96,190,252,M,812829,EUR,812764800,D,23,23,False,32.0,24.0,9.0,3.0,0.0,17.0,17.0,7.0,15.0,9.0,5.0,,,,,90.0,47.0,7.3,8.0,0.00458684,1,,,,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,0.3224,0.9156,,,,,,,,,,,,,,,,,,
12504706,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,False,33.0,28.0,5.0,2.0,0.0,19.0,22.0,9.0,11.0,3.0,2.0,,,,,90.0,47.0,7.1,5.0,0.00359991,0,,,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,,1.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,,,
12504706,home,Hellas Verona,Domagoj Bradarić,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,897594,EUR,944784000,D,12,12,False,31.0,25.0,3.0,1.0,0.0,16.0,19.0,9.0,12.0,4.0,5.0,,,,,90.0,54.0,6.3,11.0,0.0475982,1,,,,,,5.0,3.0,2.0,1.0,3.0,,,,2.0,0.0132,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
12504706,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,38.0,28.0,5.0,2.0,1.0,14.0,17.0,15.0,23.0,,9.0,,,,,90.0,59.0,7.2,16.0,0.281131,1,,,,1.0,,5.0,6.0,1.0,1.0,1.0,,,1.0,1.0,0.0144,,1.0,2.0,3.0,,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,
12504706,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183,687,M,800408,EUR,860716800,M,25,25,False,26.0,21.0,1.0,1.0,0.0,9.0,12.0,12.0,14.0,1.0,6.0,,,,,87.0,46.0,7.4,8.0,0.0185967,1,,,,1.0,2.0,4.0,12.0,4.0,2.0,2.0,,,,1.0,0.0579,,1.0,1.0,4.0,,2.0,4.0,,,1.0,4.0,,1.0,,,,,,
12504706,home,Hellas Verona,Tomáš Suslov,tomas-suslov,T. Suslov,F,31,175,1258,M,964154,EUR,1023408000,M,31,31,False,14.0,10.0,1.0,1.0,0.0,4.0,6.0,6.0,8.0,,1.0,,,,,77.0,26.0,6.7,7.0,0.00811179,0,,,,,1.0,4.0,5.0,1.0,1.0,2.0,,,,1.0,,,1.0,,2.0,,2.0,1.0,,,1.0,2.0,,,,,,,,
12504706,home,Hellas Verona,Grigoris Kastanos,grigoris-kastanos,G. Kastanos,M,28,179,526,M,791566,EUR,886118400,M,20,20,False,15.0,11.0,,,0.0,3.0,4.0,8.0,11.0,,4.0,,,,,62.0,22.0,6.2,8.0,0.0030507,0,,,,1.0,3.0,6.0,4.0,1.0,1.0,1.0,,,,,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,
12504706,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,False,25.0,17.0,2.0,1.0,0.0,3.0,3.0,14.0,24.0,4.0,2.0,,,,,90.0,38.0,6.7,11.0,0.00931399,0,,,,2.0,,3.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,2.0,,1.0,,,,True,1.0,,,,
