match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_fouls,player_sofascoreId,stat_errorLeadToAShot,stat_goalAssist,stat_accurateCross,stat_goals,stat_totalOffside,stat_hitWoodwork
11399502,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,50.0,30.0,35.0,15.0,24.0,28.0,6.0,22.0,2.0,11.0,1.0,3.0,5.0,1.0,90.0,64.0,6.9,20.0,0.0,0.0,0.00109052,0,-1.4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,D,2,2,False,42.0,33.0,3.0,1.0,20.0,24.0,13.0,21.0,1.0,5.0,,,,,90.0,59.0,6.4,13.0,0.0,0.0,0.03923,0,,,,3.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Jeffrey Bruma,jeffrey-bruma,J. Bruma,D,,190,56,M,87223,EUR,689990400,D,25,25,False,34.0,25.0,5.0,2.0,20.0,25.0,5.0,9.0,3.0,3.0,,,,,82.0,50.0,6.3,10.0,0.0397,0.0,0.0017933,1,,,,,3.0,3.0,4.0,,,,1.0,2.0,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Jurien Gaari,jurien-gaari,J. Gaari,D,3,181,58,M,884944,EUR,756604800,D,23,23,False,48.0,43.0,7.0,4.0,36.0,38.0,7.0,10.0,2.0,5.0,,,,,90.0,60.0,6.0,8.0,0.0,0.0,0.00518205,0,,,,,1.0,4.0,2.0,,,,1.0,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,28,28,False,46.0,31.0,7.0,3.0,17.0,24.0,14.0,23.0,3.0,8.0,,,,,90.0,71.0,5.9,17.0,0.0,0.0,0.0355073,0,,Aaron,Meijers,1.0,2.0,9.0,5.0,7.0,,,3.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Denilho Cleonise,denilho-cleonise,D. Cleonise,F,7,179,62,M,971006,EUR,1007769600,M,7,7,False,14.0,11.0,1.0,,4.0,5.0,7.0,11.0,,1.0,,,,,61.0,22.0,6.3,8.0,0.0161,0.0,0.0120406,1,,,,2.0,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Kevin Felida,kevin-felida,K. Felida,M,6,172,104,M,896215,EUR,942278400,M,35,35,False,28.0,24.0,3.0,3.0,17.0,20.0,7.0,8.0,1.0,11.0,,,,,90.0,49.0,6.6,9.0,0.0215,0.0,0.00744717,1,,,,,,4.0,5.0,,1.0,,3.0,3.0,2.0,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,24.0,18.0,5.0,2.0,9.0,10.0,9.0,14.0,,6.0,,,,,71.0,33.0,7.0,6.0,0.0,0.0,0.0153104,0,,,,,,2.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,,,,,,2.0,,,,,,,,,,,,,,
11399502,home,RKC Waalwijk,Zakaria Bakkali,zakaria-bakkali,Z. Bakkali,M,99,168,156,M,285941,EUR,822614400,M,11,11,False,16.0,12.0,1.0,,3.0,5.0,9.0,12.0,,3.0,,,,,61.0,38.0,6.8,12.0,0.2875,0.0,0.0289333,2,,,,1.0,,3.0,8.0,1.0,2.0,2.0,,3.0,2.0,1.0,,1.0,,,5.0,3.0,2.0,1.0,1.0,,,,,,,,,,,
11399502,home,RKC Waalwijk,David Min,david-min,D. Min,F,9,194,359,M,966429,EUR,930096000,F,9,9,False,16.0,12.0,2.0,1.0,3.0,5.0,9.0,11.0,1.0,3.0,,,,,62.0,22.0,6.6,7.0,0.0,0.0,0.472781,0,,,,,,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
