match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_goalAssist,stat_blockedScoringAttempt,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_goals,stat_wasFouled,stat_penaltyWon,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside
11368654,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,25,25,False,23.0,18.0,8.0,3.0,16.0,18.0,2.0,5.0,1.0,5.0,1.0,1.0,90.0,29.0,6.2,5.0,0.00084001,0,-1.2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Javier Manquillo,javier-manquillo,J. Manquillo,D,2,180,210,M,210082,EUR,768096000,D,22,22,False,37.0,36.0,1.0,,13.0,14.0,23.0,24.0,,3.0,,,45.0,40.0,6.6,2.0,0.0122816,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Carl Starfelt,carl-starfelt,C. Starfelt,D,2,185,781,M,360718,EUR,801964800,D,2,2,False,50.0,49.0,,,39.0,39.0,10.0,11.0,3.0,5.0,,,90.0,62.0,6.9,2.0,0.00176751,0,,,,4.0,3.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Jailson,jailson,Jailson,D,,187,384,M,794861,EUR,810432000,D,16,16,False,72.0,66.0,6.0,5.0,39.0,40.0,27.0,32.0,1.0,10.0,,,90.0,79.0,6.6,7.0,0.0171013,0,,,7.0,4.0,1.0,2.0,2.0,,2.0,,1.0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,80.0,79.0,2.0,2.0,22.0,23.0,58.0,65.0,1.0,3.0,,,90.0,98.0,8.2,11.0,0.534032,1,,8.0,1.0,3.0,,3.0,1.0,1.0,,,2.0,,,,,1.0,2.0,1.0,0.0271,4.0,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Damián Rodríguez,damian-rodriguez,D. Rodríguez,M,23,180,272,M,1216080,EUR,1047859200,M,34,34,False,46.0,44.0,,,12.0,12.0,33.0,36.0,,2.0,,,45.0,51.0,7.2,3.0,0.54254,1,,2.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,0.0265,1.0,1.0,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,57.0,57.0,1.0,1.0,23.0,23.0,35.0,36.0,1.0,4.0,,,80.0,69.0,7.2,2.0,0.0875816,2,,2.0,4.0,3.0,,3.0,,1.0,,1.0,1.0,,,,3.0,1.0,,1.0,0.0582,4.0,,1.0,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Hugo Álvarez,hugo-alvarez,H. Álvarez,M,23,176,698,M,1154935,EUR,1057104000,M,33,33,False,36.0,33.0,2.0,,7.0,7.0,26.0,29.0,,4.0,,,80.0,50.0,6.2,8.0,0.0754591,1,,,7.0,3.0,,2.0,,1.0,,,2.0,Hugo Álvarez,,,3.0,,,,0.1384,1.0,,,2.0,2.0,1.0,1.0,1.0,0.1775,,,,,,,,,,
11368654,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5000,M,19356,EUR,554774400,F,10,10,False,60.0,56.0,4.0,2.0,9.0,9.0,49.0,53.0,,3.0,,,90.0,70.0,9.2,7.0,0.922667,2,,2.0,2.0,2.0,,,,,,,2.0,,,1.0,,2.0,2.0,1.0,1.2089,7.0,1.0,,1.0,,,1.0,1.0,0.9004,i.aspas10,True,1.0,2.0,1.0,,,,,
11368654,home,Celta Vigo,Jørgen Strand Larsen,jorgen-strand-larsen,J. S. Larsen,F,22,193,4810,M,876599,EUR,949795200,F,18,18,False,21.0,19.0,,,8.0,8.0,12.0,14.0,,2.0,,,90.0,35.0,6.5,7.0,0.0923001,6,,1.0,2.0,1.0,,,,,1.0,,4.0,,,1.0,,1.0,,2.0,1.9132,,,1.0,,1.0,,3.0,3.0,0.8468,,,1.0,,,1.0,,,,
11368654,home,Celta Vigo,Williot Swedberg,williot-swedberg,W. Swedberg,M,19,185,4221,M,1126779,EUR,1075593600,F,19,19,False,10.0,8.0,,,3.0,3.0,5.0,9.0,,,,,65.0,24.0,6.5,9.0,0.0146445,3,,2.0,5.0,3.0,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,0.1077,,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,
11368654,home,Celta Vigo,Mihailo Ristić,mihailo-ristic,M. Ristić,D,21,180,595,M,363774,EUR,815097600,D,21,21,True,38.0,33.0,2.0,,15.0,16.0,19.0,24.0,2.0,4.0,,,45.0,50.0,6.5,9.0,0.0156901,1,,2.0,3.0,1.0,1.0,,,2.0,,,2.0,,,,,1.0,,1.0,0.0238,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11368654,home,Celta Vigo,Luca De La Torre,luca-de-la-torre,L. D. L. Torre,M,14,178,551,M,846492,EUR,895881600,M,14,14,True,37.0,33.0,2.0,1.0,5.0,6.0,28.0,31.0,,,,,45.0,45.0,6.8,6.0,0.0651501,2,,,4.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,1.0,0.1153,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,
11368654,home,Celta Vigo,Franco Cervi,franco-cervi,F. Cervi,M,11,165,1013,M,557008,EUR,769910400,M,11,11,True,22.0,22.0,,,6.0,6.0,16.0,17.0,,4.0,,,25.0,27.0,7.3,1.0,0.0591507,2,,1.0,,1.0,,,,,,,,,,,,,1.0,2.0,0.2008,2.0,,,,,,,,,,,,1.0,,,,,,
11368654,home,Celta Vigo,Carles Pérez,carles-perez,C. Pérez,M,7,172,1038,M,794950,EUR,887587200,F,7,7,True,6.0,6.0,,,3.0,3.0,3.0,3.0,,,,,10.0,9.0,6.8,,0.00127501,1,,,1.0,,,,,,,1.0,,,,,1.0,,,,0.0493,,,,,,,,1.0,0.1828,,,,,,,,,,
11368654,home,Celta Vigo,Anastasios Douvikas,douvikas-anastasios,A. Douvikas,F,11,184,4342,M,894863,EUR,933552000,F,12,12,True,4.0,4.0,1.0,1.0,,,4.0,4.0,,,,,10.0,8.0,8.0,1.0,0.0942519,1,,,2.0,2.0,,2.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,0.0892,1.0,,,,,,,1.0,0.3975,,,1.0,,,,,,,
11368654,home,Celta Vigo,Iván Villar,ivan-villar,I. Villar,G,1,183,223,M,848980,EUR,868406400,G,13,13,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368654,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,28,28,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
