match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_fouls,stat_shotOffTarget,stat_wasFouled,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork
10390107,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,18.0,17.0,3.0,2.0,16.0,16.0,1.0,2.0,5.0,4.0,5.0,90.0,28.0,8.0,1.0,0.0,0.0,0.00010284,0,1.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390107,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1863,M,962408,EUR,978739200,D,18,18,False,55.0,47.0,2.0,,15.0,15.0,32.0,41.0,5.0,,,90.0,76.0,6.6,13.0,0.0,0.0,0.0243608,0,,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10390107,home,Lille,José Fonte,,,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,74.0,66.0,13.0,8.0,26.0,27.0,40.0,47.0,7.0,,,90.0,80.0,7.0,8.0,0.2242,0.1508,0.0338998,2,,,3.0,4.0,1.0,,1.0,2.0,,,,True,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10390107,home,Lille,Tiago Djaló,,,tiago-djalo,T. Djaló,D,35,190,2965,M,892735,EUR,955238400,D,3,3,False,73.0,71.0,1.0,1.0,33.0,34.0,38.0,40.0,10.0,,,90.0,80.0,7.0,4.0,0.059,0.0,0.0290463,1,,1.0,6.0,3.0,,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,
10390107,home,Lille,Ismaily,,,ismaily,Ismaily,D,,177,339,M,78352,EUR,632016000,D,31,31,False,61.0,52.0,,,21.0,25.0,31.0,37.0,5.0,,,90.0,98.0,7.5,18.0,0.0,0.0,0.0396503,0,,1.0,6.0,11.0,,3.0,,,6.0,3.0,2.0,,,,,,,2.0,,2.0,4.0,3.0,1.0,1.0,2.0,,,,,
10390107,home,Lille,Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,25912,M,1199043,EUR,1073088000,M,35,35,False,47.0,42.0,2.0,2.0,16.0,16.0,26.0,31.0,5.0,,,66.0,62.0,6.6,9.0,0.0675,0.0,0.0441821,2,,,6.0,5.0,1.0,3.0,,,4.0,4.0,,,1.0,,,,2.0,,,,2.0,1.0,,,1.0,carlos_baleba,1.0,,,
10390107,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,92.0,78.0,17.0,14.0,19.0,22.0,59.0,72.0,17.0,,,90.0,119.0,7.6,22.0,0.0567,0.0,0.0565226,1,,2.0,9.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,,4.0,3.0,,,1.0,,,1.0,4.0,2.0,1.0,,,,,,,
10390107,home,Lille,Timothy Weah,,,weah-timothy,T. Weah,M,22,185,11671,M,855810,EUR,951177600,M,22,22,False,21.0,17.0,,,3.0,3.0,16.0,23.0,1.0,,,82.0,43.0,7.1,13.0,0.2548,0.0837,0.229302,4,,5.0,3.0,3.0,,2.0,,,,,3.0,,,,,2.0,1.0,,1.0,1.0,3.0,2.0,,,1.0,timothyweah,,2.0,,
10390107,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168,3430,M,867441,EUR,967680000,M,20,20,False,36.0,30.0,1.0,,3.0,3.0,28.0,36.0,3.0,,,90.0,53.0,6.5,12.0,0.055,0.0,0.290813,2,,3.0,11.0,4.0,3.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,2.0,6.0,,2.0,1.0,1.0,,,3.0,,,1.0,1.0,
10390107,home,Lille,Rémy Cabella,,,remy-cabella,R. Cabella,M,20,171,1177,M,72998,EUR,636854400,M,10,10,False,35.0,27.0,2.0,,9.0,10.0,22.0,33.0,9.0,,,65.0,62.0,7.8,19.0,0.054,0.0,0.385147,1,,8.0,4.0,6.0,2.0,1.0,,,3.0,1.0,5.0,,1.0,,,,1.0,,,2.0,1.0,1.0,,,7.0,,,4.0,,
10390107,home,Lille,Mohamed Bayo,,,mohamed-bayo,M. Bayo,F,9,188,4444,M,909318,EUR,896918400,F,27,27,False,21.0,13.0,1.0,1.0,,1.0,13.0,20.0,3.0,,,75.0,33.0,7.1,11.0,0.2547,0.0313,0.471233,4,,,8.0,7.0,3.0,2.0,,,1.0,1.0,1.0,,,2.0,,1.0,2.0,3.0,1.0,2.0,2.0,2.0,,1.0,2.0,mohamedbayo27,,,,
10390107,home,Lille,Jonathan Bamba,,,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,F,7,7,True,22.0,18.0,1.0,,,,18.0,24.0,,,,25.0,31.0,6.9,7.0,0.1294,0.2471,0.357034,3,,2.0,2.0,2.0,1.0,,,,,,1.0,,,,,1.0,2.0,1.0,,,2.0,2.0,,,1.0,,,,,
10390107,home,Lille,André Gomes,,,andre-gomes,A. Gomes,M,26,188,1679,M,235460,EUR,743990400,M,28,28,True,39.0,36.0,3.0,1.0,10.0,10.0,26.0,29.0,2.0,,,24.0,48.0,6.7,8.0,0.0,0.0,0.0467523,0,,,2.0,2.0,,1.0,,,1.0,,3.0,,,,,,,,,,2.0,1.0,,,1.0,,,,,
10390107,home,Lille,Alan Virginius,,,alan-virginius,A. Virginius,F,7,175,548,M,1048014,EUR,1041552000,F,26,26,True,7.0,6.0,,,,,6.0,7.0,1.0,,,15.0,9.0,6.2,1.0,0.142,0.0,0.0346902,1,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,
10390107,home,Lille,Edon Zhegrova,,,edon-zhegrova,E. Zhegrova,M,11,181,9820,M,887766,EUR,922838400,F,23,23,True,10.0,7.0,1.0,,1.0,1.0,6.0,10.0,,,,8.0,17.0,7.5,6.0,0.0404,0.0,0.18546,1,,1.0,,3.0,,,,,,,1.0,,,,,,,,1.0,,3.0,3.0,,,2.0,edonzhegrova10,,,1.0,
10390107,home,Lille,Benoît Costil,,,benoit-costil,B. Costil,G,,188,146,M,26965,EUR,552268800,G,25,25,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390107,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192,4572,M,1049775,EUR,934156800,D,4,4,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390107,home,Lille,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190,20033,M,1153315,EUR,1131840000,D,15,15,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,YL15,,,,
10390107,home,Lille,Jonas Martin,,,jonas-martin,J. Martin,M,90,184,95,M,123264,EUR,639619200,M,8,8,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390107,home,Lille,Simon Ramet,,,ramet-simon,S. Ramet,M,38,170,9,M,1010031,EUR,1047513600,D,38,38,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390107,away,Clermont Foot,Mory Diaw,,,mory-diaw,M. Diaw,G,99,197,3450,M,580226,EUR,740707200,G,99,99,False,43.0,26.0,27.0,12.0,17.0,23.0,9.0,20.0,8.0,3.0,5.0,90.0,51.0,7.9,17.0,0.0,0.0,0.001997,0,0.5129,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10390107,away,Clermont Foot,Alidu Seidu,Alidu Seidu,,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,31.0,24.0,9.0,6.0,17.0,21.0,7.0,10.0,12.0,,,90.0,53.0,7.3,14.0,0.016,0.0,0.0059472,1,,,5.0,8.0,1.0,2.0,2.0,,,,3.0,,,1.0,,,,2.0,1.0,3.0,4.0,4.0,2.0,,1.0,,1.0,,1.0,
10390107,away,Clermont Foot,Mateusz Wieteska,,,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,4,4,False,31.0,25.0,4.0,2.0,24.0,24.0,1.0,7.0,8.0,,,90.0,41.0,7.1,6.0,0.0,0.0,0.00469842,0,,,3.0,2.0,1.0,,3.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,,,,
