match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_expectedGoals,stat_accurateCross,stat_aerialLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_goalAssist,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
11401960,home,AZ Alkmaar,Rome Jayden Owusu-Oduro,,,rome-jayden-owusu-oduro,R. J. Owusu-Oduro,G,1,189,1341,M,1145999,EUR,1088726400,G,20,20,False,25.0,19.0,11.0,5.0,19.0,21.0,4.0,2.0,7.0,1.0,3.0,1.0,1.0,1.0,90.0,33.0,6.8,7.0,0.00019792,0,0.6696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401960,home,AZ Alkmaar,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184,386,M,1004278,EUR,999993600,D,5,5,False,49.0,40.0,6.0,5.0,17.0,19.0,34.0,2.0,1.0,,,,,,77.0,67.0,7.0,14.0,0.0246785,2,,23.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1947,,,,,,,,,,,,,,,,,,,,,,,,,
11401960,home,AZ Alkmaar,Riechedly Bazoer,,,riechedly-bazoer,R. Bazoer,D,20,184,357,M,227196,EUR,845078400,D,25,25,False,90.0,80.0,7.0,5.0,51.0,56.0,44.0,,12.0,,,,,,90.0,109.0,7.5,17.0,0.189588,0,,32.0,10.0,3.0,1.0,5.0,,,,,,,3.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
11401960,home,AZ Alkmaar,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185,169,M,116947,EUR,697507200,D,4,4,False,95.0,82.0,10.0,6.0,45.0,48.0,49.0,1.0,9.0,,,,,,90.0,104.0,7.1,15.0,0.0760249,1,,38.0,2.0,,4.0,2.0,,1.0,,,,0.0494,1.0,4.0,,2.0,2.0,4.0,True,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11401960,home,AZ Alkmaar,Denso Kasius,,,denso-kasius,D. Kasius,D,30,186,391,M,1008111,EUR,1033862400,D,30,30,False,71.0,60.0,7.0,5.0,23.0,26.0,48.0,1.0,8.0,,,,,,90.0,99.0,7.2,17.0,0.0859764,2,,38.0,3.0,,2.0,6.0,,2.0,,,1.0,0.0754,1.0,,,1.0,1.0,,,,,,,1.0,6.0,5.0,,,,,,,,,,,
11401960,home,AZ Alkmaar,Kristijan Belić,,,kristijan-belic,K. Belić,M,17,177,617,M,994591,EUR,985392000,M,14,14,False,43.0,35.0,,,8.0,9.0,34.0,1.0,7.0,,,,,,65.0,62.0,6.6,13.0,0.240857,1,,27.0,,1.0,4.0,7.0,,,,,,0.2074,,,,3.0,1.0,,,,,,2.0,,3.0,1.0,1.0,2.0,4.0,0.0287,,,,,,,
11401960,home,AZ Alkmaar,Dani de Wit,,,dani-de-wit,D. de Wit,M,20,183,552,M,855854,EUR,885945600,M,10,10,False,24.0,20.0,,,5.0,5.0,19.0,,,,,,,,64.0,28.0,6.6,6.0,0.0302077,0,,15.0,,2.0,3.0,4.0,,,,,,,,2.0,,2.0,,1.0,,,,,2.0,,,,,,1.0,,1.0,,,,,,
11401960,home,AZ Alkmaar,Jordy Clasie,,,jordy-clasie,J. Clasie,M,8,169,219,M,116946,EUR,677980800,M,8,8,False,87.0,76.0,9.0,8.0,22.0,25.0,62.0,1.0,9.0,,,,,,90.0,99.0,7.9,11.0,0.212617,0,,54.0,,,4.0,4.0,,,,,3.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,,2.0,2.0,,,2.0,,,,,,,,
11401960,home,AZ Alkmaar,Mayckel Lahdo,Mayckel Lahdo,,mayckel-lahdo,M. Lahdo,F,23,171,501,M,1046028,EUR,1041206400,F,23,23,False,25.0,17.0,,,7.0,8.0,18.0,,7.0,,,,,,65.0,46.0,6.8,20.0,0.0239174,2,,10.0,1.0,,7.0,2.0,,,1.0,,,0.1678,,2.0,,,,1.0,,,,,7.0,2.0,4.0,2.0,1.0,,1.0,0.0646,,,,,,,
11401960,home,AZ Alkmaar,Vangelis Pavlidis,,,vangelis-pavlidis,V. Pavlidis,F,14,186,15284,M,795236,EUR,911606400,F,9,9,False,23.0,16.0,2.0,1.0,7.0,7.0,17.0,1.0,2.0,,,,,,90.0,43.0,7.3,14.0,0.0306498,6,,9.0,1.0,,5.0,3.0,1.0,2.0,,1.0,,1.7282,,1.0,,,,2.0,,,,,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.3903,1.0,vangelis_pavlidis,2.0,1.0,,,
