match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_wonContest,stat_interceptionWon,player_firstName,player_lastName,captain,stat_outfielderBlock,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_challengeLost,stat_wonTackle,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId
12117081,home,Athletico,Léo Linck,leo-linck,L. Linck,G,24,194,1042,M,1119887,EUR,983577600,G,24,24,False,24.0,18.0,14.0,8.0,0.0,12.0,13.0,6.0,11.0,3.0,10.0,1.0,1.0,5.0,2.0,1.0,1.0,90.0,39.0,7.8,6.0,0.00321928,0,0.1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117081,home,Athletico,Madson,madson,Madson,D,22,182,227,M,243439,EUR,695260800,D,22,22,False,29.0,25.0,,,0.0,8.0,8.0,18.0,24.0,1.0,3.0,,,,,,,90.0,45.0,6.9,11.0,0.439392,0,,3.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12117081,home,Athletico,Kaique Rocha,kaique-rocha,K. Rocha,D,27,195,456,M,963990,EUR,983318400,D,4,4,False,37.0,28.0,9.0,3.0,0.0,14.0,17.0,14.0,21.0,1.0,2.0,,,,,,,90.0,42.0,6.6,10.0,0.113305,0,,1.0,,4.0,2.0,5.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12117081,home,Athletico,Thiago Heleno,thiago-heleno,T. Heleno,D,44,185,283,M,33106,EUR,590457600,D,44,44,False,37.0,34.0,4.0,3.0,0.0,23.0,24.0,11.0,13.0,4.0,3.0,,,,,,,90.0,46.0,6.9,4.0,0.00866128,0,,,,2.0,,2.0,1.0,,1.0,,,,,2.0,,,True,1.0,1.0,,,,,,,,,,,,,
12117081,home,Athletico,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183,1067,M,1087079,EUR,1003017600,D,37,37,False,46.0,40.0,4.0,2.0,1.0,19.0,22.0,22.0,27.0,4.0,3.0,,,,,,,90.0,68.0,7.3,11.0,0.0514793,2,,3.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,Lucas Esquivel,,,,,1.0,1.0,0.1686,,,,,,,,,,
12117081,home,Athletico,Erick,erick,Erick,M,14,176,1116,M,874063,EUR,879465600,M,26,26,False,27.0,24.0,2.0,2.0,0.0,10.0,10.0,14.0,17.0,,2.0,,,,,,,72.0,39.0,7.0,4.0,0.0204168,0,,,,,,3.0,3.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,
12117081,home,Athletico,Fernandinho,fernandinho,Fernandinho,M,,179,1901,M,13630,EUR,484012800,M,5,5,False,46.0,35.0,11.0,5.0,0.0,9.0,10.0,27.0,42.0,3.0,2.0,,,,,,,90.0,69.0,6.7,20.0,0.102647,3,,6.0,1.0,1.0,2.0,13.0,6.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.1597,4.0,1.0,2.0,1.0,,,,,,
12117081,home,Athletico,Nikão,nikao,Nikão,M,11,174,442,M,139300,EUR,712368000,M,11,11,False,30.0,26.0,2.0,2.0,0.0,5.0,6.0,22.0,29.0,,3.0,,,,,,,72.0,48.0,7.4,10.0,0.102986,1,,5.0,1.0,2.0,1.0,3.0,9.0,2.0,2.0,5.0,,2.0,1.0,,,,,,1.0,,,0.0238,,1.0,,1.0,,,,,,
12117081,home,Athletico,Christian,christian,Christian,M,88,178,1761,M,981733,EUR,977184000,M,88,88,False,26.0,24.0,,,0.0,7.0,8.0,17.0,18.0,,2.0,,,,,,,89.0,37.0,7.7,5.0,0.0435455,2,,,,,1.0,5.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,,,,,,2.0,,1.0,0.0521,,1.0,1.0,1.0,1.0,,,,,
12117081,home,Athletico,Tomás Cuello,tomas-cuello,T. Cuello,M,28,176,1951,M,871273,EUR,952214400,M,28,28,False,29.0,23.0,2.0,1.0,0.0,7.0,8.0,17.0,26.0,1.0,5.0,,,,,,,89.0,49.0,7.1,15.0,0.0540604,3,,5.0,1.0,1.0,,9.0,3.0,3.0,1.0,,3.0,2.0,2.0,,,,,,1.0,2.0,1.0,0.0746,1.0,1.0,3.0,,,1.0,,,,
