match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_accurateCross,stat_keyPass,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_goals,stat_punches,stat_errorLeadToAShot,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
11047942,home,Sheffield United,Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185.0,330,M,187861,EUR,663811200,G,18,18,False,33.0,21.0,17.0,5.0,17.0,20.0,4.0,13.0,11.0,1.0,2.0,4.0,90.0,46.0,7.6,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11047942,home,Sheffield United,Chris Basham,,,chris-basham,C. Basham,D,,191.0,56,M,33854,EUR,585360000,D,6,6,False,60.0,44.0,12.0,6.0,23.0,31.0,21.0,29.0,9.0,,,,90.0,75.0,7.1,18.0,0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11047942,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190.0,1551,M,825899,EUR,922406400,D,15,15,False,51.0,46.0,7.0,3.0,42.0,43.0,4.0,8.0,9.0,,,,90.0,69.0,8.0,6.0,1,3.0,1.0,5.0,,,,,6.0,6.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11047942,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180.0,147,M,98454,EUR,746841600,D,19,19,False,40.0,32.0,6.0,,29.0,31.0,3.0,11.0,6.0,,,,90.0,69.0,7.7,17.0,1,2.0,4.0,6.0,,,1.0,,3.0,,3.0,1.0,,1.0,1.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,
11047942,home,Sheffield United,George Baldock,,,george-baldock,G. Baldock,D,,175.0,357,M,112928,EUR,731635200,M,2,2,False,18.0,13.0,2.0,,7.0,9.0,6.0,10.0,2.0,,,,62.0,35.0,6.4,8.0,0,,5.0,1.0,1.0,1.0,,,3.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11047942,home,Sheffield United,Ismaila Cheick Coulibaly,,,ismaila-cheick-coulibaly,I. C. Coulibaly,M,4,183.0,274,M,873632,EUR,977702400,M,17,17,False,18.0,16.0,2.0,,13.0,13.0,3.0,5.0,5.0,,,,62.0,29.0,7.2,3.0,1,,,5.0,,,1.0,1.0,,2.0,3.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
11047942,home,Sheffield United,Tommy Doyle,,,tommy-doyle,T. Doyle,M,7,172.0,752,M,932628,EUR,1003276800,M,22,22,False,58.0,47.0,11.0,5.0,28.0,31.0,19.0,30.0,7.0,,,,90.0,79.0,7.0,16.0,1,1.0,4.0,5.0,1.0,,,,5.0,2.0,3.0,2.0,,3.0,,,,3.0,1.0,,1.0,,,,,,,,,,,
11047942,home,Sheffield United,Andre Brooks,,,andre-brooks,A. Brooks,M,11,180.0,248,M,1396445,EUR,1061337600,M,35,35,False,19.0,15.0,,,7.0,8.0,8.0,11.0,3.0,,,,73.0,30.0,6.6,7.0,1,,8.0,4.0,2.0,1.0,3.0,2.0,,,2.0,2.0,,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,,
11047942,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176.0,75,M,282665,EUR,776044800,M,23,23,False,60.0,50.0,13.0,7.0,25.0,28.0,27.0,37.0,5.0,,,,90.0,83.0,7.5,15.0,0,1.0,5.0,9.0,3.0,,5.0,4.0,2.0,,4.0,3.0,,1.0,,,1.0,5.0,,,,2.0,4.0,,,,,,,,,
11047942,home,Sheffield United,James McAtee,,,james-mcatee,J. McAtee,M,24,180.0,10486,M,1003334,EUR,1034899200,F,28,28,False,26.0,22.0,,,5.0,6.0,17.0,20.0,7.0,,,,84.0,41.0,6.7,10.0,1,1.0,6.0,5.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,4.0,,,5.0,,1.0,,1.0,,,jamesmcatee_,,,,,,,,
