match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_outfielderBlock,stat_keyPass,stat_bigChanceCreated,captain,stat_accurateCross,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11967762,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193,1594,M,136856,EUR,636854400,G,1,1,False,47.0,25.0,34.0,12.0,20.0,22.0,5.0,25.0,1.0,2.0,2.0,3.0,90.0,51.0,7.5,22.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11967762,home,Fiorentina,Michael Kayode,michael-kayode,M. Kayode,D,33,179,2460,M,1137431,EUR,1089417600,D,33,33,False,50.0,42.0,11.0,6.0,28.0,31.0,14.0,20.0,1.0,4.0,,,90.0,77.0,7.1,15.0,0,,,1.0,2.0,1.0,4.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11967762,home,Fiorentina,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5082,M,836168,EUR,876614400,D,4,4,False,42.0,33.0,8.0,2.0,30.0,33.0,3.0,9.0,1.0,4.0,,,90.0,51.0,6.8,11.0,2,,,,3.0,3.0,6.0,5.0,,,,1.0,,,1.0,milenkovicn_4,1.0,2.0,2.0,,,,,,,,,,,,,,,
11967762,home,Fiorentina,Luca Ranieri,luca-ranieri,L. Ranieri,D,6,187,1093,M,893998,EUR,924825600,D,16,16,False,49.0,41.0,11.0,5.0,29.0,32.0,12.0,17.0,1.0,9.0,,,90.0,65.0,7.5,9.0,1,,,,2.0,3.0,2.0,6.0,1.0,1.0,8.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
11967762,home,Fiorentina,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,811,M,972886,EUR,973728000,D,65,65,False,42.0,34.0,6.0,2.0,22.0,24.0,12.0,22.0,,3.0,,,90.0,71.0,7.6,17.0,0,,,4.0,5.0,2.0,6.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
11967762,home,Fiorentina,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180,1098,M,36784,EUR,619747200,M,5,5,False,36.0,31.0,2.0,1.0,17.0,18.0,16.0,22.0,2.0,8.0,,,90.0,60.0,7.6,11.0,3,,,4.0,3.0,2.0,7.0,9.0,2.0,2.0,,,,3.0,5.0,,1.0,1.0,2.0,,1.0,2.0,,True,2.0,1.0,2.0,1.0,,,,,,
11967762,home,Fiorentina,Rolando Mandragora,rolando-mandragora,R. Mandragora,M,8,183,2131,M,548178,EUR,867542400,M,38,38,False,43.0,32.0,13.0,6.0,20.0,22.0,14.0,30.0,,8.0,,,90.0,63.0,7.6,18.0,2,,,9.0,,,3.0,4.0,,,1.0,2.0,,,2.0,,,,1.0,,1.0,2.0,,,2.0,2.0,1.0,,1.0,1.0,,,,
11967762,home,Fiorentina,Nicolás González,nicolas-gonzalez,N. González,M,23,180,17175,M,901325,EUR,891820800,M,10,10,False,17.0,16.0,1.0,1.0,2.0,2.0,14.0,16.0,3.0,2.0,,,90.0,34.0,7.7,4.0,5,,,1.0,5.0,1.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,nicoigonzalez,,2.0,,1.0,,2.0,,,,,1.0,,2.0,,1.0,1.0,,
11967762,home,Fiorentina,Lucas Beltrán,lucas-beltran,L. Beltrán,M,15,177,3810,M,962029,EUR,985824000,M,9,9,False,12.0,8.0,,,1.0,1.0,7.0,11.0,1.0,2.0,,,78.0,31.0,7.0,9.0,3,,,,4.0,3.0,7.0,6.0,2.0,1.0,,,,3.0,2.0,beltranlucass,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,
11967762,home,Fiorentina,Christian Kouamé,christian-kouame,C. Kouamé,F,31,185,2366,M,812946,EUR,881366400,M,99,99,False,23.0,16.0,1.0,1.0,9.0,10.0,7.0,13.0,1.0,5.0,,,90.0,48.0,6.3,17.0,2,,,,6.0,7.0,15.0,9.0,3.0,,1.0,,,4.0,2.0,christianmichael.11,3.0,,3.0,,,1.0,,,,2.0,2.0,,,,,,,
11967762,home,Fiorentina,Andrea Belotti,andrea-belotti,A. Belotti,F,19,181,3507,M,220223,EUR,756345600,F,20,20,False,11.0,7.0,,,1.0,2.0,6.0,10.0,,,,,85.0,21.0,7.3,7.0,2,,,1.0,3.0,1.0,6.0,5.0,1.0,1.0,,1.0,1.0,1.0,2.0,gallobelotti,1.0,,2.0,,,2.0,1.0,,,,2.0,1.0,,,,,,
