match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_totalOffside,stat_lastManTackle
12117129,home,Palmeiras,Weverton,weverton,Weverton,G,1,189,7138,M,Weverton,243529,EUR,566352000,G,21,21,False,26.0,15.0,17.0,6.0,0.0,11.0,12.0,4.0,14.0,5.0,2.0,90.0,32.0,6.4,11.0,0.00589805,0,-0.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117129,home,Palmeiras,Mayke,mayke,Mayke,D,12,178,2322,M,,273329,EUR,721353600,D,12,12,False,92.0,79.0,4.0,2.0,0.0,37.0,40.0,43.0,57.0,5.0,,90.0,124.0,7.3,19.0,0.102268,1,,5.0,1.0,1.0,2.0,7.0,7.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0116,1.0,,,,,,,,,,,,,,,,,,,,
12117129,home,Palmeiras,Vitor Reis,reis-vitor,V. Reis,D,12,186,12928,M,vitorreiss_06,1485300,EUR,1137024000,D,44,44,False,57.0,50.0,3.0,2.0,0.0,38.0,42.0,12.0,15.0,5.0,,90.0,70.0,6.8,7.0,0.011448,0,,,,2.0,3.0,6.0,6.0,2.0,,,,,6.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12117129,home,Palmeiras,Gustavo Gómez,gustavo-gomez,G. Gómez,D,15,185,8380,M,gustavogomez,220833,EUR,736646400,D,15,15,False,73.0,67.0,11.0,8.0,1.0,40.0,43.0,27.0,31.0,3.0,,90.0,84.0,8.0,8.0,0.265431,3,,1.0,,2.0,5.0,3.0,8.0,,1.0,,,2.0,2.0,,1.0,1.0,,2.0,,0.2328,1.0,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,
12117129,home,Palmeiras,Joaquín Piquerez,joaquin-piquerez,J. Piquerez,D,22,183,6392,M,,881110,EUR,903916800,D,22,22,False,36.0,32.0,5.0,2.0,0.0,14.0,16.0,18.0,23.0,1.0,,85.0,51.0,6.7,7.0,0.024074,2,,3.0,,,,2.0,5.0,1.0,,,,2.0,1.0,,3.0,,,2.0,1.0,0.0482,1.0,,,,,,,,,,,,,,,,,,,,
12117129,home,Palmeiras,Aníbal Moreno,anibal-moreno,A. Moreno,M,5,177,5203,M,,977677,EUR,926553600,M,5,5,False,74.0,68.0,2.0,1.0,0.0,33.0,34.0,36.0,43.0,7.0,,90.0,88.0,7.0,11.0,0.0827394,0,,3.0,1.0,,,2.0,3.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
12117129,home,Palmeiras,Gabriel Menino,gabriel-menino,G. Menino,M,25,176,2791,M,,974556,EUR,970185600,M,25,25,False,39.0,31.0,10.0,7.0,0.0,15.0,16.0,17.0,26.0,4.0,,68.0,59.0,7.1,14.0,0.022891,1,,3.0,1.0,,2.0,4.0,8.0,1.0,,2.0,,,,2.0,3.0,2.0,2.0,3.0,1.0,0.0099,,,,,,1.0,2.0,,,,,,,,,,,,,,
12117129,home,Palmeiras,Estêvão,estevao,Estêvão,M,41,176,196577,M,Estêvão,1597265,EUR,1177372800,M,41,41,False,36.0,32.0,3.0,2.0,1.0,7.0,7.0,25.0,31.0,9.0,,85.0,62.0,6.6,17.0,0.0951188,5,,2.0,,2.0,2.0,12.0,6.0,1.0,6.0,6.0,3.0,2.0,,,1.0,,1.0,,,0.9616,1.0,Estêvão,,,,1.0,,,2.0,2.0,0.661,,,,,,,,,,
12117129,home,Palmeiras,Raphael Veiga,raphael-veiga,R. Veiga,M,23,176,17123,M,raphaelveiga,840020,EUR,803520000,M,23,23,False,47.0,42.0,4.0,3.0,0.0,12.0,13.0,36.0,45.0,1.0,,90.0,73.0,8.7,15.0,0.520849,3,,11.0,6.0,,,5.0,3.0,2.0,1.0,4.0,2.0,2.0,,,,,2.0,1.0,,0.285,7.0,,,,2.0,,,,,1.0,0.3166,1.0,,,,,,,,,
12117129,home,Palmeiras,Rony,rony,Rony,F,11,167,5631,M,Rony,835260,EUR,800150400,M,10,10,False,13.0,11.0,,,0.0,4.0,4.0,7.0,11.0,4.0,,85.0,27.0,6.9,9.0,0.241856,1,,2.0,,1.0,,5.0,2.0,,2.0,,,1.0,1.0,,,,3.0,2.0,2.0,0.0155,1.0,,,,1.0,,,,,,,,,,,,,,,,
12117129,home,Palmeiras,José López,jose-lopez,J. López,F,42,188,16738,M,,1094179,EUR,976060800,F,42,42,False,14.0,8.0,3.0,2.0,0.0,2.0,2.0,6.0,13.0,2.0,,68.0,25.0,8.0,7.0,0.00344818,4,,1.0,,3.0,2.0,3.0,4.0,,,,,3.0,,,,,,2.0,,0.8662,2.0,José López,,,1.0,,,,,1.0,0.9518,1.0,,,,,,,,,
