match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_lastManTackle,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_wasFouled,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_goodHighClaim
12436946,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,42.0,31.0,17.0,7.0,1.0,24.0,26.0,7.0,16.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,2.0,90.0,53.0,7.6,11.0,0.0107041,1.0,0,1.2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436946,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,56.0,51.0,,,0.0,10.0,12.0,41.0,45.0,,2.0,,,,5.0,,,,,,,90.0,71.0,7.0,9.0,0.141752,1.0,1,,,,True,1.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0338,,,,,,,,,,,,,,,,
12436946,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22354,M,johnstones5,152077,EUR,770083200,D,5,5,False,47.0,41.0,4.0,3.0,0.0,16.0,18.0,25.0,29.0,,1.0,,2.0,,5.0,1.0,,,,,,84.0,50.0,6.1,6.0,0.0301573,,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12436946,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,64.0,63.0,4.0,4.0,0.0,28.0,29.0,35.0,35.0,3.0,3.0,,3.0,1.0,5.0,,,,,,,90.0,69.0,7.0,1.0,0.0747834,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436946,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17497,M,Rico_Lewis,1136731,EUR,1100995200,D,82,82,False,17.0,17.0,,,0.0,5.0,5.0,12.0,12.0,,,,1.0,,1.0,,,,,,,45.0,24.0,7.2,,0.0155376,1.0,0,,Rico Lewis,,,,,3.0,,,3.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,
12436946,home,Manchester City,Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,33708,M,Kova8,136710,EUR,768182400,M,8,8,False,34.0,33.0,1.0,1.0,0.0,12.0,12.0,21.0,22.0,,1.0,,,,2.0,,,,,,,45.0,35.0,6.6,2.0,0.0436887,,0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12436946,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,19,19,False,58.0,55.0,,,0.0,17.0,17.0,38.0,41.0,1.0,6.0,,1.0,,2.0,,,,,,,90.0,74.0,7.3,10.0,0.164925,4.0,2,,,,,,1.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0847,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12436946,home,Manchester City,Savinho,savio,Savinho,M,26,176,52457,M,Savinho,1046795,EUR,1081555200,M,26,26,False,39.0,31.0,1.0,1.0,0.0,2.0,3.0,29.0,41.0,,4.0,,1.0,,3.0,,,,,,,89.0,61.0,7.1,19.0,0.110333,1.0,5,,,,,5.0,,3.0,,2.0,1.0,1.0,3.0,2.0,0.7402,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5441,,,,,
12436946,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,56.0,48.0,4.0,4.0,0.0,5.0,7.0,44.0,54.0,,7.0,,,1.0,4.0,,,,,,,90.0,77.0,7.4,20.0,0.556823,5.0,2,,,,,5.0,,1.0,,1.0,1.0,,2.0,1.0,0.0646,,,4.0,2.0,1.0,,,,,,,1.0,1.0,,,
12436946,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,58418,M,JGrealish,189061,EUR,810691200,M,10,10,False,41.0,36.0,2.0,2.0,0.0,3.0,3.0,33.0,41.0,2.0,3.0,,1.0,,3.0,,,,,,,84.0,56.0,7.5,11.0,0.149793,1.0,2,,,,,3.0,,2.0,,,1.0,,2.0,,0.1524,,,1.0,1.0,1.0,,1.0,,1.0,,0.2081,,,,,
