match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_errorLeadToAGoal,stat_accurateCross,stat_goals,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12499441,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,15.0,10.0,6.0,1.0,0.0,9.0,11.0,1.0,4.0,1.0,2.0,2.0,90.0,17.0,6.5,5.0,0.00013846,0,-0.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Nordi Mukiele,nordi-mukiele,N. Mukiele,D,20,185,6333,M,780014,EUR,878342400,D,23,23,False,,88.0,78.0,2.0,1.0,0.0,31.0,33.0,47.0,56.0,4.0,,,90.0,116.0,7.5,14.0,0.0351771,1,,,,1.0,2.0,1.0,4.0,8.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,4.0,0.0411,1.0,,,,,,,,,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,104.0,100.0,4.0,3.0,0.0,31.0,32.0,69.0,72.0,5.0,,,90.0,118.0,7.2,5.0,0.0457164,1,,,,,,2.0,,3.0,,,1.0,10.0,,1.0,,,0.0177,,jonatah,1.0,,,,,,,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,71.0,64.0,5.0,1.0,1.0,28.0,33.0,36.0,39.0,5.0,,,90.0,92.0,7.9,10.0,0.873086,0,,,,1.0,1.0,3.0,1.0,5.0,,,,8.0,,,,2.0,,1.0,pierohincapie,,1.0,1.0,,,,,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,35.0,31.0,1.0,,0.0,5.0,5.0,26.0,34.0,1.0,,,89.0,62.0,6.5,13.0,0.0335276,2,,,,4.0,,,7.0,4.0,4.0,1.0,,3.0,1.0,1.0,,2.0,0.4047,,jeremie_frimpong,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.0471,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,70.0,62.0,3.0,3.0,2.0,24.0,24.0,38.0,46.0,6.0,,,89.0,85.0,8.4,12.0,0.407025,1,,,,,,,1.0,5.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,0.0277,4.0,exepalaciosok,3.0,,,,1.0,,,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,86.0,80.0,7.0,6.0,0.0,26.0,28.0,54.0,58.0,3.0,,,90.0,93.0,6.8,8.0,0.0782955,1,,,,,,,3.0,1.0,,,,,1.0,1.0,,,0.1005,1.0,Granit_Xhaka,,,,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,
12499441,home,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,M,24,24,False,,89.0,76.0,9.0,4.0,0.0,22.0,26.0,56.0,70.0,7.0,,,90.0,105.0,8.2,18.0,0.0977751,2,,,,7.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0744,5.0,AlexGarcia97,,1.0,,,,,,1.0,1.0,0.2139,,,2.0,1.0,,,,
12499441,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,70.0,63.0,2.0,,0.0,21.0,23.0,42.0,52.0,2.0,,,90.0,92.0,7.1,14.0,0.047062,1,,,,5.0,1.0,,2.0,4.0,3.0,2.0,,1.0,,1.0,1.0,1.0,0.017,,grimaldo35,1.0,,,,,,1.0,,,,,,,,,,,
12499441,home,Bayer 04 Leverkusen,Victor Okoh Boniface,victor-okoh-boniface,V. O. Boniface,F,22,193,28590,M,978521,EUR,977529600,F,22,22,False,,29.0,22.0,1.0,,0.0,11.0,12.0,11.0,18.0,4.0,,,89.0,52.0,7.2,20.0,0.0379143,3,,,,1.0,3.0,3.0,10.0,6.0,4.0,1.0,1.0,,,1.0,1.0,1.0,0.8628,,boniface_jrn,6.0,,,,3.0,,,2.0,1.0,0.8198,,,,1.0,1.0,,,
