match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_challengeLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,captain,player_lastName,stat_punches,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
13981504,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,41.0,38.0,9.0,6.0,0.0,36.0,36.0,2.0,5.0,1.0,7.0,1.0,2.0,1.0,1.0,90.0,49.0,7.1,3.0,0.00098962,0.0557,0,0.1088,0.06,0.01,0.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981504,home,Bologna,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,,928104,EUR,929750400,D,20,20,False,58.0,48.0,6.0,2.0,0.0,23.0,23.0,25.0,35.0,1.0,4.0,,,,,90.0,82.0,7.4,14.0,0.131287,,2,,0.4,0.11,0.21,,2.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0654,1.0,-0.16,,,,,,,,,,,,,,,
13981504,home,Bologna,Martin Vitík,martin-vitik,M. Vitík,D,41,192,1125,M,,1085913,EUR,1043107200,D,41,41,False,72.0,66.0,6.0,2.0,0.0,40.0,42.0,26.0,30.0,6.0,1.0,,,,,90.0,89.0,6.6,9.0,0.00854301,,1,,0.18,0.1,-0.1,,1.0,,3.0,3.0,4.0,6.0,,,,1.0,1.0,,2.0,1.0,0.0615,,-0.2,Martin Vitík,1.0,2.0,,,,,,,,,,,,
13981504,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,100.0,95.0,18.0,15.0,0.0,52.0,52.0,43.0,48.0,2.0,5.0,,,,,90.0,106.0,7.9,6.0,0.016773,,0,,0.38,0.11,,,,,,,3.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,
13981504,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188,706,M,,98212,EUR,751248000,D,22,22,False,72.0,64.0,9.0,4.0,0.0,26.0,27.0,38.0,45.0,1.0,3.0,,,,,90.0,117.0,7.5,23.0,0.459772,,3,,0.56,0.0,0.48,,11.0,3.0,5.0,,9.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,0.0675,1.0,0.07,,,3.0,,1.0,1.0,1.0,1.0,0.4905,,,,,,
13981504,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1972,M,,907152,EUR,935452800,M,19,19,False,74.0,70.0,6.0,6.0,0.0,39.0,40.0,31.0,34.0,1.0,1.0,,,,,67.0,81.0,7.3,6.0,0.024898,,0,,0.07,0.09,0.2,,,,2.0,1.0,2.0,4.0,,,,,1.0,1.0,2.0,,,2.0,,,,2.0,,,,,,,True,,,,,
13981504,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2495,M,,814882,EUR,889660800,M,6,6,False,88.0,83.0,10.0,9.0,0.0,23.0,23.0,60.0,65.0,1.0,4.0,,,,,90.0,101.0,7.9,9.0,0.0457017,,0,,0.52,0.17,0.15,,3.0,,1.0,2.0,5.0,5.0,,1.0,,,1.0,,3.0,2.0,,,,,,,1.0,,,,,,,,,,,
13981504,home,Bologna,Federico Bernardeschi,federico-bernardeschi,F. Bernardeschi,M,10,185,3292,M,,294597,EUR,761270400,M,10,10,False,41.0,33.0,3.0,3.0,0.0,14.0,14.0,19.0,27.0,1.0,3.0,,,,,67.0,52.0,7.1,10.0,0.0570974,,2,,0.03,0.01,0.19,,2.0,1.0,1.0,1.0,2.0,5.0,,1.0,1.0,1.0,1.0,,2.0,1.0,0.0417,2.0,-0.05,,,1.0,,,1.0,,,0.3673,,,,,,
13981504,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188,1820,M,,826064,EUR,922838400,M,21,21,False,17.0,15.0,,,0.0,2.0,2.0,13.0,15.0,,2.0,,,,,82.0,33.0,6.3,11.0,0.205759,,0,,0.09,0.11,-0.06,,,,2.0,,9.0,3.0,2.0,2.0,,,2.0,,1.0,2.0,,1.0,,,,5.0,1.0,,,,,,,,,,,
13981504,home,Bologna,Nicolò Cambiaghi,cambiaghi-nicolo,N. Cambiaghi,F,28,173,1123,M,,971005,EUR,977961600,M,28,28,False,28.0,23.0,1.0,1.0,0.0,8.0,9.0,15.0,19.0,,2.0,,,,,67.0,46.0,6.8,12.0,0.0918622,,1,,0.07,0.14,-0.09,,2.0,,1.0,1.0,5.0,7.0,1.0,4.0,3.0,1.0,,,3.0,,0.0859,,-0.44,,,3.0,2.0,,,,,,,,,,,
