match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_wasFouled,stat_totalOffside,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_bigChanceMissed
12499675,home,1. FC Union Berlin,Alexander Schwolow,alexander-schwolow,A. Schwolow,G,25,189,159,M,134778,EUR,707443200,G,37,37,False,33.0,30.0,9.0,6.0,0.0,29.0,29.0,1.0,4.0,1.0,11.0,2.0,3.0,1.0,90.0,43.0,6.9,3.0,0.00036466,0,-0.6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,D,28,28,False,59.0,44.0,12.0,9.0,0.0,19.0,22.0,26.0,43.0,4.0,7.0,,,,90.0,87.0,7.5,24.0,0.14925,0,,True,6.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,71.0,63.0,9.0,3.0,0.0,47.0,52.0,16.0,19.0,5.0,2.0,,,,90.0,88.0,6.6,10.0,0.012951,0,,,,,4.0,4.0,6.0,6.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,35.0,33.0,5.0,4.0,0.0,29.0,30.0,4.0,5.0,4.0,3.0,,,,45.0,45.0,6.7,3.0,0.0161091,0,,,,,,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,26,26,False,20.0,17.0,,,0.0,7.0,9.0,10.0,16.0,2.0,,,,,62.0,41.0,6.2,11.0,0.00681037,1,,,5.0,,,1.0,4.0,3.0,1.0,,,1.0,,,,1.0,,,,2.0,,2.0,1.0,0.0224,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,M,16,16,False,21.0,15.0,1.0,,0.0,6.0,8.0,10.0,16.0,1.0,6.0,,,,90.0,52.0,6.4,21.0,0.0394333,2,,,3.0,1.0,2.0,,9.0,6.0,2.0,3.0,,1.0,3.0,,7.0,1.0,1.0,,,1.0,,3.0,1.0,0.1087,2.0,1.0,,,,,,,,,
12499675,home,1. FC Union Berlin,Aljoscha Kemlein,aljoscha-kemlein,A. Kemlein,M,6,185,331,M,1198074,EUR,1091404800,M,36,36,False,20.0,14.0,4.0,2.0,0.0,6.0,10.0,8.0,10.0,1.0,1.0,,,,45.0,23.0,6.4,6.0,0.00294205,0,,,,,,1.0,,1.0,,,,,,,,,,Aljoscha Kemlein,,,,,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,55.0,42.0,6.0,2.0,0.0,30.0,35.0,12.0,20.0,3.0,9.0,,,,90.0,74.0,6.9,16.0,0.030011,0,,,,,,1.0,4.0,11.0,1.0,,,1.0,9.0,4.0,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,
12499675,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,22.0,17.0,3.0,,0.0,9.0,9.0,8.0,13.0,4.0,5.0,,,,69.0,38.0,7.0,6.0,0.0388333,2,,,,,5.0,4.0,8.0,9.0,,,,,4.0,1.0,1.0,3.0,1.0,,,1.0,,,,0.0512,,,2.0,0.312,,,,,,,
12499675,home,1. FC Union Berlin,Woo-Yeong Jeong,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,M,11,11,False,21.0,17.0,,,0.0,6.0,9.0,12.0,17.0,,4.0,,,,59.0,34.0,6.4,12.0,0.0702047,0,,,5.0,1.0,2.0,1.0,7.0,2.0,,3.0,,1.0,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,
