match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,player_sofascoreId,stat_accurateLongBalls,stat_dispossessed,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_shotOffTarget,stat_errorLeadToAGoal,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_fouls,stat_aerialLost,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_totalOffside,stat_lastManTackle,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
12624916,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,26.0,21.0,5.0,0.0,21.0,22.0,4.0,6.0,2.0,4.0,90.0,35.0,6.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624916,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,40.0,34.0,1.0,0.0,16.0,19.0,24.0,4.0,,,88.0,72.0,7.6,13.0,0,18.0,3.0,3.0,2.0,11.0,1.0,3.0,2.0,9.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12624916,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400,D,2,2,False,58.0,53.0,5.0,0.0,38.0,40.0,18.0,5.0,,,90.0,79.0,6.9,7.0,0,15.0,,,2.0,2.0,,2.0,1.0,8.0,4.0,1.0,1.0,,,,,,DaniloP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12624916,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,76.0,68.0,6.0,0.0,49.0,53.0,23.0,6.0,,,90.0,90.0,7.2,8.0,1,19.0,,2.0,,3.0,,,,8.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12624916,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180.0,1741,M,1006089,EUR,1060128000,D,12,12,False,30.0,27.0,2.0,0.0,18.0,20.0,12.0,4.0,,,45.0,52.0,6.5,7.0,1,9.0,2.0,3.0,2.0,10.0,1.0,,,,,1.0,7.0,5.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
12624916,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,54.0,48.0,2.0,0.0,20.0,23.0,31.0,5.0,,,90.0,71.0,7.3,8.0,1,28.0,,2.0,3.0,12.0,2.0,,,,1.0,2.0,8.0,5.0,,1.0,2.0,,Fabinho,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
12624916,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,65.0,60.0,3.0,1.0,23.0,26.0,41.0,4.0,,,90.0,83.0,8.0,9.0,0,38.0,2.0,,5.0,2.0,,2.0,,3.0,3.0,1.0,1.0,1.0,,,1.0,,nglkante,1.0,1.0,4.0,,,,,,,,1.0,3.0,2.0,,,,,,,,,,
12624916,home,Al-Ittihad,Abdulrahman Alobud,abdulrahman-alobud,A. Alobud,M,24,174.0,531,M,872275,EUR,801964800,M,24,24,False,38.0,30.0,2.0,0.0,9.0,11.0,34.0,6.0,,,85.0,57.0,7.5,16.0,2,21.0,7.0,,6.0,7.0,2.0,1.0,1.0,,,,3.0,1.0,,,3.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,
12624916,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175.0,14747,M,846081,EUR,899164800,M,10,10,False,34.0,25.0,1.0,0.0,8.0,11.0,25.0,6.0,,,89.0,62.0,6.7,20.0,1,17.0,2.0,,8.0,10.0,1.0,7.0,5.0,,,,2.0,2.0,,3.0,3.0,,houssem_aouar,1.0,4.0,2.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,
12624916,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178.0,5144,M,361798,EUR,876268800,M,34,34,False,49.0,44.0,2.0,0.0,12.0,14.0,37.0,3.0,,,85.0,68.0,9.0,10.0,2,33.0,2.0,,3.0,7.0,,8.0,6.0,,,,1.0,1.0,,1.0,,,StevenBergwijn,2.0,,1.0,,,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,
