match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_errorLeadToAShot,stat_penaltyConceded,stat_fouls,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_keyPass,stat_totalContest,stat_outfielderBlock,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_hitWoodwork,stat_penaltyWon,stat_totalOffside
13981455,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,True,23.0,17.0,14.0,8.0,0.0,12.0,15.0,5.0,8.0,1.0,11.0,3.0,1.0,4.0,90.0,34.0,7.3,6.0,0.00230807,0.2111,0,0.6651,0.09,0.0,0.21,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981455,home,Lecce,Christ-Owen Kouassi,Owen Kouassi,,owen-kouassi,O. Kouassi,D,22,184,265,M,1910643,EUR,1050364800,D,21,21,False,,39.0,32.0,4.0,1.0,0.0,17.0,20.0,15.0,19.0,7.0,1.0,,,,90.0,63.0,6.6,13.0,0.00670088,,0,,0.04,0.05,-0.3,,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981455,home,Lecce,Kialonda Gaspar,Kialonda Gaspar,,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,1090374,EUR,875318400,D,4,4,False,,53.0,46.0,4.0,2.0,0.0,36.0,37.0,10.0,16.0,9.0,1.0,,,,90.0,70.0,6.7,8.0,0.0109178,,1,,0.0,0.05,-0.3,,3.0,2.0,,6.0,2.0,,1.0,4.0,1.0,1.0,1.0,0.0554,-0.32,,,,,,,,,,,,,,,,,,,,,,,,
13981455,home,Lecce,Tiago Gabriel,Tiago Gabriel,,tiago-gabriel,T. Gabriel,D,44,194,1285,M,1651825,EUR,1104019200,D,44,44,False,,55.0,51.0,5.0,3.0,0.0,33.0,33.0,18.0,22.0,4.0,1.0,,,,90.0,64.0,6.6,5.0,0.0113676,,2,,0.2,0.15,-0.81,,4.0,5.0,,5.0,,,1.0,,4.0,,1.0,0.5244,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2929,,,,,,,,,,,,,,,,,
13981455,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,,22.0,16.0,4.0,2.0,0.0,11.0,15.0,5.0,7.0,2.0,2.0,,,,45.0,36.0,6.4,13.0,0.0242055,,0,,0.08,0.09,-0.33,,,3.0,,,1.0,,1.0,1.0,,3.0,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,
13981455,home,Lecce,Lassana Coulibaly,,,coulibaly-lassana,L. Coulibaly,M,29,183,2761,M,804621,EUR,829094400,M,29,29,False,,28.0,22.0,1.0,,0.0,7.0,7.0,15.0,21.0,4.0,3.0,,,,90.0,45.0,6.7,15.0,0.00520784,,1,,-0.04,0.18,0.23,,2.0,8.0,1.0,2.0,2.0,1.0,3.0,,,1.0,,0.0258,0.16,1.0,,,,,2.0,0.1544,1.0,,,4.0,1.0,,,,,,,,,,,,
13981455,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1041,M,841977,EUR,829267200,M,20,20,False,,39.0,36.0,6.0,5.0,0.0,12.0,12.0,24.0,27.0,4.0,3.0,,,,73.0,55.0,7.2,6.0,0.0426989,,1,,0.26,0.19,0.15,,,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0113,-0.02,,,,,,,,,,,,1.0,,,,,,,,,,,,
13981455,home,Lecce,Alex Sala,Alex Sala,,alex-sala,A. Sala,M,6,185,201,M,1157382,EUR,986774400,M,6,6,False,,16.0,13.0,2.0,1.0,0.0,2.0,4.0,11.0,12.0,2.0,,,,,45.0,24.0,6.7,4.0,0.142757,,1,,0.29,0.11,-0.01,,,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,0.0918,-0.32,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,
13981455,home,Lecce,Santiago Pierotti,,,santiago-pierotti,S. Pierotti,F,50,189,760,M,984998,EUR,986256000,F,50,50,False,,15.0,12.0,,,0.0,3.0,3.0,9.0,12.0,6.0,,,,,80.0,28.0,6.7,9.0,0.062742,,1,,0.07,0.1,0.19,,3.0,9.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,0.0192,-0.07,1.0,,,,,3.0,0.1454,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
13981455,home,Lecce,Nikola Štulić,,,nikola-stulic,N. Štulić,F,9,188,1231,M,1029748,EUR,999907200,F,9,9,False,,10.0,7.0,,,0.0,3.0,4.0,4.0,6.0,6.0,1.0,,,,90.0,20.0,6.5,5.0,0.0090749,,1,,-0.04,-0.2,-0.01,,4.0,5.0,,,1.0,,2.0,1.0,4.0,,,0.0251,-0.08,1.0,,,,,1.0,0.4199,,,1.0,,,,,,,,,,,,,,
