match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_lastManTackle,captain,stat_errorLeadToAShot,stat_goals,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12421151,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,232,M,156663,EUR,760492800,G,33,33,False,34.0,22.0,22.0,10.0,0.0,18.0,24.0,4.0,10.0,1.0,14.0,3.0,4.0,90.0,48.0,7.3,12.0,0.00042423,0,0.3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421151,home,KAA Gent,Hugo Gambor,,,gambor-hugo,H. Gambor,D,23,186.0,141,M,1082541,EUR,1041206400,D,12,12,False,54.0,41.0,4.0,2.0,0.0,27.0,32.0,14.0,23.0,3.0,8.0,,,90.0,94.0,6.6,23.0,0.0138176,0,,1.0,2.0,2.0,10.0,7.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
12421151,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187.0,1372,M,942213,EUR,855100800,D,4,4,False,43.0,28.0,6.0,3.0,0.0,23.0,30.0,5.0,13.0,10.0,2.0,,,90.0,59.0,7.1,15.0,0.0015579,3,,,1.0,7.0,1.0,7.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,0.1903,0.0725,1.0,,,,,,,,,,,
12421151,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189.0,608,M,801003,EUR,870912000,D,23,23,False,37.0,26.0,5.0,,0.0,21.0,26.0,6.0,12.0,8.0,3.0,,,90.0,54.0,6.9,11.0,0.0256904,0,,1.0,1.0,6.0,1.0,12.0,,,,,,1.0,,5.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,
12421151,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190.0,3096,M,1009738,EUR,1022544000,D,3,3,False,36.0,27.0,5.0,1.0,0.0,13.0,17.0,14.0,23.0,1.0,6.0,,,90.0,68.0,7.0,25.0,0.471702,1,,4.0,4.0,2.0,12.0,8.0,2.0,2.0,3.0,,,,,6.0,4.0,5.0,,1.0,,1.0,,0.0868,0.0865,1.0,,1.0,1.0,1.0,,,,,,,
12421151,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189.0,582,M,1124749,EUR,1091232000,M,16,16,False,69.0,61.0,11.0,8.0,0.0,33.0,35.0,30.0,38.0,3.0,11.0,,,90.0,95.0,7.9,13.0,0.068725,0,,4.0,,1.0,5.0,11.0,2.0,2.0,3.0,3.0,,1.0,1.0,4.0,2.0,1.0,3.0,1.0,,,,,,2.0,2.0,,,,,,,,,,
12421151,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176.0,162,M,45990,EUR,572832000,M,24,24,False,50.0,39.0,7.0,3.0,0.0,22.0,26.0,18.0,27.0,7.0,4.0,,,89.0,69.0,6.3,14.0,0.0276825,2,,3.0,,2.0,4.0,4.0,1.0,1.0,,,,,2.0,2.0,2.0,,,2.0,,,2.0,0.0698,,,1.0,,,,True,1.0,,,,,
12421151,home,KAA Gent,Momodou Sonko,Momodou Sonko,,momodou-sonko,M. Sonko,M,11,176.0,575,M,1135616,EUR,1107129600,M,11,11,False,30.0,20.0,2.0,1.0,0.0,9.0,13.0,11.0,19.0,1.0,5.0,,,81.0,53.0,7.9,16.0,0.0904308,2,,2.0,,,5.0,7.0,1.0,2.0,4.0,3.0,,,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,,0.0939,0.5863,1.0,,,,,,1.0,1.0,,,,
12421151,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188.0,1075,M,1019125,EUR,958435200,M,6,6,False,27.0,17.0,2.0,,1.0,11.0,16.0,6.0,12.0,3.0,5.0,,,90.0,44.0,7.1,15.0,0.0184583,1,,1.0,4.0,6.0,7.0,9.0,1.0,1.0,,,,,,3.0,,3.0,,2.0,,,1.0,0.1219,,3.0,,1.0,,,,,,,,,
12421151,home,KAA Gent,Andrew Hjulsager,,,andrew-hjulsager,A. Hjulsager,M,17,177.0,166,M,186807,EUR,790128000,M,17,17,False,19.0,17.0,2.0,2.0,0.0,4.0,5.0,15.0,18.0,,2.0,,,72.0,39.0,6.5,10.0,0.052295,3,,4.0,3.0,,10.0,3.0,1.0,1.0,3.0,,,,,2.0,2.0,2.0,1.0,2.0,,1.0,2.0,0.3037,0.2341,2.0,2.0,,1.0,,,,,,,,
