match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_lastManTackle,stat_fouls,stat_outfielderBlock,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_goals,captain,stat_blockedScoringAttempt,stat_totalOffside
12514230,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,91,91,False,21.0,18.0,7.0,4.0,0.0,17.0,18.0,1.0,3.0,5.0,1.0,2.0,4.0,90.0,30.0,7.6,3.0,0.00040654,0,0.5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514230,home,Sporting Braga,João Ferreira,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,False,51.0,43.0,5.0,2.0,0.0,9.0,12.0,35.0,44.0,1.0,,,,90.0,82.0,7.4,16.0,0.125768,2,,,,5.0,1.0,2.0,2.0,7.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,0.4075,0.7575,3.0,,,,,,,,,,
12514230,home,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,78.0,75.0,3.0,1.0,0.0,40.0,40.0,35.0,38.0,4.0,,,,90.0,89.0,7.6,3.0,0.0120667,0,,,,,,,,1.0,2.0,,,,,,,6.0,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,
12514230,home,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,997173,EUR,1048636800,D,26,26,False,87.0,85.0,1.0,1.0,0.0,45.0,45.0,40.0,42.0,1.0,,,,90.0,93.0,7.4,2.0,0.017482,0,,,,,,1.0,1.0,2.0,3.0,,,,,,,3.0,,2.0,1.0,,,,,,1.0,1.0,,,,,,,
12514230,home,Sporting Braga,Francisco Chissumba,francisco-chissumba,F. Chissumba,D,55,180,264,M,1158067,EUR,1117324800,D,55,55,False,71.0,65.0,3.0,,0.0,21.0,23.0,46.0,52.0,6.0,,,,90.0,90.0,7.4,12.0,0.275477,2,,Francisco,Chissumba,4.0,2.0,2.0,2.0,7.0,5.0,,,5.0,,2.0,,4.0,,,,1.0,0.0742,,2.0,,3.0,,3.0,1.0,,,,,
12514230,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,8,8,False,64.0,61.0,6.0,3.0,0.0,21.0,21.0,40.0,43.0,6.0,,,,71.0,72.0,6.8,4.0,0.0247995,1,,,,,,3.0,,7.0,,2.0,,,,1.0,,1.0,2.0,,,1.0,0.0251,,,,2.0,,,,,,,,
12514230,home,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,False,65.0,58.0,6.0,3.0,0.0,26.0,29.0,32.0,36.0,3.0,,,,71.0,76.0,7.4,7.0,0.0185989,0,,,,,,1.0,2.0,2.0,6.0,,,1.0,,,,2.0,3.0,2.0,,,,,,,1.0,,1.0,,1.0,,,,
12514230,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,11,11,False,47.0,40.0,,,0.0,9.0,10.0,32.0,40.0,8.0,,,,90.0,77.0,9.3,14.0,0.250261,4,,,,3.0,1.0,2.0,,7.0,6.0,,1.0,3.0,1.0,,4.0,3.0,2.0,3.0,2.0,1.0,0.8571,1.9782,3.0,,1.0,,,1.0,3.0,2.0,,,
12514230,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,36.0,34.0,,,0.0,7.0,7.0,27.0,30.0,,,,,87.0,43.0,6.7,6.0,0.03109,0,,,,1.0,,,,4.0,2.0,,1.0,,,,,1.0,,2.0,1.0,1.0,,,,,3.0,,,,,,True,,
12514230,home,Sporting Braga,Ismael Gharbi,gharbi-ismael,I. Gharbi,M,11,173,7580,M,1113488,EUR,1081555200,M,20,20,False,29.0,22.0,2.0,2.0,0.0,6.0,8.0,16.0,24.0,2.0,,,,59.0,42.0,6.9,13.0,0.0215841,2,,,,3.0,,1.0,,4.0,5.0,,1.0,4.0,,1.0,,,,1.0,,1.0,0.0711,,,,1.0,,3.0,,1.0,,,1.0,
