match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_accurateCross,captain,stat_goals,stat_bigChanceMissed,stat_challengeLost,stat_penaltyWon,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_penaltyFaced,stat_clearanceOffLine,stat_penaltyConceded
10980657,home,Stoke City,Jack Bonham,jack-bonham,J. Bonham,G,1,192,34,M,94665,EUR,747964800,G,13,13,False,31.0,18.0,19.0,6.0,15.0,15.0,3.0,16.0,1.0,1.0,2.0,11.0,2.0,2.0,2.0,2.0,1.0,1.0,90.0,45.0,6.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Dujon Sterling,dujon-sterling,D. Sterling,D,21,186,366,M,794100,EUR,940723200,D,20,20,False,41.0,31.0,5.0,3.0,12.0,13.0,19.0,29.0,1.0,5.0,2.0,3.0,,,,,,,77.0,69.0,6.5,19.0,0,,,1.0,4.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Connor Taylor,connor-taylor,C. Taylor,D,26,183,46,M,1014463,EUR,1003968000,D,32,32,False,4.0,1.0,1.0,,1.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,17.0,6.0,6.5,3.0,0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Ben Wilmot,ben-wilmot,B. Wilmot,D,16,188,104,M,862796,EUR,941673600,D,16,16,False,87.0,64.0,16.0,8.0,55.0,70.0,9.0,17.0,7.0,8.0,6.0,6.0,,,,,,,90.0,100.0,7.5,23.0,2,,,,4.0,6.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10980657,home,Stoke City,Josh Tymon,josh-tymon,J. Tymon,D,14,178,120,M,830238,EUR,927331200,D,14,14,False,41.0,30.0,3.0,1.0,21.0,24.0,10.0,19.0,,2.0,2.0,6.0,,,,,,,90.0,53.0,6.7,14.0,0,,,2.0,,,,2.0,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
10980657,home,Stoke City,Jordan Thompson,jordan-thompson,J. Thompson,M,15,175,65,M,800976,EUR,852249600,M,15,15,False,76.0,69.0,4.0,1.0,46.0,47.0,23.0,30.0,3.0,3.0,1.0,10.0,,,,,,,90.0,82.0,6.7,9.0,1,,,1.0,3.0,4.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
10980657,home,Stoke City,Josh Laurent,josh-laurent,J. Laurent,M,29,188,192,M,552036,EUR,799718400,M,28,28,False,59.0,51.0,7.0,4.0,32.0,36.0,19.0,23.0,2.0,6.0,3.0,10.0,,,,,,,90.0,74.0,7.7,11.0,1,,,,2.0,3.0,1.0,,,,4.0,1.0,2.0,,,,,1.0,,,,,True,1.0,,,,,,,,,
10980657,home,Stoke City,Will Smallbone,will-smallbone,W. Smallbone,M,39,173,482,M,970435,EUR,951091200,M,18,18,False,21.0,18.0,2.0,2.0,7.0,7.0,11.0,14.0,,1.0,,4.0,,,,,,,62.0,25.0,6.5,5.0,1,,,,1.0,4.0,,,,,1.0,1.0,2.0,,,,,1.0,,3.0,1.0,,,,1.0,,,,,,,,
10980657,home,Stoke City,Tyrese Campbell,tyrese-campbell,T. Campbell,F,23,185,553,M,826145,EUR,946339200,F,10,10,False,26.0,17.0,1.0,,5.0,6.0,12.0,20.0,1.0,2.0,,3.0,,,,,,,78.0,38.0,7.2,16.0,3,,,,1.0,8.0,,6.0,1.0,,,,2.0,,1.0,2.0,1.0,2.0,,2.0,3.0,,,,,,,,,,,,
10980657,home,Stoke City,Jacob Brown,jacob-brown,J. Brown,F,40,178,158,M,858911,EUR,892166400,F,9,9,False,19.0,12.0,,,2.0,3.0,10.0,16.0,3.0,6.0,,4.0,,,,,,,90.0,33.0,7.6,9.0,1,,,,8.0,12.0,,,,1.0,,,2.0,3.0,,,,1.0,,3.0,1.0,,,1.0,,1.0,1.0,,,,,,
10980657,home,Stoke City,Bersant Celina,bersant-celina,B. Celina,M,10,181,399,M,281013,EUR,842227200,F,23,23,False,48.0,44.0,2.0,1.0,17.0,18.0,30.0,35.0,,2.0,,4.0,,,,,,,90.0,61.0,6.9,9.0,3,,,5.0,1.0,7.0,,4.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,4.0,3.0,,,1.0,3.0,,1.0,1.0,1.0,,,
10980657,home,Stoke City,Phil Jagielka,phil-jagielka,P. Jagielka,D,,183,79,,10507,EUR,398390400,D,6,6,True,78.0,71.0,3.0,1.0,62.0,66.0,9.0,12.0,3.0,6.0,2.0,5.0,,,,,,,73.0,87.0,7.0,8.0,1,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Lewis Baker,lewis-baker,L. Baker,M,8,182,344,M,190859,EUR,798768000,M,8,8,True,10.0,8.0,,,6.0,7.0,2.0,3.0,,,,4.0,,,,,,,28.0,16.0,6.9,5.0,2,,,,,3.0,,1.0,,1.0,,,2.0,,,,,2.0,,2.0,,,,1.0,,,,,,,,,
10980657,home,Stoke City,Ki-Jana Hoever,ki-jana-hoever,K. Hoever,D,12,180,943,M,954044,EUR,1011312000,D,17,17,True,8.0,4.0,2.0,,,,4.0,8.0,1.0,3.0,,,,,,,,,13.0,14.0,6.6,6.0,0,,,,2.0,3.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Morgan Fox,morgan-fox,M. Fox,D,3,185,40,M,288957,EUR,748569600,D,3,3,True,12.0,8.0,4.0,1.0,6.0,8.0,2.0,4.0,,,2.0,2.0,,,,,,,12.0,17.0,6.7,4.0,0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10980657,home,Stoke City,Frank Fielding,frank-fielding,F. Fielding,G,34,185,17,M,26910,EUR,576115200,G,34,34,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Lewis Macari,lewis-macari,L. Macari,D,28,183,25,M,1010000,EUR,1013126400,D,33,33,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Gavin Kilkenny,gavin-kilkenny,G. Kilkenny,M,18,175,127,M,989345,EUR,949363200,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,D'Margio Wright-Phillips,dmargio-wright-phillips,D. Wright-Phillips,F,32,170,83,M,1018367,EUR,1001289600,F,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10980657,home,Stoke City,Emre Tezgel,emre-tezgel,E. Tezgel,F,36,182,522,M,1150924,EUR,1127088000,F,37,37,True,,,,,,,,,,,,,,,,,,,,,,,0,Emre Tezgel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
