match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_errorLeadToAShot,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_accurateCross,stat_wonContest,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_punches,stat_clearanceOffLine,player_sofascoreId,stat_errorLeadToAGoal,stat_penaltyWon,stat_hitWoodwork
12450203,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186.0,316,M,159837,EUR,720748800,G,16,16,False,26.0,18.0,14.0,6.0,0.0,13.0,17.0,5.0,9.0,1.0,8.0,1.0,1.0,3.0,1.0,4.0,90.0,36.0,6.5,8.0,0.00216509,0,0.9258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450203,home,Auxerre,Ki-Jana Hoever,,,ki-jana-hoever,K. Hoever,D,12,180.0,945,M,954044,EUR,1011312000,D,23,23,False,37.0,27.0,6.0,,0.0,16.0,20.0,11.0,19.0,2.0,3.0,,,,,,71.0,50.0,5.9,15.0,0.0183314,1,,2.0,1.0,1.0,1.0,2.0,1.0,0.0154,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12450203,home,Auxerre,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184.0,714,M,996951,EUR,986774400,D,20,20,False,40.0,36.0,5.0,4.0,0.0,22.0,24.0,14.0,16.0,5.0,3.0,,1.0,,,,90.0,57.0,6.8,6.0,0.0105477,0,,,1.0,,,6.0,,,2.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12450203,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190.0,384,M,329195,EUR,746582400,D,4,4,False,36.0,33.0,3.0,2.0,0.0,27.0,30.0,6.0,6.0,3.0,3.0,,,,,,90.0,48.0,6.3,5.0,0.00628687,1,,,,1.0,1.0,2.0,,0.0067,,2.0,,,1.0,2.0,,,1.0,,True,,,,,,,,,,,,,,,,
12450203,home,Auxerre,Clement Akpa,Clément Akpa,,akpa-clement,C. Akpa,D,92,183.0,819,M,1387156,EUR,1006560000,D,92,92,False,29.0,23.0,6.0,1.0,0.0,17.0,19.0,6.0,10.0,1.0,1.0,,1.0,,,,66.0,37.0,6.2,8.0,0.00183474,0,,,,,,2.0,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
12450203,home,Auxerre,Gideon Mensah,,,gideon-mensah,G. Mensah,D,14,177.0,2401,M,844942,EUR,900720000,D,14,14,False,37.0,33.0,4.0,1.0,0.0,18.0,19.0,16.0,20.0,2.0,9.0,,,,,,71.0,56.0,6.8,6.0,0.0101321,0,,2.0,,2.0,,2.0,,,,1.0,,3.0,,3.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,
12450203,home,Auxerre,Gaëtan Perrin,,,gaetan-perrin,G. Perrin,M,28,169.0,447,M,827506,EUR,834105600,M,10,10,False,24.0,23.0,,,0.0,7.0,7.0,16.0,22.0,4.0,2.0,,,,,,90.0,46.0,7.4,11.0,0.0799361,4,,5.0,1.0,6.0,3.0,,,0.2147,4.0,,,6.0,,,,,2.0,2.0,,,4.0,1.0,1.0,1.0,,,,,,,,,,,
12450203,home,Auxerre,Assane Dioussé,,,assane-diousse,A. Dioussé,M,18,175.0,297,M,782240,EUR,874713600,M,18,18,False,35.0,33.0,5.0,5.0,0.0,23.0,24.0,10.0,11.0,3.0,4.0,,1.0,,,,90.0,47.0,6.6,4.0,0.00904191,0,,,,1.0,,1.0,,,,,,5.0,,,1.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,,,
12450203,home,Auxerre,Kévin Danois,Kévin Danois,,kevin-danois,K. Danois,M,5,183.0,449,M,1151803,EUR,1088380800,M,27,27,False,36.0,27.0,7.0,2.0,0.0,13.0,14.0,14.0,22.0,3.0,4.0,,,,,,82.0,51.0,6.6,16.0,0.0338547,2,,,2.0,3.0,,,,0.1401,1.0,,1.0,4.0,,1.0,1.0,1.0,4.0,,,,2.0,,2.0,,,,,,,,,,,,
12450203,home,Auxerre,Ado Onaiwu,,,ado-onaiwu,A. Onaiwu,M,45,180.0,644,M,489180,EUR,815788800,M,45,45,False,22.0,20.0,1.0,1.0,0.0,5.0,6.0,15.0,16.0,5.0,1.0,,1.0,,,,66.0,34.0,7.0,6.0,0.132235,1,,,1.0,3.0,,1.0,,0.0149,1.0,2.0,2.0,4.0,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,0.1386,,,,,,,,
