match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalCross,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_wonContest,stat_penaltyConceded,captain,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_blockedScoringAttempt,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss
11368632,home,Las Palmas,Álvaro Valles,alvaro-valles,Á. Valles,G,1,192.0,931,M,964983,EUR,869788800,G,13,13,False,33.0,28.0,8.0,4.0,0.0,27.0,28.0,1.0,5.0,1.0,1.0,3.0,7.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,47.0,8.0,5.0,0.00028676,0,1.1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Álvaro Lemos,alvaro-lemos,Á. Lemos,D,18,175.0,74,M,813645,EUR,733449600,D,14,14,False,29.0,22.0,7.0,3.0,0.0,16.0,17.0,6.0,12.0,,2.0,,1.0,,,,,,,,,58.0,41.0,6.3,13.0,0.00530158,0,,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Saúl Coco,saul-coco,S. Coco,D,23,188.0,1248,M,1089453,EUR,918518400,D,23,23,False,69.0,60.0,5.0,,0.0,49.0,49.0,11.0,20.0,,3.0,4.0,3.0,,,,,,,,,90.0,80.0,6.5,10.0,0.00625527,0,,2.0,5.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Alex Suárez,alex-suarez,A. Suárez,D,4,179.0,259,M,914848,EUR,725846400,D,4,4,False,51.0,48.0,2.0,1.0,0.0,41.0,43.0,7.0,9.0,1.0,1.0,,3.0,,,,,,,,,65.0,58.0,6.6,5.0,0.00310729,0,,2.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Mika Mármol,mika-marmol,M. Mármol,D,3,181.0,783,M,979146,EUR,993945600,D,15,15,False,64.0,54.0,4.0,,0.0,31.0,34.0,23.0,30.0,1.0,6.0,4.0,4.0,,,,,,,,,90.0,96.0,6.5,19.0,0.0134903,0,,1.0,5.0,1.0,2.0,1.0,,,3.0,1.0,3.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Fabio González,fabio-gonzalez,F. González,M,,176.0,37,M,894477,EUR,855705600,M,25,25,False,44.0,39.0,3.0,1.0,0.0,27.0,30.0,12.0,14.0,1.0,4.0,,4.0,,,,,,,,,79.0,49.0,6.5,7.0,0.00657758,0,,2.0,5.0,,,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Kirian Rodríguez,kirian-rodriguez,K. Rodríguez,M,20,180.0,441,M,964985,EUR,825984000,M,20,20,False,75.0,69.0,5.0,4.0,0.0,36.0,36.0,33.0,39.0,1.0,5.0,,7.0,,,,,,,,,90.0,84.0,7.1,8.0,0.0426036,1,,3.0,5.0,,,,,1.0,4.0,1.0,1.0,,,,,,,,,True,1.0,0.0189,,,,,,,,,,,,
11368632,home,Las Palmas,Munir El Haddadi,munir-el-haddadi,M. E. Haddadi,F,17,175.0,3412,M,350170,EUR,809913600,M,17,17,False,18.0,15.0,1.0,1.0,0.0,4.0,4.0,11.0,16.0,,1.0,,3.0,,,,,,,,,58.0,26.0,6.7,7.0,0.0122975,0,,,3.0,,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
11368632,home,Las Palmas,Javier Muñoz,javier-munoz,J. Muñoz,M,14,179.0,313,M,353154,EUR,793929600,M,5,5,False,31.0,24.0,,,0.0,11.0,14.0,13.0,18.0,,,1.0,5.0,,,,,,,,,90.0,45.0,6.5,12.0,0.0105311,0,,3.0,6.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11368632,home,Las Palmas,Alberto Moleiro,alberto-moleiro,A. Moleiro,M,20,172.0,3634,M,1012444,EUR,1064880000,M,10,10,False,32.0,27.0,2.0,,0.0,10.0,13.0,18.0,21.0,,5.0,,4.0,,,,,,,,,90.0,56.0,6.9,16.0,0.0718368,3,,1.0,9.0,1.0,3.0,,,1.0,,,2.0,2.0,9.0,,,,,5.0,,,1.0,0.0861,2.0,1.0,2.0,0.0584,,,,,,,,
