match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_totalCross,stat_bigChanceMissed,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_ownGoals
11252726,home,Inter Miami CF,Nick Marsman,nick-marsman,N. Marsman,G,32,188.0,65,M,70927,EUR,654739200,G,21,21,False,32.0,25.0,10.0,4.0,24.0,26.0,1.0,6.0,1.0,2.0,2.0,9.0,1.0,1.0,1.0,90.0,41.0,7.2,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252726,home,Inter Miami CF,Christopher McVey,christopher-mcvey,C. McVey,D,97,192.0,102,M,881876,EUR,860803200,D,4,4,False,81.0,75.0,9.0,5.0,42.0,43.0,33.0,38.0,,8.0,2.0,4.0,1.0,,,90.0,97.0,7.7,7.0,0,2.0,5.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11252726,home,Inter Miami CF,Ryan Sailor,ryan-sailor,R. Sailor,D,15,193.0,1463,M,1172440,EUR,912124800,D,15,15,False,74.0,69.0,8.0,6.0,53.0,53.0,16.0,21.0,2.0,5.0,4.0,4.0,,,,90.0,83.0,7.6,5.0,0,1.0,2.0,,,,1.0,3.0,2.0,1.0,,Ryan Sailor,,,,,,,,,,,,,,,,,
11252726,home,Inter Miami CF,Kamal Miller,kamal-miller,K. Miller,D,4,183.0,362,M,934841,EUR,863740800,D,31,31,False,84.0,77.0,12.0,8.0,40.0,41.0,37.0,43.0,1.0,1.0,3.0,7.0,,,,90.0,93.0,7.4,8.0,1,1.0,2.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11252726,home,Inter Miami CF,Harvey Neville,harvey-neville,H. Neville,D,,181.0,138,M,966650,EUR,1025049600,M,18,18,False,30.0,28.0,4.0,3.0,11.0,11.0,17.0,21.0,1.0,2.0,1.0,4.0,,,,70.0,41.0,6.8,6.0,1,,2.0,,3.0,1.0,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,
11252726,home,Inter Miami CF,David Ruíz,ruiz-david,D. Ruíz,M,41,181.0,1617,M,1131700,EUR,1076198400,M,41,41,False,59.0,48.0,3.0,2.0,32.0,39.0,16.0,20.0,,2.0,1.0,7.0,,,,70.0,71.0,6.7,15.0,0,,4.0,,1.0,1.0,,1.0,1.0,2.0,,David Ruiz,,2.0,,3.0,,,,1.0,,,,,,,,,
11252726,home,Inter Miami CF,Victor Ulloa,victor-ulloa,V. Ulloa,M,8,181.0,38,M,546344,EUR,699667200,M,13,13,False,62.0,57.0,3.0,3.0,32.0,34.0,25.0,28.0,2.0,5.0,2.0,7.0,1.0,,,90.0,76.0,7.2,8.0,1,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,,,,,3.0,,,,3.0,True,1.0,,,,,,,
11252726,home,Inter Miami CF,Franco Negri,negri-franco,F. Negri,D,22,174.0,368,M,849138,EUR,793238400,M,33,33,False,57.0,51.0,5.0,3.0,24.0,26.0,29.0,36.0,,6.0,,6.0,1.0,,,90.0,85.0,7.2,14.0,0,2.0,6.0,,5.0,4.0,,1.0,,2.0,2.0,,,1.0,,1.0,1.0,5.0,,1.0,,,2.0,,,,,,
11252726,home,Inter Miami CF,Nicolás Stefanelli,nicolas-stefanelli,N. Stefanelli,F,15,166.0,232,M,582220,EUR,785462400,F,22,22,False,20.0,18.0,5.0,4.0,9.0,10.0,9.0,10.0,,1.0,,2.0,1.0,,,56.0,23.0,7.0,3.0,0,,2.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,
11252726,home,Inter Miami CF,Josef Martínez,josef-martinez,J. Martínez,F,30,173.0,3054,M,133990,EUR,737769600,F,17,17,False,11.0,8.0,1.0,1.0,6.0,6.0,2.0,5.0,,2.0,1.0,1.0,1.0,,,56.0,18.0,6.6,6.0,0,,1.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,
11252726,home,Inter Miami CF,Robert Taylor,robert-taylor,R. Taylor,F,16,181.0,1355,M,290943,EUR,782697600,F,16,16,False,47.0,38.0,6.0,4.0,16.0,17.0,22.0,30.0,1.0,1.0,,2.0,,,,86.0,52.0,6.9,11.0,3,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,
11252726,home,Inter Miami CF,Benjamin Cremaschi,cremaschi-benjamin,B. Cremaschi,M,25,180.0,3165,M,1459459,EUR,1109721600,M,30,30,True,22.0,19.0,,,7.0,7.0,12.0,15.0,1.0,6.0,,5.0,2.0,,,34.0,35.0,7.4,6.0,1,,1.0,,2.0,1.0,,2.0,2.0,,2.0,Benjamin Cremaschi,,,,,,,,2.0,,,,2.0,1.0,,,,
11252726,home,Inter Miami CF,Shanyder Borgelin,borgelin-shanyder,S. Borgelin,F,49,196.0,880,M,1025195,EUR,1003449600,F,49,49,True,2.0,1.0,,,,,1.0,2.0,,2.0,,1.0,2.0,,,34.0,12.0,5.9,7.0,1,,6.0,,4.0,,,,,2.0,,,,,,,1.0,,1.0,2.0,,1.0,,,,,,,
11252726,home,Inter Miami CF,DeAndre Yedlin,deandre-yedlin,D. Yedlin,M,2,175.0,591,M,314040,EUR,742176000,D,2,2,True,11.0,11.0,1.0,1.0,5.0,5.0,7.0,8.0,,,1.0,1.0,,,,20.0,17.0,6.9,1.0,0,,,,,,,,,,2.0,,,,,1.0,,2.0,,,,,1.0,,,,,,
11252726,home,Inter Miami CF,Dixon Arroyo,dixon-arroyo,D. Arroyo,M,23,179.0,187,M,158407,EUR,707356800,M,3,3,True,20.0,16.0,2.0,2.0,5.0,6.0,11.0,14.0,,3.0,,2.0,,,,20.0,28.0,6.9,5.0,1,,,,2.0,2.0,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,
11252726,home,Inter Miami CF,Jake LaCava,jake-lacava,J. LaCava,F,9,185.0,23,M,1034906,EUR,979257600,F,12,12,True,5.0,5.0,,,1.0,1.0,4.0,4.0,,,,,,,,9.0,6.0,6.5,,0,,,,,,,,,,,Jake LaCava,,,,,,,,,,,,,,,,,
11252726,home,Inter Miami CF,CJ dos Santos,cj-dos-santos,C. d. Santos,G,1,191.0,296,M,906020,EUR,967075200,G,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
