match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wasFouled,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_outfielderBlock
10406742,home,SV Zulte Waregem,Sammy Bossut,,,sammy-bossut,S. Bossut,G,38,187.0,36,M,18827,EUR,492566400,G,1,1,False,True,23.0,15.0,14.0,6.0,12.0,13.0,3.0,10.0,2.0,9.0,2.0,2.0,2.0,90.0,28.0,6.1,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406742,home,SV Zulte Waregem,Karol Fila,,,karol-fila,K. Fila,D,4,183.0,357,M,871041,EUR,897696000,D,19,19,False,,34.0,27.0,8.0,4.0,13.0,15.0,15.0,21.0,2.0,9.0,,,,90.0,50.0,6.6,9.0,0,2.0,1.0,3.0,1.0,7.0,7.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,
10406742,home,SV Zulte Waregem,Timothy Derijck,,,timothy-derijck,T. Derijck,D,,185.0,23,M,10084,EUR,548899200,D,4,4,False,,37.0,28.0,14.0,7.0,17.0,21.0,11.0,16.0,2.0,10.0,,,,90.0,46.0,6.2,9.0,0,,,1.0,2.0,4.0,3.0,1.0,,,3.0,,,2.0,1.0,,,,,,,,,,,,,,,
10406742,home,SV Zulte Waregem,Borja López,,,borja-lopez,B. López,D,4,192.0,53,M,284865,EUR,760147200,D,3,3,False,,33.0,20.0,11.0,6.0,8.0,15.0,13.0,19.0,1.0,6.0,,,,72.0,53.0,6.0,19.0,0,1.0,1.0,6.0,3.0,8.0,5.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
10406742,home,SV Zulte Waregem,Alessandro Ciranni,,,alessandro-ciranni,A. Ciranni,D,2,172.0,38,M,845968,EUR,835920000,M,14,14,False,,18.0,12.0,2.0,,7.0,8.0,11.0,24.0,1.0,4.0,,,,90.0,49.0,8.9,16.0,3,14.0,6.0,,1.0,3.0,4.0,3.0,,,1.0,3.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,2.0,5.0,,,,,,,
10406742,home,SV Zulte Waregem,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186.0,79,M,846330,EUR,896140800,M,6,6,False,,31.0,24.0,2.0,1.0,9.0,10.0,15.0,21.0,,8.0,,,,90.0,53.0,7.0,13.0,0,,,,,6.0,7.0,3.0,4.0,2.0,3.0,5.0,5.0,,,1.0,,,,,,2.0,2.0,,,,,,,
10406742,home,SV Zulte Waregem,Novatus Miroshi,,,novatus-miroshi,N. Miroshi,M,20,185.0,3868,M,1103597,EUR,1030924800,M,26,26,False,,33.0,20.0,9.0,3.0,13.0,15.0,9.0,20.0,2.0,14.0,,,,83.0,49.0,6.8,15.0,1,2.0,2.0,1.0,,6.0,5.0,2.0,,,2.0,4.0,2.0,3.0,1.0,,,,,,,1.0,1.0,novatus_40,1.0,,,,,
10406742,home,SV Zulte Waregem,Alieu Fadera,,,fadera-alieu,A. Fadera,M,20,181.0,1184,M,1031548,EUR,1004745600,M,7,7,False,,19.0,8.0,1.0,,3.0,4.0,5.0,18.0,,6.0,,,,90.0,51.0,6.0,23.0,2,3.0,,5.0,,18.0,14.0,2.0,8.0,2.0,1.0,6.0,4.0,3.0,6.0,2.0,,,,1.0,,,,,1.0,2.0,,,,
10406742,home,SV Zulte Waregem,Jelle Vossen,,,jelle-vossen,J. Vossen,F,9,180.0,294,M,45946,EUR,606528000,F,9,9,False,,16.0,11.0,1.0,,5.0,6.0,6.0,10.0,1.0,4.0,,,,76.0,30.0,6.4,9.0,5,,,1.0,2.0,6.0,6.0,2.0,,,,2.0,1.0,2.0,2.0,1.0,,,,2.0,,3.0,,,3.0,,1.0,,,
10406742,home,SV Zulte Waregem,Zinho Gano,,,zinho-gano,Z. Gano,F,9,198.0,217,M,156645,EUR,750470400,F,93,93,False,,27.0,20.0,,,6.0,6.0,14.0,21.0,5.0,1.0,,,,90.0,45.0,7.8,14.0,2,,,9.0,7.0,14.0,8.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,4.0,1.0,,,,1.0,,,
