match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,captain,stat_goalAssist,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_totalOffside
11369451,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,35.0,30.0,9.0,5.0,27.0,29.0,3.0,6.0,1.0,1.0,2.0,12.0,1.0,8.0,9.0,1.0,90.0,55.0,8.7,5.0,0.00131189,0,-0.4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369451,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,D,20,20,False,51.0,47.0,3.0,3.0,18.0,21.0,29.0,33.0,1.0,9.0,2.0,5.0,,,,,90.0,79.0,7.5,11.0,0.0326694,2,,,,yan.couto,3.0,5.0,1.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.1662,0.1771,3.0,,,,,,,,,,,,,
11369451,home,Girona FC,Eric García,eric-garcia,E. García,D,24,182,56393,M,876214,EUR,978998400,D,25,25,False,55.0,51.0,6.0,3.0,37.0,38.0,14.0,17.0,2.0,7.0,7.0,4.0,,,,,90.0,69.0,6.6,4.0,0.0101924,0,,,,ericgm3,,3.0,,1.0,1.0,,,1.0,3.0,1.0,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,
11369451,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,74.0,65.0,7.0,2.0,46.0,49.0,19.0,25.0,2.0,6.0,12.0,3.0,,,,,90.0,96.0,7.6,10.0,0.0129393,2,,,,,,3.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.655,0.8714,,2.0,,1.0,1.0,,,,,,,,,
11369451,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,50.0,45.0,4.0,2.0,28.0,30.0,18.0,24.0,,1.0,1.0,6.0,,,,,90.0,65.0,6.6,9.0,0.184073,0,,,,MGutiérrez,4.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,
11369451,home,Girona FC,Savinho,savio,Savinho,M,26,176,52457,M,1046795,EUR,1081555200,M,16,16,False,22.0,19.0,1.0,1.0,3.0,3.0,17.0,24.0,,4.0,1.0,6.0,,,,,89.0,44.0,7.2,15.0,0.234893,2,,,,Savinho,5.0,7.0,1.0,8.0,3.0,1.0,,1.0,,,2.0,1.0,,0.5398,0.3165,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
11369451,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,53.0,51.0,,,26.0,26.0,25.0,27.0,,5.0,,7.0,,,,,90.0,64.0,7.5,3.0,0.0273948,3,,,,,,3.0,,2.0,2.0,2.0,,1.0,3.0,1.0,,,1.0,0.2774,0.7608,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,
11369451,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,82.0,77.0,5.0,2.0,39.0,40.0,41.0,49.0,,1.0,1.0,7.0,,,,,90.0,98.0,7.3,11.0,0.297472,2,,,,AlexGarcia97,7.0,3.0,1.0,,,1.0,,,1.0,1.0,1.0,,,0.065,0.034,3.0,2.0,,1.0,,3.0,,,,,,,,
11369451,home,Girona FC,Valery Fernández,valery-fernandez,V. Fernández,D,21,179,309,M,962378,EUR,943315200,M,11,11,False,10.0,9.0,,,4.0,5.0,5.0,6.0,,3.0,1.0,1.0,,,,,59.0,24.0,7.0,7.0,0.0033781,1,,,,,1.0,3.0,2.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,0.0503,0.4726,,,,,1.0,,,,,True,,,,
11369451,home,Girona FC,Pablo Torre,pablo-torre,P. Torre,M,20,173,37883,M,1082981,EUR,1049328000,F,18,18,False,25.0,20.0,3.0,2.0,8.0,11.0,12.0,14.0,,2.0,,2.0,,,,,67.0,42.0,6.9,9.0,0.173562,1,,,,PabloTorre,,2.0,,2.0,1.0,,,1.0,,,2.0,1.0,1.0,0.0618,,3.0,,,,,,,1.0,,,1.0,1.0,,
