match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_outfielderBlock,stat_wonContest,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_fouls,stat_dispossessed,stat_goalAssist,captain,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed
10408283,home,Atlético Madrid,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,1,1,False,34.0,22.0,16.0,5.0,19.0,21.0,3.0,13.0,1.0,1.0,2.0,15.0,3.0,4.0,4.0,2.0,90.0,49.0,7.4,12.0,0.0,0.0,0.00039158,0,-0.5232,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408283,home,Atlético Madrid,Nahuel Molina,,,nahuel-molina,N. Molina,D,16,175,13426,M,831799,EUR,891820800,D,16,16,False,51.0,40.0,5.0,1.0,22.0,27.0,18.0,25.0,1.0,2.0,,2.0,,,,,90.0,64.0,6.7,13.0,0.1266,0.7272,0.0088692,1,,nahuelmolina_35,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408283,home,Atlético Madrid,Axel Witsel,,,axel-witsel,A. Witsel,D,20,186,9808,M,35612,EUR,600566400,D,20,20,False,49.0,47.0,3.0,2.0,31.0,31.0,16.0,18.0,,2.0,4.0,5.0,,,,,90.0,57.0,6.9,3.0,0.0,0.0,0.0112034,0,,axelwitsel28,,1.0,2.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10408283,home,Atlético Madrid,José María Giménez,,,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,325355,EUR,790560000,D,2,2,False,48.0,40.0,12.0,5.0,29.0,32.0,11.0,16.0,2.0,9.0,4.0,8.0,,,,,90.0,62.0,7.3,9.0,0.0,0.0,0.00371525,0,,JoseMaGimenez13,,,1.0,,,,1.0,5.0,4.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,
10408283,home,Atlético Madrid,Mario Hermoso,,,mario-hermoso,M. Hermoso,D,22,184,2630,M,353130,EUR,803433600,D,22,22,False,57.0,50.0,5.0,2.0,32.0,36.0,18.0,22.0,1.0,5.0,1.0,6.0,,,,,90.0,83.0,6.1,12.0,0.1172,0.0,0.00885492,2,,,1.0,3.0,9.0,2.0,,,3.0,1.0,1.0,1.0,5.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
10408283,home,Atlético Madrid,Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178,5856,M,858195,EUR,850694400,D,3,3,False,25.0,19.0,,,11.0,12.0,8.0,14.0,2.0,4.0,,2.0,,,,,70.0,34.0,6.8,9.0,0.0959,0.1024,0.0200053,2,,sergio_regui,1.0,2.0,4.0,,1.0,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,
10408283,home,Atlético Madrid,Saúl Ñíguez,,,saul-niguez,S. Ñíguez,M,8,184,13421,M,116955,EUR,785376000,M,17,17,False,27.0,21.0,4.0,3.0,13.0,14.0,8.0,14.0,3.0,6.0,,3.0,,,,,90.0,37.0,6.6,8.0,0.0,0.0,0.0203748,0,,Saul,1.0,3.0,7.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,
10408283,home,Atlético Madrid,Rodrigo de Paul,,,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,249399,EUR,769737600,M,5,5,False,63.0,50.0,9.0,4.0,24.0,28.0,26.0,36.0,1.0,5.0,,9.0,,,,,81.0,77.0,7.1,18.0,0.0,0.0,0.0482166,0,,RodridePaul,1.0,,6.0,1.0,,,1.0,2.0,2.0,,5.0,,2.0,,2.0,,,,2.0,,1.0,,,,,
10408283,home,Atlético Madrid,Koke,,,koke,Koke,M,6,177,5822,M,84539,EUR,694828800,M,6,6,False,77.0,70.0,5.0,3.0,37.0,39.0,33.0,38.0,,7.0,,5.0,,,,,90.0,89.0,7.0,9.0,0.0268,0.0,0.0416014,1,,Koke6,,,2.0,1.0,,,,3.0,3.0,,3.0,,3.0,1.0,,,1.0,,,1.0,,True,,,,
10408283,home,Atlético Madrid,Yannick Carrasco,,,yannick-carrasco,Y. Carrasco,F,10,180,4728,M,182001,EUR,747100800,M,21,21,False,31.0,27.0,2.0,2.0,9.0,11.0,18.0,26.0,,3.0,,,,,,,90.0,47.0,6.3,15.0,0.0547,0.0,0.0560456,1,,yannickferreiracarrasco,6.0,,6.0,2.0,,,,,,2.0,6.0,,3.0,,2.0,,1.0,,1.0,,,,2.0,,,
10408283,home,Atlético Madrid,Antoine Griezmann,,,antoine-griezmann,A. Griezmann,F,7,176,100258,M,85859,EUR,669513600,F,8,8,False,33.0,27.0,1.0,1.0,11.0,12.0,17.0,22.0,,4.0,2.0,6.0,,,,,90.0,47.0,8.9,6.0,0.2711,1.1498,0.0664552,4,,AGriez,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,
10408283,home,Atlético Madrid,Ángel Correa,,,angel-correa,Á. Correa,F,7,171,16959,M,316152,EUR,794707200,F,10,10,True,11.0,10.0,1.0,1.0,4.0,4.0,6.0,7.0,,2.0,1.0,2.0,,,,,20.0,19.0,6.4,5.0,0.0,0.0,0.00963967,0,,angelcorrea32,,1.0,4.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,
10408283,home,Atlético Madrid,Pablo Barrios,,,pablo-barrios,P. Barrios,M,8,181,6589,M,1142588,EUR,1055635200,M,24,24,True,8.0,5.0,1.0,,4.0,4.0,1.0,4.0,1.0,2.0,1.0,,,,,,9.0,12.0,6.6,3.0,0.0,0.0,0.00726197,0,,PBarrios,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
10408283,home,Atlético Madrid,Antonio Gomis,,,antonio-gomis,A. Gomis,G,1,191,355,M,1156733,EUR,1053388800,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
