match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_keyPass,captain,stat_wasFouled,stat_totalContest,stat_blockedScoringAttempt,stat_wonContest,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_goalAssist,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11067622,home,Santos,João Paulo,joao-paulo,J. Paulo,G,34,188,1599,M,795177,EUR,804384000,G,34,34,False,14.0,12.0,4.0,2.0,11.0,11.0,1.0,3.0,7.0,4.0,5.0,90.0,25.0,6.8,3.0,0.00013775,0,-0.8362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067622,home,Santos,João Basso,joao-basso,J. Basso,D,13,189,689,M,850955,EUR,853113600,D,2,2,False,33.0,23.0,3.0,1.0,14.0,15.0,9.0,18.0,2.0,,,61.0,49.0,7.0,10.0,0.0121028,1,,1.0,3.0,3.0,6.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,
11067622,home,Santos,Messias,messias,Messias,D,4,192,220,M,839765,EUR,783820800,D,24,24,False,33.0,27.0,3.0,,24.0,27.0,3.0,6.0,1.0,,,90.0,51.0,7.8,7.0,0.00161726,2,,,8.0,,8.0,,,13.0,,,,,0.1051,,,2.0,1.0,1.0,0.7288,,,,,,,,,,,,,,,,,,
11067622,home,Santos,Dodô,dodo,Dodô,D,,177,222,M,108481,EUR,697334400,D,16,16,False,27.0,22.0,5.0,2.0,16.0,19.0,6.0,8.0,1.0,,,42.0,33.0,6.4,7.0,0.111847,0,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
11067622,home,Santos,Gabriel Inocêncio,gabriel-inocencio,Gabriel Inocêncio,D,6,175,95,M,1047680,EUR,777340800,M,12,12,False,31.0,21.0,7.0,2.0,12.0,19.0,10.0,14.0,8.0,,,90.0,52.0,6.1,16.0,0.0364862,1,,3.0,2.0,9.0,3.0,,,3.0,1.0,1.0,1.0,4.0,0.1332,Gabriel Inocêncio,,1.0,,,0.1075,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
11067622,home,Santos,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175,2716,M,46798,EUR,569030400,M,25,25,False,19.0,16.0,1.0,1.0,12.0,13.0,4.0,6.0,2.0,,,42.0,30.0,6.8,4.0,0.0051707,0,,1.0,1.0,4.0,4.0,1.0,,4.0,1.0,,,3.0,,,,,,,,,,,,,,True,3.0,,,,,,,,,,
11067622,home,Santos,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,8,8,False,39.0,37.0,3.0,3.0,23.0,25.0,14.0,16.0,6.0,,,73.0,60.0,6.8,6.0,0.077119,2,,1.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,4.0,2.0,,0.197,,,,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,
11067622,home,Santos,Lucas Braga,lucas-braga,L. Braga,M,22,184,437,M,934801,EUR,847584000,M,30,30,False,20.0,15.0,3.0,,3.0,3.0,12.0,18.0,3.0,,,90.0,49.0,6.5,10.0,0.0743173,1,,,2.0,2.0,3.0,1.0,,1.0,1.0,,,,0.0639,,,,,,,1.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,
11067622,home,Santos,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160,11184,M,789960,EUR,867628800,F,10,10,False,25.0,21.0,2.0,2.0,7.0,7.0,17.0,28.0,5.0,,,90.0,56.0,7.3,19.0,0.394762,1,,,,10.0,7.0,2.0,,,,,,,0.0687,,,,,,,,10.0,3.0,4.0,,5.0,,,11.0,1.0,7.0,yefersonsoteldo1006,1.0,,,,,
11067622,home,Santos,Julio Furch,julio-furch,J. Furch,F,,189,570,M,787551,EUR,617673600,F,11,11,False,15.0,5.0,2.0,2.0,2.0,3.0,3.0,15.0,1.0,,,73.0,28.0,6.5,19.0,0.0174554,2,,1.0,3.0,5.0,3.0,,1.0,,,,,,0.1742,,,1.0,,,0.386,2.0,3.0,,2.0,,,,,2.0,,,,,2.0,,,,
11067622,home,Santos,Marcos Leonardo,marcos-leonardo,M. Leonardo,F,9,177,22653,M,1047227,EUR,1051833600,F,9,9,False,12.0,8.0,,,2.0,3.0,6.0,9.0,1.0,,,90.0,22.0,6.5,8.0,0.0206282,3,,2.0,1.0,6.0,2.0,,,,,,,1.0,0.2411,,,1.0,,,0.3433,1.0,,,2.0,,1.0,,1.0,1.0,2.0,,marcosleonardo09,,1.0,,,,
11067622,home,Santos,Nonato,nonato,Nonato,M,16,174,1213,M,922566,EUR,888883200,M,7,7,True,23.0,16.0,2.0,,6.0,7.0,10.0,16.0,4.0,,,48.0,31.0,6.8,7.0,0.00977936,0,,3.0,,6.0,5.0,1.0,,,,3.0,3.0,2.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,
