match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed
14131948,home,FC Porto,Borja Sainz,borja-sainz,B. Sainz,F,17,174,2639,M,,992567,EUR,980985600,F,17,17,True,,4.0,4.0,,,0.0,4.0,4.0,,,2.0,,,,,26.0,9.0,7.7,1.0,3.23e-05,,1,,0.06,0.1,-0.1,,,,4.0,2.0,3.0,,2.0,1.0,,,,,,,,,0.5296,0.54,,,1.0,1.0,,,,1.0,0.6112,,1.0,,,
14131948,home,FC Porto,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,13,13,True,,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,17.0,4.0,6.8,,0.00093336,,0,,0.03,0.01,0.14,,,,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
14131948,home,FC Porto,Cláudio Ramos,claudio-ramos,C. Ramos,G,14,183,1032,M,,116372,EUR,690249600,G,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,home,FC Porto,Dominik Prpić,dominik-prpic,D. Prpić,D,21,188,2177,M,,1146484,EUR,1084924800,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,home,FC Porto,Ángel Alarcón,angel-alarcon,Á. Alarcón,M,77,175,1302,M,,1153261,EUR,1084579200,F,47,47,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Ángel,Alarcón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,,963744,EUR,1026518400,G,1,1,False,,57.0,42.0,19.0,5.0,0.0,41.0,49.0,1.0,8.0,5.0,,2.0,1.0,1.0,90.0,63.0,6.6,15.0,0.00026398,0.6067,0,-1.1487,0.02,-0.06,-0.11,0.37,,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
14131948,away,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,,877918,EUR,954547200,D,2,2,False,,69.0,55.0,4.0,1.0,0.0,24.0,31.0,31.0,38.0,2.0,,,,,90.0,90.0,6.9,19.0,0.112022,,2,,-0.02,0.1,-0.57,,,,3.0,3.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,,0.171,0.5,1.0,,2.0,,4.0,,2.0,1.0,0.883,,1.0,,1.0,
14131948,away,Sporting Braga,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,476,M,,965263,EUR,955324800,D,14,14,False,,99.0,87.0,12.0,7.0,0.0,53.0,57.0,34.0,42.0,2.0,,,,,90.0,117.0,7.0,13.0,0.0147833,,0,,0.27,0.06,-0.2,,,,6.0,9.0,,,1.0,1.0,,5.0,,4.0,1.0,2.0,4.0,,,,2.0,5.0,1.0,1.0,,,,,,,,,,
14131948,away,Sporting Braga,Bright Arrey-Mbi,bright-arrey-mbi,B. Arrey-Mbi,D,26,187,788,M,,997173,EUR,1048636800,D,26,26,False,,62.0,59.0,5.0,3.0,0.0,40.0,41.0,19.0,21.0,7.0,,,,,90.0,71.0,6.2,4.0,0.00889544,,0,,0.09,0.04,-0.29,,,,5.0,1.0,2.0,,1.0,,,4.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
14131948,away,Sporting Braga,Mario Dorgeles,mario-dorgeles,M. Dorgeles,M,20,177,1549,M,,1396015,EUR,1091836800,M,20,20,False,,58.0,55.0,1.0,,0.0,14.0,15.0,41.0,43.0,2.0,,,,,90.0,69.0,6.7,6.0,0.0566091,,0,,-0.01,0.13,-0.05,,Mario Dorgeles,,3.0,5.0,,,4.0,2.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14131948,away,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,,1120039,EUR,1027555200,M,29,29,False,,70.0,64.0,5.0,2.0,0.0,24.0,27.0,40.0,43.0,5.0,,,,,89.0,84.0,6.9,7.0,0.0896186,,2,,0.19,0.06,-0.08,,,,2.0,4.0,,,2.0,2.0,1.0,,,2.0,1.0,,1.0,,0.0766,-0.22,1.0,,2.0,2.0,,,,,,1.0,,,,
14131948,away,Sporting Braga,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,750,M,,186719,EUR,807753600,M,27,27,False,,48.0,43.0,3.0,2.0,0.0,21.0,23.0,22.0,25.0,2.0,,,,,62.0,54.0,6.6,7.0,0.0397895,,1,,0.01,0.05,-0.06,,,,2.0,2.0,,1.0,,,,,,,,2.0,,,0.0238,-0.03,1.0,,,,,,,,,1.0,,,,
14131948,away,Sporting Braga,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,,1006865,EUR,954374400,M,5,5,False,,36.0,30.0,1.0,1.0,0.0,11.0,14.0,19.0,22.0,2.0,,,,,84.0,64.0,6.9,9.0,0.221643,,0,,0.26,0.03,-0.13,,,,1.0,4.0,,,2.0,2.0,,2.0,,3.0,1.0,2.0,1.0,,,,,,,,2.0,1.0,2.0,,,,,,,
14131948,away,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,,966575,EUR,934416000,F,10,10,False,,49.0,46.0,2.0,1.0,1.0,6.0,6.0,40.0,43.0,3.0,,,,,90.0,76.0,7.0,17.0,0.367415,,2,,-0.16,0.06,0.19,,,,9.0,8.0,,1.0,8.0,2.0,,2.0,,,5.0,3.0,1.0,1.0,0.2637,-0.2,2.0,3.0,,,2.0,,3.0,1.0,0.2165,1.0,,1.0,,
14131948,away,Sporting Braga,Pau Víctor,pau-victor,P. Víctor,F,18,182,39072,M,PauVíctor,1031567,EUR,1006819200,F,18,18,False,,19.0,15.0,1.0,1.0,0.0,7.0,9.0,8.0,10.0,2.0,,,,,62.0,23.0,6.4,7.0,0.0170088,,0,,-0.04,0.04,-0.08,,,,3.0,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,,314380,EUR,779587200,F,21,21,False,True,49.0,45.0,4.0,2.0,0.0,11.0,12.0,34.0,37.0,5.0,,,,,90.0,67.0,6.7,12.0,0.406414,,2,,0.32,-0.52,0.16,,,,7.0,3.0,2.0,,1.0,,,,1.0,,3.0,1.0,2.0,,0.0888,-0.2,2.0,,2.0,2.0,5.0,1.0,3.0,1.0,0.0714,1.0,,1.0,,
14131948,away,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,,6562,EUR,526521600,M,8,8,True,,49.0,46.0,2.0,1.0,0.0,13.0,13.0,33.0,36.0,2.0,,,,,28.0,51.0,6.6,4.0,0.0498321,,0,,0.31,-0.11,-0.03,,,,3.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14131948,away,Sporting Braga,Fran Navarro,fran-navarro,F. Navarro,F,39,179,1028,M,,914772,EUR,886464000,F,39,39,True,,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,,,,,28.0,11.0,6.2,3.0,0.0124149,,1,,-0.15,0.0,0.0,,,,2.0,2.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,0.2826,-0.54,,1.0,,,,,,,,,,,,1.0
14131948,away,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185,489,M,,1134430,EUR,1043193600,F,77,77,True,,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,1.0,,,,,11.0,12.0,6.4,5.0,0.0006139,,0,,-0.06,-0.18,0.16,,Gabriel Martínez,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,
14131948,away,Sporting Braga,Diego Rodrigues,rodrigues-diego,D. Rodrigues,M,50,178,222,M,,1184326,EUR,1116892800,M,50,50,True,,4.0,4.0,1.0,1.0,0.0,,,4.0,4.0,,,,,,1.0,4.0,,,0.00132685,,0,,,,,,Diego Henrique,Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Tiago Sá,tiago-sa,T. Sá,G,12,188,145,M,,344159,EUR,789782400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,,106751,EUR,694828800,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,,868235,EUR,931564800,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5068,M,gabrielmoscardo,1485309,EUR,1127865600,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,away,Sporting Braga,Amine El Ouazzani,el-ouazzani-amine,A. E. Ouazzani,F,9,188,2047,M,,1014048,EUR,995155200,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
