match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_accurateCross,stat_wonTackle,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,player_sofascoreId
14035970,home,RC Sporting Charleroi,Martin Delavallée,martin-delavalee,M. Delavallée,G,55,185,123,M,1141106,EUR,1079568000,G,55,55,False,20.0,16.0,13.0,9.0,0.0,9.0,9.0,7.0,11.0,6.0,1.0,2.0,3.0,90.0,28.0,6.9,4.0,0.00614028,56.309073059865,6.0,52.605,15.435,0.1567,0,-0.3933,0.13,0.02,-0.47,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Lewin Blum,lewin-blum,L. Blum,D,27,181,164,M,966670,EUR,996192000,D,27,27,False,33.0,28.0,2.0,,0.0,15.0,16.0,13.0,17.0,2.0,,,,90.0,52.0,5.9,11.0,0.0423385,54.158196294784,8.0,21.315,9.345,,0,,0.05,0.03,-0.39,,,,4.0,1.0,6.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Aiham Ousou,aiham-ousou,A. Ousou,D,4,186,1246,M,965265,EUR,947376000,D,4,4,False,58.0,51.0,9.0,5.0,0.0,35.0,36.0,16.0,22.0,2.0,,,,90.0,69.0,6.1,9.0,0.00658539,154.40704348366,20.0,103.32,21.315,,0,,0.05,0.06,-0.37,,,,,2.0,4.0,2.0,,,4.0,1.0,,,2.0,,True,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Cheick Keita,cheick-keita,C. Keita,D,95,185,229,M,1407973,EUR,1049241600,D,95,95,False,55.0,51.0,1.0,,0.0,39.0,39.0,12.0,16.0,4.0,,,,90.0,62.0,6.0,6.0,0.0100226,161.58295703454,19.0,84.84,38.325,,0,,-0.04,0.25,-0.32,,Cheick Keita,,,1.0,4.0,3.0,,2.0,4.0,,,,1.0,,,3.0,,,,1.0,45.920510025478,1.0,,,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Mardochee Nzita,mardochee-nzita,M. Nzita,D,24,178,111,M,990726,EUR,951350400,D,24,24,False,21.0,17.0,2.0,,0.0,9.0,10.0,8.0,11.0,1.0,,,,68.0,41.0,6.2,10.0,0.0269464,42.696366435149,8.0,16.59,9.555,,0,,0.08,0.04,-0.31,,,,5.0,,3.0,3.0,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Yassine Titraoui,yassine-titraoui,Y. Titraoui,M,22,170,2454,M,1094538,EUR,1059177600,M,22,22,False,49.0,46.0,7.0,6.0,0.0,19.0,21.0,27.0,28.0,8.0,,,,90.0,67.0,7.9,9.0,0.153518,234.21126367639,21.0,-1.68,16.275,,2,,0.27,0.27,-0.17,,Yacine Titraoui,,2.0,1.0,7.0,4.0,1.0,2.0,,3.0,2.0,,3.0,3.0,,2.0,,,3.0,1.0,34.94802437122,2.0,1.0,,1.0,2.0,1.0,0.0842,0.1603,0.55,,,,,,,,
14035970,home,RC Sporting Charleroi,Etienne Camara,etienne-camara,E. Camara,M,5,190,290,M,1097542,EUR,1048982400,M,5,5,False,45.0,38.0,5.0,4.0,0.0,26.0,28.0,12.0,17.0,8.0,,,,81.0,53.0,6.6,8.0,0.00550724,75.368553328245,11.0,17.955,7.35,,0,,0.0,0.09,-0.16,,Etienne Camara,,1.0,1.0,2.0,3.0,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
14035970,home,RC Sporting Charleroi,Antoine Bernier,antoine-bernier,A. Bernier,M,17,170,106,M,834261,EUR,873849600,M,17,17,False,17.0,14.0,2.0,,0.0,4.0,6.0,10.0,11.0,2.0,,,,68.0,29.0,6.7,9.0,0.0169837,60.109555038606,7.0,45.19,17.85,,0,,-0.08,0.28,-0.05,,,,2.0,,1.0,3.0,,,,,1.0,1.0,,,,,,,3.0,1.0,38.187563270092,2.0,,1.0,,,,,,,2.0,1.0,,,,,,
14035970,home,RC Sporting Charleroi,Patrick Pflücke,patrick-pflucke,P. Pflücke,M,14,170,191,M,281283,EUR,849312000,M,14,14,False,24.0,19.0,6.0,5.0,0.0,5.0,5.0,14.0,19.0,1.0,,,,81.0,35.0,6.5,10.0,0.0945883,34.5850509157,5.0,21.315,9.765,,4,,0.05,0.13,-0.13,,,,5.0,,,1.0,,,,,1.0,,,3.0,,,,,,,,,1.0,1.0,,,,0.3223,,-0.6,,,4.0,1.0,,,,
14035970,home,RC Sporting Charleroi,Parfait Guiagon,parfait-guiagon,P. Guiagon,M,10,169,1096,M,1030459,EUR,982800000,M,10,10,False,40.0,35.0,1.0,1.0,0.0,10.0,12.0,25.0,28.0,5.0,,,,90.0,73.0,8.0,15.0,0.161712,216.43954098098,21.0,152.67,35.7,,8,,0.06,0.36,-0.1,,,,4.0,1.0,6.0,11.0,,2.0,1.0,1.0,4.0,1.0,,2.0,,1.0,,,,,87.291660432201,4.0,,1.0,,3.0,1.0,0.3311,0.258,0.46,8.0,5.0,3.0,,2.0,,,
