match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoalsOnTarget,captain,stat_accurateCross,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork
12117028,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,27.0,20.0,9.0,2.0,19.0,21.0,1.0,6.0,8.0,1.0,4.0,4.0,90.0,36.0,7.1,7.0,0.00049204,0,0.2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117028,home,Vasco da Gama,João Victor,joao-victor,J. Victor,D,38,187,1769,M,,982998,EUR,900633600,D,38,38,False,33.0,27.0,,,11.0,14.0,16.0,20.0,8.0,,,,80.0,60.0,7.3,13.0,0.109051,1,,1.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0207,1.0,,,,,,,,,,,,,,,,,,,
12117028,home,Vasco da Gama,Maicon,maicon,Maicon,D,3,191,836,M,,44691,EUR,590198400,D,4,4,False,55.0,50.0,6.0,4.0,32.0,33.0,18.0,22.0,8.0,,,,90.0,70.0,7.7,7.0,0.0174175,1,,,4.0,2.0,7.0,,,,,4.0,,1.0,,2.0,2.0,1.0,0.1759,,1.0,1.0,1.0,2.0,0.5098,,,,,,,,,,,,,,
12117028,home,Vasco da Gama,Léo,leo,Léo,D,3,183,707,M,,360940,EUR,826070400,D,3,3,False,63.0,55.0,6.0,3.0,29.0,32.0,26.0,32.0,7.0,,,,90.0,74.0,6.9,9.0,0.0157253,0,,1.0,2.0,2.0,3.0,2.0,,,,9.0,,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
12117028,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,38.0,38.0,2.0,2.0,20.0,20.0,20.0,26.0,3.0,,,,90.0,67.0,7.0,11.0,0.0626246,0,,8.0,,6.0,7.0,3.0,,1.0,,,,7.0,4.0,3.0,,1.0,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,
12117028,home,Vasco da Gama,Pablo Galdames,pablo-galdames,P. Galdames,M,4,177,1057,M,,386230,EUR,851904000,M,27,27,False,53.0,48.0,7.0,6.0,17.0,18.0,31.0,36.0,3.0,,,,80.0,66.0,7.1,7.0,0.0437366,3,,1.0,1.0,4.0,1.0,1.0,1.0,,,2.0,,,,,,2.0,0.0562,1.0,,1.0,,2.0,0.0644,,,,,2.0,,,,,,,,,
12117028,home,Vasco da Gama,Juan Sforza,juan-sforza,J. Sforza,M,13,179,1614,M,,1003013,EUR,1013644800,M,20,20,False,81.0,76.0,6.0,5.0,36.0,38.0,40.0,43.0,5.0,,,,90.0,90.0,7.2,5.0,0.0277883,1,,,1.0,3.0,4.0,1.0,,1.0,,,1.0,2.0,1.0,,,2.0,0.0513,,,1.0,,1.0,0.1336,,,,,,1.0,,,,,,,,
12117028,home,Vasco da Gama,Rossi,rossi,Rossi,M,,170,602,M,,243425,EUR,735436800,M,31,31,False,13.0,9.0,1.0,,4.0,5.0,5.0,10.0,1.0,,,,45.0,26.0,6.8,8.0,0.00298711,0,,2.0,,1.0,2.0,,,,,1.0,,2.0,2.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
12117028,home,Vasco da Gama,Dimitri Payet,dimitri-payet,D. Payet,M,,175,8203,M,payet27,14216,EUR,543974400,M,10,10,False,46.0,41.0,2.0,1.0,10.0,11.0,34.0,39.0,2.0,,,,67.0,64.0,8.2,11.0,0.50765,1,,4.0,,5.0,3.0,,2.0,3.0,,,,1.0,1.0,1.0,1.0,,0.1436,4.0,1.0,1.0,,,0.0749,,3.0,,,,1.0,2.0,1.0,,,,,,
12117028,home,Vasco da Gama,David,david,David,M,7,179,2160,M,,840291,EUR,813888000,M,7,7,False,33.0,27.0,,,5.0,5.0,22.0,29.0,6.0,,,,90.0,58.0,7.5,15.0,0.0577883,5,,1.0,1.0,9.0,9.0,1.0,2.0,6.0,2.0,,,3.0,3.0,4.0,1.0,2.0,0.4543,1.0,2.0,1.0,,,0.068,,,,,2.0,4.0,,,,,,,,
