match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,player_firstName,player_lastName,captain,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_goalAssist,stat_bigChanceMissed,stat_totalOffside,stat_punches
10408458,home,Espanyol,Álvaro Fernández,alvaro-fernandez,Á. Fernández,G,25,186,269,M,852412,EUR,892425600,G,25,25,False,30.0,20.0,26.0,16.0,5.0,6.0,15.0,24.0,1.0,1.0,9.0,1.0,1.0,1.0,3.0,90.0,40.0,6.0,10.0,0.0,0.0,0.017975,1.0,0,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408458,home,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183,302,M,857205,EUR,811036800,D,5,5,False,25.0,20.0,6.0,4.0,8.0,8.0,12.0,19.0,,3.0,2.0,,,,,74.0,46.0,7.0,11.0,0.0,0.0,0.0228557,1.0,0,,2.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10408458,home,Espanyol,Sergi Gómez,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,24,24,False,25.0,19.0,9.0,3.0,14.0,14.0,5.0,11.0,,5.0,3.0,,,,,90.0,36.0,6.4,7.0,0.0,0.0,0.00329559,,0,,,1.0,,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
10408458,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,4,4,False,27.0,16.0,10.0,4.0,10.0,11.0,6.0,16.0,,3.0,3.0,,,,,90.0,32.0,6.2,11.0,0.0621,0.0,0.00242267,,1,,,3.0,3.0,4.0,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
10408458,home,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179,147,M,351500,EUR,765158400,D,14,14,False,24.0,12.0,12.0,3.0,4.0,6.0,8.0,19.0,,5.0,8.0,,,,,90.0,48.0,6.4,20.0,0.0,0.0,0.0109405,,0,,1.0,,1.0,2.0,4.0,,1.0,,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
10408458,home,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,26.0,18.0,5.0,3.0,6.0,8.0,15.0,26.0,,,6.0,,,,,87.0,45.0,8.0,15.0,0.1428,0.2272,0.134874,3.0,2,,8.0,,,2.0,4.0,,,,2.0,1.0,2.0,2.0,,1.0,,,,True,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10408458,home,Espanyol,Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,12,12,False,21.0,12.0,5.0,2.0,3.0,4.0,9.0,17.0,,1.0,4.0,,,,,87.0,33.0,7.1,9.0,0.0,0.0,0.0054791,,0,,,2.0,2.0,6.0,8.0,1.0,,,3.0,2.0,,3.0,3.0,3.0,,,,,,,,,,,,,,,,
10408458,home,Espanyol,Javi Puado,javi-puado,J. Puado,M,7,178,1352,M,891511,EUR,896054400,M,7,7,False,10.0,8.0,,,5.0,5.0,3.0,5.0,,1.0,5.0,,,,,45.0,19.0,6.5,6.0,0.0271,0.1414,0.00954676,,1,,,,,4.0,2.0,1.0,,,,,3.0,2.0,,2.0,,,,,,1.0,,,1.0,,,,,,,
10408458,home,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175,1017,M,877262,EUR,838857600,M,20,20,False,19.0,14.0,1.0,,4.0,5.0,11.0,17.0,,,4.0,,,,,62.0,29.0,6.8,10.0,0.0,0.0,0.0306931,,0,,3.0,,1.0,1.0,4.0,,,,2.0,2.0,2.0,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,
10408458,home,Espanyol,Martin Braithwaite,martin-braithwaite,M. Braithwaite,F,22,180,6808,M,66471,EUR,676080000,M,17,17,False,20.0,12.0,,,2.0,2.0,10.0,19.0,,1.0,2.0,,,,,90.0,31.0,6.5,12.0,0.2544,0.4694,0.0159869,1.0,3,,1.0,2.0,1.0,7.0,2.0,,,,1.0,,1.0,3.0,,,1.0,,,,,2.0,,,2.0,,,braithwaite,1.0,1.0,1.0,
