match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_outfielderBlock,captain,stat_shotOffTarget,stat_hitWoodwork,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goals
14025101,home,Brentford,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,1,1,False,22.0,20.0,5.0,3.0,0.0,18.0,19.0,2.0,3.0,5.0,1.0,90.0,25.0,6.0,2.0,0.00044444,74.266902530095,10.0,46.935,11.655,0,-1.148,0.03,0.0,-0.15,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025101,home,Brentford,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,False,47.0,42.0,2.0,1.0,0.0,17.0,18.0,25.0,29.0,7.0,,81.0,81.0,6.8,19.0,0.0548688,106.77265964145,14.0,32.13,15.225,0,,0.25,0.11,-0.24,,3.0,1.0,1.0,6.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,26.557451402573,1.0,1.0,,,,,,,,,,,,,,,,,,,
14025101,home,Brentford,Kristoffer Ajer,,,kristoffer-ajer,K. Ajer,D,20,196,1144,M,,576384,EUR,892771200,D,20,20,False,10.0,9.0,,,0.0,7.0,7.0,2.0,3.0,,,37.0,14.0,6.6,1.0,0.00164354,70.073103569319,4.0,48.72,36.96,0,,-0.07,0.11,0.25,,,1.0,,1.0,,,,,,,,,,,,37.358201241494,1.0,,1.0,,,,,,,,,,,,,,,,,,
14025101,home,Brentford,Nathan Collins,,,nathan-collins,N. Collins,D,22,193,1556,M,,958916,EUR,988588800,D,22,22,False,94.0,85.0,6.0,4.0,0.0,46.0,48.0,39.0,46.0,3.0,,90.0,103.0,6.7,9.0,0.009869,397.92430195063,43.0,230.055,27.51,0,,-0.01,0.24,-0.26,,,3.0,3.0,4.0,5.0,1.0,,,,2.0,1.0,2.0,,,,101.68596732814,4.0,,,True,,,,,,,,,,,,,,,,,
14025101,home,Brentford,Rico Henry,,,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,D,3,3,False,37.0,34.0,1.0,1.0,0.0,11.0,11.0,23.0,26.0,3.0,,67.0,57.0,6.6,9.0,0.161009,93.004492157827,12.0,18.165,15.015,0,,0.18,0.02,-0.08,,3.0,2.0,1.0,3.0,3.0,,1.0,,,5.0,1.0,2.0,1.0,2.0,,15.857497438121,1.0,,,,,,,,,,,,,,,,,,,,
14025101,home,Brentford,Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2555,M,,1031258,EUR,1078099200,M,18,18,False,52.0,48.0,4.0,4.0,0.0,17.0,17.0,31.0,35.0,9.0,,81.0,70.0,7.1,11.0,0.0689531,142.14053759286,14.0,5.04,16.59,1,,0.32,0.03,0.14,,3.0,,2.0,4.0,6.0,1.0,1.0,,,3.0,,2.0,,3.0,2.0,29.299462179364,1.0,,1.0,,1.0,1.0,2.0,0.1314,-0.53,,,,,,,,,,,,
14025101,home,Brentford,Vitaly Janelt,,,vitaly-janelt,V. Janelt,M,27,184,1191,M,,814873,EUR,894758400,M,27,27,False,62.0,49.0,5.0,2.0,0.0,15.0,17.0,34.0,45.0,3.0,,90.0,79.0,6.4,21.0,0.0902552,201.42080362827,26.0,104.685,19.74,1,,0.3,0.12,-0.25,,8.0,2.0,1.0,6.0,1.0,2.0,1.0,,,,3.0,,,1.0,,20.14357823228,1.0,1.0,,,,,1.0,0.074,-0.1,2.0,1.0,,,,,,,,,,
14025101,home,Brentford,Mathias Jensen,,,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,64.0,57.0,6.0,5.0,0.0,15.0,16.0,42.0,48.0,5.0,,90.0,83.0,7.7,14.0,0.66415,128.75810468236,17.0,42.42,20.265,0,,0.77,0.27,-0.11,,5.0,1.0,,4.0,3.0,,2.0,2.0,2.0,,2.0,1.0,,3.0,,47.399575717059,3.0,3.0,,,,,1.0,,,3.0,,2.0,,,,,,,,,
14025101,home,Brentford,Mikkel Damsgaard,,,damsgaard-mikkel,M. Damsgaard,M,24,180,3593,M,,907072,EUR,962582400,M,24,24,False,17.0,12.0,1.0,,0.0,2.0,3.0,10.0,14.0,1.0,,37.0,25.0,6.8,9.0,0.0188352,43.062013965514,5.0,19.845,15.33,0,,-0.05,0.31,0.13,,4.0,,1.0,1.0,3.0,,,1.0,1.0,2.0,,,,,1.0,17.240343500058,1.0,,,,,,1.0,,,,,,,,,,,,,,
14025101,home,Brentford,Kevin Schade,,,kevin-schade,K. Schade,M,7,183,3191,M,,1006387,EUR,1006819200,M,7,7,False,30.0,22.0,1.0,1.0,0.0,4.0,4.0,18.0,26.0,2.0,,90.0,50.0,7.0,18.0,0.262845,186.80686143683,19.0,140.91,21.945,2,,0.46,0.31,-0.11,,2.0,3.0,5.0,9.0,10.0,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,113.100634207,7.0,1.0,,,1.0,,3.0,0.1625,-0.51,1.0,1.0,1.0,,,,,,,,,
