match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_challengeLost,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside
14053803,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,588,M,253875,EUR,817948800,G,22,22,False,41.0,22.0,28.0,9.0,0.0,17.0,19.0,5.0,22.0,1.0,12.0,1.0,2.0,3.0,1.0,1.0,90.0,51.0,5.9,19.0,0.00298661,0.4245,0,-1.2505,0.05,0.02,-0.23,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053803,home,Feyenoord,Givairo Read,,,givairo-read,G. Read,D,26,175,1865,M,1388535,EUR,1149206400,D,26,26,False,25.0,23.0,1.0,1.0,1.0,15.0,15.0,8.0,10.0,2.0,3.0,,,,,,88.0,47.0,6.5,7.0,0.00938144,,0,,-0.16,0.27,-0.48,,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14053803,home,Feyenoord,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1550,M,825899,EUR,922406400,D,21,21,False,53.0,48.0,3.0,1.0,0.0,32.0,36.0,16.0,17.0,3.0,6.0,,,,,,90.0,68.0,6.1,5.0,0.0127944,,0,,0.07,0.15,-0.79,,,8.0,,,,5.0,2.0,,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
14053803,home,Feyenoord,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,57.0,52.0,6.0,4.0,0.0,35.0,36.0,17.0,21.0,4.0,5.0,,,,,,90.0,67.0,6.5,5.0,0.00896527,,1,,0.09,0.12,-0.28,,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,0.1216,-0.23,,,,,,,,,,,,
14053803,home,Feyenoord,Jordan Bos,Jordan Bos,,jordan-bos,J. Bos,D,15,180,747,M,1144138,EUR,1035849600,D,15,15,False,31.0,27.0,2.0,1.0,0.0,19.0,20.0,8.0,11.0,2.0,3.0,,,,,,72.0,66.0,6.6,13.0,0.0261252,,0,,0.21,-0.42,-0.29,,2.0,9.0,3.0,1.0,1.0,1.0,1.0,,3.0,2.0,8.0,5.0,3.0,,1.0,,1.0,,,1.0,3.0,,,,,,,,,,
14053803,home,Feyenoord,Luciano Valente,Luciano Valente,,luciano-valente,L. Valente,M,10,189,1455,M,1121400,EUR,1065225600,M,40,40,False,47.0,36.0,5.0,1.0,0.0,14.0,16.0,22.0,31.0,,8.0,,,,,,90.0,60.0,6.9,16.0,0.0282937,,2,,0.11,0.21,-0.37,,,2.0,2.0,1.0,,,1.0,,2.0,,10.0,,,,4.0,1.0,1.0,0.4052,0.48,2.0,2.0,1.0,1.0,1.0,0.4488,,,,,,
14053803,home,Feyenoord,Oussama Targhalline,Oussama Targhalline,,oussama-targhalline,O. Targhalline,M,28,186,7802,M,1095731,EUR,1021852800,M,28,28,False,49.0,41.0,1.0,,0.0,15.0,17.0,26.0,32.0,1.0,4.0,,,,,,88.0,65.0,7.8,10.0,0.0879786,,1,,0.26,0.16,-0.16,,,5.0,,,,2.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,,1.0,,2.0,0.0399,0.55,1.0,1.0,,1.0,1.0,0.3289,targhaoussama,,,,,
14053803,home,Feyenoord,In-Beom Hwang,,,in-beom-hwang,I. Hwang,M,6,177,3392,M,889689,EUR,843177600,M,6,6,False,28.0,24.0,1.0,1.0,0.0,15.0,15.0,9.0,13.0,1.0,3.0,,,,,,45.0,35.0,6.6,5.0,0.0139495,,0,,0.03,0.0,-0.1,,1.0,3.0,,,,1.0,1.0,,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,Hwang,,,,,
14053803,home,Feyenoord,Anis Hadj Moussa,,,anis-hadj-moussa,A. H. Moussa,F,23,176,22233,M,1218066,EUR,1013385600,F,23,23,False,20.0,7.0,3.0,1.0,0.0,5.0,9.0,2.0,11.0,1.0,3.0,,,,,,90.0,46.0,6.7,26.0,0.269029,,1,,0.25,0.26,-0.09,,7.0,4.0,7.0,3.0,,,,2.0,,,7.0,1.0,1.0,,2.0,1.0,1.0,0.0338,0.0,1.0,4.0,,,,,hadj.a20,True,3.0,,,
14053803,home,Feyenoord,Ayase Ueda,,,ueda-ayase,A. Ueda,F,9,182,7469,M,985823,EUR,904262400,F,9,9,False,22.0,14.0,2.0,,0.0,6.0,8.0,8.0,14.0,,3.0,,,,,,90.0,37.0,6.3,16.0,0.0183742,,5,,-0.44,0.23,-0.02,,,5.0,1.0,,,,2.0,,1.0,3.0,5.0,,,,,,,0.3919,-0.51,3.0,3.0,,3.0,,0.2284,bee18,,,2.0,,
