match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_wasFouled,stat_totalCross,stat_aerialWon,stat_wonTackle,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,captain,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,player_sofascoreId,stat_goalAssist,stat_hitWoodwork,stat_goals
10438090,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,23.0,13.0,17.0,8.0,7.0,9.0,6.0,14.0,1.0,11.0,3.0,1.0,1.0,90.0,33.0,6.3,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Renato Pantalon,renato-pantalon,R. Pantalon,D,196,88,M,826561,EUR,877910400,D,42,42,False,41.0,31.0,4.0,1.0,24.0,28.0,7.0,13.0,3.0,5.0,,,,90.0,57.0,6.7,13.0,0,84,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Josué Sá,josue-sa,J. Sá,D,186,48,M,137982,EUR,708739200,D,23,23,False,34.0,32.0,4.0,2.0,25.0,25.0,7.0,9.0,5.0,7.0,,,,73.0,45.0,6.6,3.0,0,3,5.0,1.0,1.0,,1.0,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Patrick William,patrick-william,P. William,D,186,83,M,921624,EUR,865296000,D,4,4,False,40.0,26.0,10.0,4.0,17.0,23.0,9.0,19.0,2.0,7.0,,,,90.0,51.0,6.7,17.0,0,,,2.0,,,3.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Costinha,costinha,Costinha,D,181,818,M,988333,EUR,954028800,M,20,20,False,34.0,23.0,5.0,2.0,12.0,17.0,11.0,17.0,1.0,12.0,,,,90.0,76.0,6.7,24.0,0,20,12.0,11.0,2.0,,2.0,6.0,3.0,1.0,,,2.0,2.0,,2.0,3.0,3.0,5.0,1.0,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Andreas Samaris,andreas-samaris,A. Samaris,M,189,309,,108398,EUR,613699200,M,30,30,False,44.0,38.0,5.0,2.0,23.0,23.0,15.0,21.0,1.0,4.0,,,,90.0,54.0,6.8,9.0,2,,2.0,4.0,1.0,,,,1.0,,,,,1.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10438090,home,Rio Ave,Gonçalo Rodrigues,goncalo-rodrigues,G. Rodrigues,M,168,231,M,357740,EUR,869184000,M,6,6,False,30.0,23.0,3.0,,7.0,9.0,17.0,24.0,5.0,7.0,,,,90.0,56.0,7.1,12.0,0,16,5.0,10.0,4.0,,,3.0,1.0,,,,,4.0,3.0,,2.0,,4.0,3.0,,True,1.0,1.0,,,,,,,,,,,
10438090,home,Rio Ave,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,178,236,M,1134514,EUR,988416000,M,77,77,False,18.0,16.0,2.0,2.0,9.0,10.0,7.0,9.0,2.0,4.0,,,,80.0,51.0,6.6,11.0,1,11,9.0,7.0,2.0,,3.0,2.0,1.0,1.0,,,1.0,3.0,1.0,,1.0,1.0,6.0,2.0,,,,,1.0,,,,,,,,,,
10438090,home,Rio Ave,Miguel Baeza,miguel-baeza,M. Baeza,M,177,123,M,902051,EUR,954115200,F,15,15,False,24.0,18.0,1.0,1.0,6.0,7.0,12.0,19.0,1.0,3.0,,,,66.0,32.0,6.7,9.0,0,8,1.0,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
10438090,home,Rio Ave,Emmanuel Boateng,emmanuel-boateng,E. Boateng,F,175,588,M,580392,EUR,832809600,F,22,22,False,10.0,8.0,,,3.0,4.0,5.0,6.0,,2.0,,,,73.0,22.0,6.2,7.0,1,9,9.0,3.0,1.0,,1.0,,3.0,1.0,,,5.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,
