match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length
14062151,FT,0.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
14062151,,,,,90,9.0,,1,,,card,Yukinari Sugawara,Argument,False,124458887.0,False,yellow,905347.0,Yukinari Sugawara,,
14062151,,,,,90,5.0,,1,,,card,Senne Lynen,Foul,False,124458849.0,False,yellow,826171.0,Senne Lynen,,
14062151,,,,,90,4.0,,1,,,card,Cedric Zesiger,Foul,False,124458833.0,True,yellow,798926.0,Cedric Zesiger,,
14062151,,,,,90,2.0,,1,,,substitution,,,,125277850.0,True,regular,,,False,
14062151,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0
14062151,,,,,83,,,8,,,substitution,,,,125277734.0,False,regular,,,False,
14062151,,,,,83,,,8,,,substitution,,,,125277672.0,False,regular,,,False,
14062151,,,,,78,,,13,,,substitution,,,,125277637.0,True,regular,,,False,
14062151,,,,,75,,,16,,,substitution,,,,125277581.0,False,regular,,,False,
14062151,,,,,74,,,17,,,card,Amos Pieper,Foul,False,124458668.0,False,yellow,851254.0,Amos Pieper,,
14062151,,,,,68,,,23,,,substitution,,,,125277520.0,False,regular,,,False,
14062151,,,,,65,,,26,,,card,Noahkai Banks,Foul,False,124458622.0,True,yellow,1597260.0,Noahkai Banks,,
14062151,,,,,56,,,35,,,substitution,,,,125277454.0,True,injury,,,True,
14062151,,,,,56,,,35,,,substitution,,,,125277446.0,True,regular,,,False,
14062151,,,,,46,,,45,,,substitution,,,,125277333.0,True,regular,,,False,
14062151,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
14062151,,,,,45,4.0,,1,,,card,Romano Schmid,Argument,False,124458331.0,False,yellow,830127.0,Romano Schmid,,
14062151,,,,,45,4.0,,1,,,card,Dimitrios Giannoulis,Argument,False,124458330.0,True,yellow,354878.0,Dimitrios Giannoulis,,
14062151,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,3.0
