match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_goals,stat_totalClearance,stat_interceptionWon,stat_wonTackle,captain,stat_challengeLost,stat_outfielderBlock,stat_lastManTackle,stat_wonContest,stat_bigChanceCreated,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_penaltyConceded
14109740,home,Çaykur Rizespor,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194.0,3551,M,yahia.fofana_,877977,EUR,966816000,G,75,75,False,28.0,17.0,15.0,6.0,0.0,13.0,20.0,4.0,8.0,5.0,1.0,90.0,31.0,6.6,11.0,0.00203578,25.876669143282,5.0,18.585,8.295,0,-0.04,0.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Mithat Pala,mithat-pala,M. Pala,D,54,172.0,57,M,,1016393,EUR,966297600,D,54,54,False,31.0,26.0,1.0,,0.0,10.0,11.0,16.0,20.0,6.0,,90.0,55.0,7.0,15.0,0.0820441,188.78495845413,19.0,140.49,33.075,2,0.32,0.24,0.14,,,5.0,1.0,3.0,1.0,8.0,6.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0895,0.234,81.884811396774,4.0,1.0,-0.22,,,,,,,,,,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190.0,969,M,,863600,EUR,763516800,D,3,3,False,31.0,26.0,4.0,1.0,0.0,17.0,18.0,9.0,13.0,6.0,,85.0,52.0,8.6,5.0,0.00331407,85.140199335968,9.0,39.375,15.96,2,0.11,0.17,0.49,,,,,1.0,3.0,3.0,9.0,,1.0,3.0,,3.0,2.0,0.1777,0.7832,,,,0.51,1.0,1.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187.0,580,M,,904759,EUR,924048000,D,27,27,False,38.0,33.0,4.0,,0.0,28.0,30.0,5.0,8.0,6.0,,90.0,55.0,7.1,5.0,0.214636,48.287444568185,6.0,29.715,15.54,0,0.26,0.04,0.27,,,,,1.0,1.0,2.0,4.0,,,3.0,,,2.0,,,15.552046296227,1.0,,,,,4.0,5.0,2.0,,,,,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Casper Højer,casper-hojer,C. Højer,D,5,183.0,148,M,,281233,EUR,785289600,D,5,5,False,44.0,36.0,6.0,2.0,0.0,21.0,25.0,15.0,19.0,5.0,,90.0,67.0,7.9,14.0,0.0606914,68.540277824421,11.0,-3.675,6.825,0,0.35,0.01,0.78,,,6.0,1.0,,1.0,2.0,5.0,,,4.0,,,1.0,,,,,1.0,,,,3.0,1.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Qazim Laci,qazim-laci,Q. Laci,M,20,173.0,992,M,,284395,EUR,822009600,M,20,20,False,40.0,35.0,6.0,3.0,0.0,17.0,18.0,18.0,22.0,6.0,,68.0,52.0,7.7,9.0,0.18646,69.291243231179,10.0,27.09,7.875,1,0.15,0.28,0.14,,,4.0,1.0,1.0,,4.0,2.0,2.0,1.0,,,1.0,1.0,0.7884,0.7845,,,1.0,0.32,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Giannis Papanikolaou,giannis-papanikolaou,G. Papanikolaou,M,6,182.0,212,M,,856988,EUR,911347200,M,6,6,False,30.0,25.0,2.0,2.0,0.0,12.0,14.0,13.0,16.0,7.0,,90.0,49.0,7.2,8.0,0.0282291,39.377270256671,6.0,5.67,8.715,1,0.21,0.2,0.19,,,,,2.0,3.0,7.0,9.0,,,5.0,1.0,1.0,4.0,0.1896,,,,1.0,-0.52,1.0,,5.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,
14109740,home,Çaykur Rizespor,Jesurun Rak-Sakyi,jesurun-rak-sakyi,J. Rak-Sakyi,M,21,178.0,1017,M,,1101362,EUR,1033776000,M,19,19,False,15.0,11.0,,,0.0,1.0,1.0,10.0,14.0,,,68.0,30.0,6.7,10.0,0.0956004,87.942948987379,7.0,65.1,30.765,2,0.16,0.34,0.13,,,,,,,5.0,4.0,2.0,,1.0,2.0,2.0,1.0,0.3494,,68.847341432848,4.0,2.0,-0.42,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,
14109740,home,Çaykur Rizespor,Ibrahim Olawoyin,ibrahim-olawoyin,I. Olawoyin,M,10,178.0,461,M,,1008173,EUR,880934400,M,10,10,False,21.0,14.0,2.0,2.0,0.0,5.0,6.0,9.0,15.0,3.0,,82.0,33.0,6.6,12.0,0.0194991,151.36822190207,12.0,92.82,31.815,2,-0.04,0.3,0.0,,,,,1.0,2.0,3.0,4.0,1.0,,,4.0,1.0,2.0,0.1337,,94.055032047066,5.0,,-0.19,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,
14109740,home,Çaykur Rizespor,Loide Augusto,loide-augusto,L. Augusto,M,50,183.0,1033,M,,1110708,EUR,951523200,M,50,50,False,32.0,26.0,1.0,,1.0,9.0,11.0,17.0,21.0,9.0,,90.0,58.0,7.7,14.0,0.319743,247.61451615718,19.0,181.125,31.08,1,0.47,0.37,-0.12,Loide Augusto,,3.0,1.0,1.0,,9.0,9.0,9.0,,2.0,1.0,1.0,1.0,0.0172,,116.39079097429,6.0,2.0,0.0,,,2.0,1.0,1.0,,3.0,,,6.0,1.0,1.0,,1.0,,,,,,,,
