match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_aerialLost,stat_fouls,stat_accurateCross,stat_wonContest,stat_keyPass,captain,stat_wasFouled,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside
12421094,home,KRC Genk,Hendrik Van Crombrugge,,,hendrik-van-crombrugge,H. V. Crombrugge,G,1,188,195,M,110777,EUR,736128000,G,1,1,False,30.0,26.0,6.0,2.0,0.0,24.0,24.0,2.0,6.0,1.0,7.0,1.0,3.0,90.0,38.0,6.6,4.0,0.0004164,0,-0.2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421094,home,KRC Genk,Zakaria El Ouahdi,,,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172,3909,M,1134470,EUR,1009756800,D,77,77,False,39.0,34.0,6.0,4.0,0.0,15.0,16.0,19.0,24.0,1.0,6.0,,,78.0,58.0,7.5,8.0,0.0285773,2,,z.elouahdi,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.2341,0.3273,,,,,,,,,,,,,,
12421094,home,KRC Genk,Mujaid Sadick,,,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,86.0,85.0,1.0,1.0,0.0,60.0,61.0,25.0,25.0,3.0,5.0,,,90.0,96.0,6.3,5.0,0.00991245,1,,,,3.0,1.0,,1.0,,,1.0,,,,1.0,0.2587,,1.0,2.0,1.0,1.0,,,,,,,,,,
12421094,home,KRC Genk,Matte Smets,,,smets-matte,M. Smets,D,6,184,963,M,1392905,EUR,1073174400,D,6,6,False,104.0,97.0,13.0,11.0,0.0,56.0,59.0,41.0,45.0,1.0,7.0,,,90.0,111.0,7.1,8.0,0.0300669,0,,,,3.0,2.0,,,,,2.0,,1.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,,
12421094,home,KRC Genk,Joris Kayembe,,,joris-kayembe-ditu,J. Kayembe,D,18,180,4977,M,354046,EUR,776304000,D,18,18,False,76.0,70.0,2.0,1.0,0.0,25.0,27.0,46.0,53.0,1.0,6.0,,,90.0,100.0,6.9,12.0,0.0926089,0,,joriskayembe23,4.0,1.0,3.0,,,,,,1.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,
12421094,home,KRC Genk,Ibrahima Sory Bangoura,,,ibrahima-sory-bangoura,I. S. Bangoura,M,21,190,620,M,1396027,EUR,1073260800,M,21,21,False,74.0,68.0,6.0,6.0,0.0,21.0,22.0,47.0,52.0,1.0,6.0,,,90.0,88.0,7.6,7.0,0.064481,1,,,,4.0,10.0,1.0,1.0,,,,2.0,8.0,5.0,,0.1397,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,
12421094,home,KRC Genk,Bryan Heynen,,,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,66.0,58.0,7.0,4.0,0.0,20.0,20.0,38.0,47.0,2.0,5.0,,,90.0,86.0,7.5,13.0,0.179598,1,,,1.0,1.0,5.0,,,,,2.0,3.0,,,2.0,0.0274,,1.0,1.0,1.0,1.0,,,,1.0,1.0,True,3.0,,,
12421094,home,KRC Genk,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179,987,M,1099462,EUR,1012780800,M,23,23,False,69.0,60.0,9.0,7.0,0.0,20.0,20.0,42.0,58.0,,3.0,,,84.0,92.0,8.9,21.0,0.530938,3,,,9.0,4.0,4.0,,,1.0,1.0,,,1.0,,3.0,0.2723,0.3475,,1.0,3.0,2.0,,2.0,2.0,2.0,5.0,,1.0,3.0,,
12421094,home,KRC Genk,Patrik Hrošovský,,,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,39.0,35.0,3.0,1.0,0.0,10.0,10.0,25.0,29.0,,5.0,,,90.0,53.0,7.7,9.0,0.207319,3,,,,3.0,6.0,1.0,,2.0,,,,3.0,3.0,2.0,0.1778,0.8452,,2.0,1.0,,,,,1.0,2.0,,2.0,,1.0,1.0
12421094,home,KRC Genk,Christopher Baah,Christopher Baah,,christopher-baah,C. Baah,M,22,172,2650,M,1477662,EUR,1102982400,M,7,7,False,29.0,24.0,1.0,1.0,1.0,7.0,7.0,18.0,25.0,,2.0,,,78.0,52.0,7.9,14.0,0.612088,1,,,3.0,3.0,8.0,,,,,,1.0,2.0,2.0,3.0,0.0749,,,2.0,5.0,1.0,,,1.0,4.0,1.0,,2.0,1.0,,
