match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wasFouled,stat_keyPass,captain,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceMissed
11391452,home,Metz,Alexandre Oukidja,alexandre-oukidja,A. Oukidja,G,90,185,3337,M,32668,EUR,585273600,G,16,16,False,35.0,16.0,32.0,14.0,3.0,6.0,13.0,29.0,2.0,11.0,2.0,1.0,2.0,1.0,90.0,44.0,7.1,19.0,0.00270776,0,-0.610086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391452,home,Metz,Maxime Colin,maxime-colin,M. Colin,D,2,179,51,M,128285,EUR,690163200,D,2,2,False,38.0,24.0,9.0,2.0,16.0,21.0,8.0,19.0,6.0,5.0,,,,,90.0,66.0,6.8,19.0,0.0388543,1,,2.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.1559,,,,,,,,,,,,,,,,,,,
11391452,home,Metz,Ismaël Traoré,ismael-traore,I. Traore,D,,184,129,M,25506,EUR,524707200,D,8,8,False,26.0,22.0,5.0,3.0,22.0,24.0,,2.0,8.0,2.0,,,,,90.0,41.0,6.9,5.0,0.00059191,1,,,1.0,,4.0,,,,,1.0,1.0,,,0.045,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11391452,home,Metz,Christophe Herelle,christophe-herelle,C. Herelle,D,4,188,67,M,225092,EUR,714441600,D,29,29,False,31.0,30.0,6.0,5.0,22.0,22.0,8.0,9.0,5.0,7.0,,,,,68.0,43.0,7.3,1.0,0.0224643,1,,,,4.0,,6.0,,,,,,1.0,,0.0572,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,
11391452,home,Metz,Matthieu Udol,matthieu-udol,M. Udol,D,14,178,453,M,787827,EUR,827280000,D,3,3,False,31.0,20.0,6.0,,12.0,17.0,9.0,17.0,4.0,3.0,,,,,90.0,55.0,7.4,16.0,0.0449516,0,,3.0,2.0,,3.0,5.0,,4.0,4.0,,1.0,1.0,1.0,,1.0,,,,,,,,2.0,True,1.0,1.0,1.0,,,,,,
11391452,home,Metz,Lamine Camara,camara-lamine,L. Camara,M,15,174,20442,M,1389846,EUR,1072915200,M,18,18,False,30.0,25.0,7.0,6.0,14.0,15.0,12.0,17.0,,5.0,,,,,89.0,42.0,6.9,10.0,0.0246298,0,,2.0,1.0,,4.0,4.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,2.0,,Lamine Camara,,,1.0,1.0,,,1.0,,lamine_camara_5,,,,,
11391452,home,Metz,Danley Jean Jacques,jean-jacques-danley,D. J. Jacques,M,21,180,4507,M,1173167,EUR,958780800,M,27,27,False,21.0,15.0,3.0,,9.0,12.0,6.0,9.0,1.0,5.0,,,,,90.0,34.0,7.0,6.0,0.00457138,1,,,1.0,1.0,1.0,4.0,,,,1.0,3.0,2.0,,0.0154,,,,,,,,1.0,,,,,,,1.0,,,,
11391452,home,Metz,Kevin Van Den Kerkhof,kevin-van-den-kerkhof,K. V. D. Kerkhof,D,3,190,2115,M,1130602,EUR,826675200,M,22,22,False,20.0,11.0,2.0,,6.0,7.0,6.0,18.0,2.0,7.0,,,,,89.0,37.0,8.1,16.0,0.0721144,3,,5.0,,1.0,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.2395,2.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,2.0,1.0,,
11391452,home,Metz,Ablie Jallow,ablie-jallow,A. Jallow,M,30,160,681,M,886534,EUR,911001600,M,36,36,False,26.0,21.0,1.0,1.0,11.0,11.0,10.0,15.0,,6.0,,,,,84.0,41.0,7.2,9.0,0.195393,0,,,5.0,2.0,8.0,4.0,2.0,1.0,,,3.0,,,,,,1.0,,,,,3.0,1.0,,1.0,,1.0,,,,,,
11391452,home,Metz,Papa Amadou Diallo,pape-diallo,P. Diallo,M,19,182,921,M,1463508,EUR,1088121600,M,7,7,False,19.0,12.0,,,5.0,8.0,7.0,11.0,,6.0,,,,,84.0,27.0,6.5,10.0,0.0604121,0,,,1.0,2.0,4.0,2.0,,1.0,,,1.0,,,,1.0,,2.0,1.0,Pape Diallo,,,,1.0,,,,,,,,,,
