match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,stat_totalContest,stat_wonContest,stat_wonTackle,stat_challengeLost,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_penaltyWon,stat_goals,stat_blockedScoringAttempt,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
10390041,home,RC Strasbourg,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,1,1,False,28.0,18.0,17.0,7.0,13.0,16.0,5.0,12.0,1.0,1.0,1.0,8.0,1.0,3.0,4.0,1.0,90.0,38.0,6.5,10.0,0.0,0.0,0.00095314,0,-0.5825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390041,home,RC Strasbourg,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182,4730,M,289977,EUR,776390400,D,24,24,False,41.0,32.0,6.0,2.0,13.0,16.0,20.0,26.0,4.0,7.0,,3.0,,,,,90.0,63.0,7.1,11.0,0.0553,0.0,0.0445849,1,,,,alex_djiku,1.0,1.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10390041,home,RC Strasbourg,Gerzino Nyamsi,gerzino-nyamsi,G. Nyamsi,D,5,193,756,M,901470,EUR,853891200,D,22,22,False,16.0,15.0,2.0,1.0,13.0,13.0,2.0,3.0,2.0,2.0,1.0,,,,,,28.0,19.0,5.2,1.0,0.0,0.0,0.00100013,0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
10390041,home,RC Strasbourg,Maxime Le Marchand,maxime-le-marchand,M. Le Marchand,D,23,184,46,,55052,EUR,624067200,D,23,23,False,55.0,47.0,4.0,1.0,27.0,31.0,20.0,24.0,1.0,6.0,6.0,6.0,,,,,90.0,72.0,7.1,9.0,0.0,0.0,0.0154563,0,,,,,,,,,,,1.0,3.0,2.0,,,,,3.0,3.0,1.0,,,,,,,,,,,,,
10390041,home,RC Strasbourg,Colin Dagba,dagba-colin,C. Dagba,D,2,168,499,M,941300,EUR,905299200,M,2,2,False,21.0,19.0,,,11.0,11.0,8.0,11.0,1.0,7.0,1.0,2.0,,,,,62.0,45.0,7.0,5.0,0.0,0.0,0.0104733,0,,,,,1.0,,,3.0,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,
10390041,home,RC Strasbourg,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1228,M,829093,EUR,877910400,M,27,27,False,18.0,11.0,1.0,,7.0,10.0,4.0,9.0,1.0,1.0,,4.0,,,,,45.0,25.0,5.9,12.0,0.0,0.0,0.00317456,0,,,,,1.0,,1.0,7.0,2.0,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,
10390041,home,RC Strasbourg,Sanjin Prcić,sanjin-prcic,S. Prcić,M,,182,171,M,94822,EUR,753753600,M,14,14,False,39.0,31.0,7.0,5.0,15.0,17.0,16.0,22.0,,2.0,,5.0,,,,,63.0,45.0,6.9,8.0,0.0154,0.418,0.0178013,1,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,
10390041,home,RC Strasbourg,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,28999,M,845273,EUR,898905600,M,17,17,False,37.0,31.0,4.0,1.0,11.0,12.0,22.0,28.0,,4.0,1.0,9.0,,,,,90.0,56.0,6.6,14.0,0.0975,0.0,0.217261,2,,,,,3.0,2.0,,4.0,1.0,2.0,,,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,,,,,,,,,,,
10390041,home,RC Strasbourg,Dimitri Liénard,dimitri-lienard,D. Liénard,M,,184,77,M,365358,EUR,571708800,M,11,11,False,16.0,13.0,5.0,3.0,7.0,8.0,7.0,11.0,,1.0,1.0,6.0,,,,,64.0,31.0,6.2,7.0,0.0,0.0,0.0323042,0,,,,,3.0,1.0,1.0,6.0,1.0,,,2.0,,,,1.0,2.0,2.0,1.0,,1.0,,True,1.0,,,,,,,,,
10390041,home,RC Strasbourg,Kévin Gameiro,kevin-gameiro,K. Gameiro,F,9,172,598,M,3504,EUR,547516800,F,9,9,False,28.0,21.0,,,11.0,12.0,10.0,16.0,1.0,3.0,,3.0,,,,,76.0,37.0,6.8,11.0,0.0,0.0,0.00775995,0,,,,,,,1.0,5.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,
