match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_errorLeadToAShot,stat_keyPass,captain,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_bigChanceMissed,stat_totalOffside
12499341,home,Monza,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,30,30,False,30.0,18.0,22.0,10.0,0.0,11.0,14.0,7.0,16.0,6.0,90.0,30.0,6.0,12.0,0.00291492,0,-1.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499341,home,Monza,Armando Izzo,armando-izzo,A. Izzo,D,4,183,521,M,165583,EUR,699494400,D,4,4,False,42.0,35.0,5.0,3.0,0.0,24.0,28.0,11.0,14.0,4.0,90.0,63.0,7.0,10.0,0.0102979,1,,2.0,1.0,4.0,9.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,0.0519,,,,,,,,,,,,,,,,,,,
12499341,home,Monza,Pablo Marí,pablo-mari,P. Marí,D,30,191,1707,M,208988,EUR,746755200,D,22,22,False,32.0,30.0,6.0,4.0,0.0,20.0,20.0,10.0,12.0,2.0,90.0,43.0,6.9,2.0,0.00909551,0,,2.0,3.0,5.0,5.0,,,,5.0,2.0,2.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,
12499341,home,Monza,Andrea Carboni,andrea-carboni,A. Carboni,D,44,185,201,M,970978,EUR,981244800,D,44,44,False,28.0,25.0,1.0,,0.0,22.0,24.0,4.0,5.0,3.0,90.0,45.0,6.7,3.0,0.0143506,1,,3.0,,8.0,4.0,,,1.0,3.0,3.0,3.0,2.0,,1.0,3.0,0.039,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12499341,home,Monza,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185,287,M,807291,EUR,885427200,M,13,13,False,20.0,17.0,1.0,,1.0,10.0,12.0,8.0,10.0,3.0,60.0,28.0,6.9,4.0,0.00461549,0,,,1.0,,4.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,
12499341,home,Monza,Matteo Pessina,matteo-pessina,M. Pessina,M,32,183,659,M,350210,EUR,861580800,M,32,32,False,55.0,47.0,11.0,8.0,0.0,30.0,34.0,17.0,21.0,7.0,78.0,60.0,6.7,8.0,0.0192084,0,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,True,,,,,,,,,,
12499341,home,Monza,Warren Bondo,warren-bondo,W. Bondo,M,38,177,2004,M,1000366,EUR,1063584000,M,38,38,False,29.0,23.0,3.0,1.0,0.0,14.0,16.0,9.0,13.0,3.0,80.0,42.0,6.5,9.0,0.00798002,1,,,1.0,5.0,8.0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,4.0,2.0,0.0203,,,1.0,,,,,,,1.0,,,,,,,,,
12499341,home,Monza,Georgios Kyriakopoulos,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,377302,EUR,823478400,M,77,77,False,25.0,17.0,2.0,,1.0,9.0,10.0,12.0,27.0,3.0,90.0,63.0,9.1,20.0,0.435444,3,,,1.0,3.0,8.0,2.0,2.0,,3.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0654,,,1.0,,12.0,4.0,,5.0,,1.0,1.0,1.0,2.0,1.0,0.0674,,,,
12499341,home,Monza,Dany Mota,dany-mota,D. Mota,F,47,180,827,M,838907,EUR,894067200,F,47,47,False,28.0,26.0,1.0,1.0,0.0,9.0,9.0,18.0,23.0,4.0,84.0,51.0,7.1,12.0,0.0297425,2,,3.0,1.0,6.0,4.0,2.0,1.0,2.0,,,,,6.0,2.0,2.0,0.0907,,,,,4.0,1.0,,1.0,,,,,,,,,,,
12499341,home,Monza,Gianluca Caprari,gianluca-caprari,G. Caprari,F,24,170,457,M,148458,EUR,743990400,F,10,10,False,20.0,14.0,1.0,1.0,0.0,6.0,9.0,9.0,13.0,2.0,60.0,35.0,7.1,10.0,0.0803326,0,,2.0,1.0,3.0,5.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,2.0,1.0,,2.0,,1.0,,,,,,,,,
12499341,home,Monza,Milan Đurić,milan-duric,M. Đurić,F,9,199,819,M,76132,EUR,643334400,F,11,11,False,15.0,5.0,,,0.0,2.0,5.0,3.0,10.0,2.0,90.0,22.0,7.6,12.0,0.00067644,3,,7.0,11.0,9.0,11.0,,,2.0,,,,,1.0,,1.0,0.768,,,,,,,,1.0,,1.0,,1.0,,1.0,0.4764,,,,
12499341,home,Monza,Danilo D'Ambrosio,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,107936,EUR,589766400,D,33,33,True,10.0,8.0,,,0.0,3.0,3.0,6.0,8.0,2.0,30.0,18.0,6.7,5.0,0.0595282,1,,,1.0,3.0,2.0,1.0,,1.0,,,,,2.0,1.0,1.0,0.0237,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
12499341,home,Monza,Alessandro Bianco,bianco-alessandro,A. Bianco,M,22,173,528,M,1101992,EUR,1033430400,M,42,42,True,9.0,7.0,1.0,,0.0,,,7.0,9.0,,30.0,17.0,6.6,4.0,0.0186671,1,,2.0,,5.0,2.0,1.0,,,,1.0,2.0,1.0,,,1.0,0.0836,,,,,,,,1.0,,1.0,,,1.0,,,,,,
12499341,home,Monza,Daniel Maldini,daniel-maldini,D. Maldini,F,27,187,4629,M,970928,EUR,1002758400,F,14,14,True,1.0,1.0,,,0.0,,,1.0,2.0,,12.0,4.0,6.4,2.0,0.0011135,0,,1.0,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,dani.malda,,,
12499341,home,Monza,Mattia Valoti,mattia-valoti,M. Valoti,M,5,181,99,M,139397,EUR,747273600,M,27,27,True,3.0,,1.0,,0.0,,2.0,,1.0,2.0,11.0,6.0,6.6,3.0,,0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12499341,home,Monza,Andrea Mazza,andrea-mazza,A. Mazza,G,22,190,80,M,1109940,EUR,1072915200,G,69,69,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Andrea Mazza,,,,,,,,,,,,,,,,,,
12499341,home,Monza,Semuel Pizzignacco,semuel-pizzignacco,S. Pizzignacco,G,1,185,177,M,923820,EUR,999302400,G,21,21,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499341,home,Monza,Nicolò Postiglione,nicolo-postiglione,N. Postiglione,D,4,190,49,M,1137349,EUR,1113609600,D,52,52,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
