match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,stat_goals,stat_bigChanceMissed,stat_penaltyMiss,stat_hitWoodwork,stat_penaltyWon,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
12436493,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,33.0,31.0,3.0,1.0,0.0,31.0,31.0,2.0,9.0,4.0,4.0,90.0,41.0,7.1,2.0,0.00015759,0,-0.1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436493,home,Aston Villa,Lamare Bogarde,lamare-bogarde,L. Bogarde,D,26,183,1118,M,,1089388,EUR,1073260800,D,26,26,False,35.0,30.0,2.0,,0.0,13.0,13.0,22.0,2.0,,,45.0,43.0,6.4,6.0,0.0320449,0,,17.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436493,home,Aston Villa,Diego Carlos,diego-carlos,D. Carlos,D,34,185,2746,M,,604232,EUR,732153600,D,3,3,False,94.0,85.0,10.0,4.0,0.0,47.0,50.0,44.0,8.0,,,90.0,104.0,6.8,10.0,0.0119018,1,,38.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,5.0,1.0,1.0,0.0631,,,,,,,,,,,,,,,,,,,,,,,,,,
12436493,home,Aston Villa,Pau Torres,pau-torres,P. Torres,D,14,192,4099,M,pauttorres,864169,EUR,853372800,D,14,14,False,93.0,85.0,6.0,4.0,0.0,45.0,48.0,45.0,8.0,,,90.0,99.0,6.8,8.0,0.0275394,0,,40.0,4.0,4.0,,1.0,1.0,,,,1.0,,2.0,,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12436493,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5464,M,maatsen_,976263,EUR,1015718400,D,22,22,False,44.0,40.0,,,0.0,20.0,22.0,26.0,6.0,,,69.0,61.0,6.8,12.0,0.0377951,2,,22.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,0.0577,,,,,4.0,2.0,1.0,1.0,3.0,0.0806,1.0,,,,,,,,,,,,,,,
12436493,home,Aston Villa,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,,98435,EUR,755049600,M,6,6,False,61.0,48.0,,,0.0,16.0,21.0,40.0,3.0,,,90.0,72.0,7.8,15.0,0.0882119,2,,32.0,,6.0,,3.0,3.0,,,,2.0,1.0,,1.0,,0.236,,,1.0,,,,1.0,,2.0,0.8704,,1.0,,,,,,,,,,,,,,
12436493,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,86.0,78.0,5.0,2.0,1.0,28.0,31.0,62.0,9.0,,,90.0,100.0,7.0,15.0,0.174384,1,,53.0,4.0,4.0,1.0,,,1.0,,,2.0,,1.0,,,0.7884,2.0,1.0,1.0,,7.0,3.0,1.0,,1.0,0.5869,3.0,,1.0,1.0,,,,,,,,,,,,
12436493,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7677,M,leonbailey,808590,EUR,871084800,M,31,31,False,28.0,22.0,1.0,1.0,0.0,5.0,6.0,26.0,3.0,,,82.0,50.0,7.0,18.0,0.540469,1,,17.0,8.0,2.0,3.0,3.0,,2.0,,,,1.0,,,1.0,0.0531,1.0,,,,4.0,,,,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,
12436493,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,30.0,19.0,,,0.0,4.0,4.0,26.0,1.0,,,82.0,51.0,6.7,19.0,0.047156,1,,15.0,7.0,5.0,3.0,4.0,2.0,1.0,,,,,,,,0.1764,2.0,,2.0,1.0,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,
12436493,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,28.0,24.0,4.0,4.0,1.0,5.0,5.0,25.0,2.0,,,69.0,42.0,7.6,7.0,0.344875,3,,20.0,5.0,6.0,2.0,,,4.0,,,1.0,2.0,,,2.0,0.4176,1.0,,1.0,1.0,2.0,1.0,,1.0,,,3.0,,1.0,,,,True,2.0,,,,,,,,
