match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_wonTackle,captain,stat_onTargetScoringAttempt,stat_dispossessed,stat_totalContest,stat_wasFouled,stat_blockedScoringAttempt,stat_fouls,stat_shotOffTarget,stat_totalOffside,stat_wonContest,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork
12625048,home,Al-Fateh,Péter Szappanos,,,peter-szappanos,P. Szappanos,G,1,194.0,332,M,803307,EUR,658540800,G,1,1,False,19.0,18.0,6.0,6.0,0.0,16.0,17.0,2.0,2.0,1.0,6.0,1.0,3.0,4.0,1.0,1.0,90.0,31.0,7.3,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625048,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200,D,15,15,False,31.0,25.0,3.0,1.0,0.0,6.0,9.0,20.0,26.0,,3.0,,,,,,90.0,57.0,6.8,11.0,0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12625048,home,Al-Fateh,Jason Denayer,,,jason-denayer,J. Denayer,D,,184.0,657,M,352664,EUR,804297600,D,64,64,False,51.0,47.0,4.0,2.0,0.0,36.0,38.0,11.0,13.0,1.0,2.0,,,,,,90.0,56.0,6.6,4.0,0,,,,3.0,2.0,,,1.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,
12625048,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,76.0,65.0,12.0,7.0,0.0,30.0,35.0,35.0,41.0,3.0,3.0,,,,,,90.0,89.0,7.5,12.0,1,,,3.0,2.0,8.0,1.0,2.0,1.0,5.0,,,1.0,2.0,True,1.0,,,,,,,,,,,,,
12625048,home,Al-Fateh,Mohammed Al-Konaideri,,,mohammed-al-konaideri,M. Al-Konaideri,D,12,175.0,21,M,1019340,EUR,971222400,D,12,12,False,31.0,27.0,2.0,,0.0,7.0,8.0,20.0,24.0,2.0,4.0,,,,,,77.0,48.0,6.6,9.0,0,1.0,,,7.0,3.0,3.0,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,
12625048,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,52.0,48.0,4.0,3.0,0.0,20.0,21.0,28.0,31.0,1.0,2.0,,,,,,86.0,64.0,6.3,7.0,1,,,,8.0,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,,,2.0,1.0,1.0,2.0,,,,,,,,
12625048,home,Al-Fateh,Nouh Al-Mousa,,,nouh-al-mousa,N. Al-Mousa,M,,175.0,17,M,818614,EUR,667267200,M,8,8,False,48.0,44.0,2.0,1.0,0.0,14.0,16.0,30.0,32.0,,1.0,,,,,,57.0,53.0,6.8,5.0,0,,,,2.0,,,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,
12625048,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,M,11,11,False,26.0,21.0,1.0,,0.0,7.0,9.0,15.0,25.0,,3.0,,,,,,90.0,47.0,6.6,17.0,1,8.0,1.0,,5.0,3.0,,,1.0,,2.0,1.0,,,,,1.0,1.0,3.0,,3.0,1.0,2.0,,,,,,
12625048,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400,M,10,10,False,59.0,49.0,7.0,4.0,1.0,15.0,16.0,34.0,46.0,,1.0,,,,,,90.0,77.0,7.6,18.0,2,3.0,,1.0,3.0,5.0,1.0,,,1.0,2.0,1.0,,1.0,,,,4.0,1.0,2.0,,,,2.0,1.0,,,,
12625048,home,Al-Fateh,Othman Al-Othman,Othman Alothma,,othman-al-othman,O. Al-Othman,M,88,167.0,30,M,1096521,EUR,1050364800,M,88,88,False,25.0,19.0,1.0,1.0,0.0,6.0,7.0,13.0,19.0,,4.0,,,,,,57.0,34.0,6.8,8.0,1,1.0,,,4.0,3.0,2.0,,1.0,2.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,,,,,,,
