match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_fouls,stat_shotOffTarget,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_aerialLost,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,captain,stat_totalOffside,stat_errorLeadToAShot,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_errorLeadToAGoal
12436441,home,Tottenham Hotspur,Fraser Forster,fraser-forster,F. Forster,G,17,201,1229,M,19314,EUR,574560000,G,20,20,False,23.0,19.0,4.0,1.0,0.0,19.0,21.0,2.0,6.0,1.0,2.0,2.0,4.0,90.0,35.0,6.6,5.0,3.612e-05,0,0.1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,913654,EUR,937180800,D,23,23,False,35.0,25.0,4.0,3.0,1.0,14.0,19.0,20.0,7.0,,,,,90.0,62.0,7.0,13.0,0.179154,2,,pedroporro29,13.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0614,2.0,,,,,,,,,,,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,829932,EUR,893635200,D,17,17,False,4.0,3.0,,,0.0,3.0,3.0,1.0,1.0,,,,,15.0,6.0,6.6,1.0,1.602e-05,0,,cutiromero2,,,,,2.0,2.0,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,998247,EUR,987638400,D,37,37,False,38.0,29.0,6.0,1.0,0.0,25.0,28.0,10.0,3.0,,,,,79.0,49.0,6.3,11.0,0.00273288,1,,mickyvdven,4.0,,,,1.0,1.0,1.0,,,,5.0,1.0,1.0,1.0,,0.1382,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5941,M,983572,EUR,1038441600,D,13,13,False,30.0,28.0,,,0.0,18.0,18.0,12.0,5.0,,,,,90.0,50.0,6.2,7.0,0.0117022,0,,udogiethree,10.0,,,1.0,5.0,5.0,,1.0,,,2.0,,3.0,3.0,1.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,928124,EUR,956620800,M,21,21,False,13.0,10.0,,,0.0,4.0,4.0,12.0,3.0,,,,,79.0,32.0,6.8,14.0,0.0377752,1,,dejan_k10,6.0,3.0,,,8.0,4.0,3.0,2.0,1.0,,,,1.0,,2.0,0.0541,,,,2.0,3.0,,4.0,1.0,1.0,1.0,0.5074,,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19170,M,844842,EUR,841363200,M,8,8,False,24.0,21.0,1.0,1.0,0.0,14.0,15.0,9.0,6.0,,,,,79.0,32.0,6.2,4.0,0.00443178,0,,YB8,7.0,,,,5.0,6.0,1.0,,,,1.0,,5.0,3.0,1.0,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,,,,,
12436441,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,1002711,EUR,1031961600,M,29,29,False,19.0,17.0,1.0,,0.0,12.0,13.0,6.0,6.0,,,,,90.0,35.0,5.6,9.0,0.0107397,1,,pape,5.0,,,1.0,12.0,6.0,5.0,,,,,,3.0,3.0,2.0,0.5118,,,,1.0,3.0,1.0,1.0,,,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,
12436441,home,Tottenham Hotspur,Brennan Johnson,brennan-johnson,B. Johnson,F,11,186,10704,M,1085180,EUR,990576000,F,22,22,False,4.0,3.0,,,1.0,,,7.0,2.0,,,,,53.0,14.0,7.5,3.0,0.163943,0,,brenjohnson_,4.0,3.0,1.0,,,3.0,,2.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
12436441,home,Tottenham Hotspur,Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,11267,M,361420,EUR,874195200,F,19,19,False,13.0,11.0,1.0,1.0,0.0,7.0,7.0,6.0,,,,,,90.0,27.0,7.2,6.0,0.00408118,3,,Dom_Solanke,4.0,,,1.0,8.0,3.0,1.0,,,1.0,3.0,,1.0,,1.0,0.9446,2.0,,,2.0,2.0,,3.0,2.0,1.0,,0.3524,,3.0,1.0,,1.0,,,,,,,,
