match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goals,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_bigChanceMissed,player_sofascoreId,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated
10433810,home,MKE Ankaragücü,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1036,M,238394,EUR,771552000,F,22,22,False,17.0,13.0,1.0,,6.0,8.0,7.0,9.0,1.0,5.0,2.0,2.0,,,,,,,90.0,30.0,6.7,9.0,1,,,,,8.0,,2.0,2.0,,,1.0,1.0,5.0,1.0,1.0,,7.0,1.0,,,,,,,1.0,,,,,,
10433810,home,MKE Ankaragücü,Ghayas Zahid,ghayas-zahid,G. Zahid,M,29,173,471,M,252121,EUR,785116800,M,19,19,True,15.0,11.0,1.0,1.0,4.0,5.0,9.0,14.0,,,,1.0,,,,,,,17.0,20.0,6.6,7.0,0,,,4.0,2.0,2.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Gboly Ariyibi,gboly-ariyibi,G. Ariyibi,M,11,183,59,M,370644,EUR,790300800,F,12,12,True,4.0,3.0,,,,,3.0,4.0,,2.0,,1.0,,,,,,,17.0,8.0,6.3,2.0,0,Gboly,Ariyibi,,,4.0,,,,,,2.0,1.0,,,2.0,,1.0,,,1.0,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Atakan Çankaya,atakan-cankaya,A. Çankaya,D,35,180,44,M,1066338,EUR,898732800,M,4,4,True,8.0,7.0,1.0,,5.0,5.0,2.0,4.0,,1.0,,2.0,,,,,,,11.0,10.0,6.7,2.0,0,Atakan Cankaya,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Jesé Rodríguez,jese-rodriguez,Jesé,F,10,178,1131,M,110781,EUR,730684800,F,10,10,True,4.0,3.0,,,,,4.0,5.0,,,,,,,,,,,11.0,8.0,6.5,3.0,0,,,1.0,1.0,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Federico Macheda,federico-macheda,F. Macheda,F,41,184,328,M,50130,EUR,682819200,F,11,11,True,4.0,4.0,,,1.0,1.0,3.0,3.0,,,,,,,,,,,11.0,5.0,6.5,1.0,0,Federico,Macheda,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Bahadır Han Güngördü,bahadir-han-gungordu,B. H. Güngördü,G,13,190,97,M,807289,EUR,821750400,G,99,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Kévin Malcuit,kevin-malcuit,K. Malcuit,D,,178,215,,115666,EUR,680918400,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Firatcan Üzüm,firatcan-uzum,F. Üzüm,D,88,178,23,M,904112,EUR,928454400,M,88,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Şahverdi Çetin,sahverdi-cetin,Ş. Çetin,M,19,174,38,M,883496,EUR,970099200,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
