match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,player_firstName,player_lastName,stat_dispossessed,stat_wasFouled,stat_totalOffside,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt
10389743,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,27.0,14.0,18.0,6.0,11.0,13.0,3.0,14.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,90.0,35.0,7.5,13.0,0.0,0.0,0.00068947,0,-0.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389743,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,False,31.0,29.0,2.0,2.0,24.0,26.0,5.0,5.0,1.0,3.0,8.0,5.0,,,,90.0,46.0,6.8,3.0,0.0256,0.0,0.0458925,1,,1.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10389743,home,Montpellier,Christopher Jullien,christopher-jullien,C. Jullien,D,6,195,127,M,229598,EUR,732758400,D,6,6,False,21.0,18.0,2.0,,13.0,14.0,5.0,7.0,4.0,4.0,8.0,3.0,,,,90.0,31.0,6.8,3.0,0.0305,0.0,0.00327397,1,,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389743,home,Montpellier,Maxime Estève,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,14,14,False,13.0,9.0,5.0,2.0,7.0,7.0,2.0,6.0,,,,1.0,,,,30.0,15.0,6.4,4.0,0.0,0.0,0.00024615,0,,,,,,1.0,,,,,,Maxime Estève,,,,,,,,,,,,,,,,,,
10389743,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,M,77,77,False,26.0,20.0,1.0,,10.0,13.0,10.0,13.0,2.0,5.0,1.0,5.0,,,,90.0,39.0,6.7,9.0,0.0,0.0,0.0154193,0,,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10389743,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,56.0,47.0,4.0,3.0,27.0,27.0,20.0,29.0,1.0,3.0,,11.0,,,,90.0,62.0,6.8,12.0,0.0,0.0,0.0550754,0,,,1.0,,,1.0,,,2.0,1.0,,,,,1.0,,,True,1.0,1.0,,,,,,,,,,
10389743,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,25.0,21.0,2.0,1.0,14.0,14.0,8.0,12.0,1.0,4.0,4.0,4.0,,,,90.0,39.0,7.4,6.0,0.1282,0.1663,0.447172,2,,1.0,3.0,,1.0,,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,
10389743,home,Montpellier,Issiaga Sylla,issiaga-sylla,I. Sylla,D,4,180,3382,M,291695,EUR,757382400,M,3,3,False,47.0,39.0,3.0,2.0,22.0,26.0,17.0,22.0,2.0,5.0,3.0,9.0,,,,90.0,73.0,6.6,17.0,0.0,0.0,0.104235,0,,2.0,8.0,1.0,,1.0,,,1.0,,1.0,Issiaga,Sylla,3.0,1.0,1.0,2.0,,4.0,2.0,,1.0,,,,ISylla,,,,
10389743,home,Montpellier,Arnaud Nordin,nordin-arnaud,A. Nordin,M,70,170,384,M,848458,EUR,900633600,F,7,7,False,19.0,17.0,1.0,1.0,7.0,8.0,10.0,14.0,,8.0,,5.0,,,,89.0,40.0,7.1,7.0,0.0232,0.0,0.0261235,1,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,4.0,,,,4.0,3.0,,3.0,,,,,,,,
10389743,home,Montpellier,Wahbi Khazri,wahbi-khazri,W. Khazri,F,,176,1610,M,51640,EUR,665971200,F,99,99,False,23.0,18.0,1.0,,8.0,8.0,13.0,20.0,,3.0,1.0,4.0,,,,89.0,44.0,6.9,12.0,0.0242,0.0792,0.079156,1,,4.0,9.0,,,1.0,,,3.0,3.0,,,,1.0,3.0,1.0,1.0,,1.0,,,5.0,3.0,,1.0,,,,,
