match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_totalCross,stat_accurateCross,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded,stat_errorLeadToAShot
11396309,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2048,M,584722,EUR,844041600,G,33,33,False,38.0,24.0,18.0,5.0,22.0,29.0,2.0,9.0,1.0,1.0,9.0,2.0,90.0,48.0,6.1,14.0,0.00045388,0,-1.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Anthony Rouault,,,anthony-rouault,A. Rouault,D,24,186,602,M,991479,EUR,991094400,D,29,29,False,50.0,46.0,2.0,1.0,26.0,29.0,20.0,21.0,,2.0,10.0,,90.0,60.0,6.4,5.0,0.010427,0,,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Dan-Axel Zagadou,,,dan-axel-zagadou,D. Zagadou,D,23,196,1086,M,826205,EUR,928368000,D,23,23,False,63.0,54.0,6.0,,37.0,40.0,17.0,23.0,2.0,5.0,5.0,,90.0,74.0,6.9,9.0,0.00755199,1,,,,,,6.0,,3.0,3.0,1.0,0.0661,,,,,,,,,,,,,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Waldemar Anton,,,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,68.0,60.0,4.0,1.0,40.0,42.0,20.0,26.0,,3.0,5.0,,90.0,81.0,6.7,9.0,0.0188693,1,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,,0.0232,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Josha Vagnoman,,,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,M,4,4,False,24.0,17.0,2.0,,4.0,7.0,13.0,17.0,1.0,6.0,3.0,,87.0,40.0,7.2,10.0,0.159362,1,,,3.0,1.0,1.0,1.0,,3.0,2.0,,0.0269,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Enzo Millot,,,millot-enzo,E. Millot,M,10,175,4915,M,957889,EUR,1026864000,M,8,8,False,56.0,47.0,4.0,2.0,25.0,26.0,22.0,30.0,,3.0,9.0,,84.0,72.0,7.1,14.0,0.0358789,2,,,7.0,2.0,1.0,1.0,2.0,2.0,1.0,,0.86,,,,1.0,,2.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Angelo Stiller,,,stiller-angelo,A. Stiller,M,6,183,7426,M,901882,EUR,986342400,M,6,6,False,93.0,83.0,4.0,1.0,53.0,56.0,33.0,44.0,1.0,6.0,5.0,,90.0,112.0,7.2,15.0,0.198672,0,,,3.0,,1.0,2.0,,3.0,1.0,,,,1.0,,1.0,,,,1.0,3.0,3.0,,,7.0,3.0,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,27,27,False,40.0,35.0,,,8.0,9.0,29.0,37.0,,5.0,5.0,,89.0,61.0,8.0,12.0,0.602422,2,,,2.0,1.0,5.0,,1.0,1.0,1.0,1.0,0.1044,,4.0,,,1.0,,1.0,2.0,,5.0,1.0,,6.0,2.0,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Maximilian Mittelstädt,,,maximilian-mittelstadt,M. Mittelstädt,D,7,178,2368,M,788949,EUR,858643200,M,7,7,False,45.0,40.0,2.0,2.0,18.0,19.0,22.0,31.0,1.0,6.0,5.0,,90.0,80.0,7.1,13.0,0.0304364,3,,,4.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0769,,3.0,,1.0,,1.0,,,,,1.0,,5.0,,,,,,,,,,,,,
11396309,home,VfB Stuttgart,Deniz Undav,,,deniz-undav,D. Undav,F,26,179,7593,M,794298,EUR,837734400,F,26,26,False,27.0,20.0,,,9.0,10.0,11.0,17.0,1.0,5.0,2.0,,87.0,45.0,9.9,9.0,0.0195656,6,,1.0,2.0,,2.0,1.0,,1.0,,1.0,0.6721,,2.0,1.0,1.0,,,,1.0,1.0,,4.0,3.0,,,denizundav,,,,,,,,,,,
