match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_errorLeadToAShot,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_hitWoodwork,stat_wasFouled,stat_bigChanceCreated,stat_totalOffside,stat_outfielderBlock,stat_clearanceOffLine
14032383,home,RSC Anderlecht,Colin Coosemans,,,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,True,25.0,20.0,8.0,3.0,0.0,19.0,21.0,1.0,4.0,1.0,1.0,3.0,8.0,2.0,2.0,2.0,3.0,1.0,1.0,90.0,35.0,7.1,6.0,0.00030143,41.942836690301,8.0,19.53,4.725,0.2015,0,0.366,0.04,-0.06,-0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14032383,home,RSC Anderlecht,Killian Sardella,,,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,,57.0,47.0,3.0,1.0,0.0,14.0,16.0,33.0,41.0,3.0,7.0,1.0,4.0,,,,,,,90.0,82.0,7.7,17.0,0.24035,310.50735098603,28.0,130.305,32.34,,1,,0.34,0.29,0.21,,5.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0272,107.61912548394,4.0,2.0,-0.08,,,,,,,,,,,,,
14032383,home,RSC Anderlecht,Lucas Hey,Lucas Hey,,lucas-hey,L. Hey,D,3,189,338,M,1122698,EUR,1050192000,D,3,3,False,,57.0,53.0,2.0,,0.0,23.0,24.0,30.0,33.0,2.0,4.0,7.0,6.0,,,,,,,90.0,69.0,7.5,5.0,0.0291944,219.54230159132,24.0,172.725,23.835,,0,,0.2,0.21,0.53,,,,2.0,4.0,,,,,1.0,2.0,2.0,1.0,1.0,,43.35744913327,2.0,,,1.0,,,,,,,,,,,,
14032383,home,RSC Anderlecht,Marco Kana,,,marco-kana,M. Kana,D,55,183,383,M,964759,EUR,1028764800,D,55,55,False,,61.0,56.0,5.0,3.0,0.0,33.0,34.0,23.0,27.0,2.0,3.0,8.0,7.0,,,,,,,90.0,75.0,7.1,5.0,0.00985261,203.70277383245,21.0,132.615,21.63,,2,,0.17,0.19,0.28,,,,,2.0,,,,1.0,1.0,1.0,1.0,,2.0,0.0381,53.224987012811,3.0,,-0.08,,1.0,1.0,,,,,,,,,,
14032383,home,RSC Anderlecht,Yasin Özcan,,,yasin-ozcan,Y. Özcan,D,58,185,1802,M,1392102,EUR,1145491200,D,58,58,False,,37.0,29.0,7.0,4.0,0.0,13.0,14.0,16.0,23.0,1.0,4.0,4.0,,,,,,,,61.0,56.0,7.3,10.0,0.047562,89.847403886869,11.0,60.375,35.07,,2,,0.35,0.02,0.22,,,,1.0,1.0,,,,,,3.0,2.0,,,0.0659,35.141719309106,1.0,1.0,-0.08,,2.0,,,,,,,,,,,
14032383,home,RSC Anderlecht,Nathan-Dylan Saliba,Nathan Saliba,,nathan-saliba,N. Saliba,M,13,173,636,M,1093229,EUR,1076112000,M,13,13,False,,30.0,23.0,2.0,1.0,0.0,10.0,12.0,13.0,18.0,,3.0,2.0,,,,,,,,79.0,44.0,7.1,8.0,0.041667,36.067124908122,6.0,15.96,8.715,,2,,0.17,0.03,0.33,,1.0,1.0,,4.0,,,,1.0,4.0,3.0,1.0,1.0,4.0,0.3469,3.6122463924821,1.0,1.0,0.09,,,,1.0,1.0,0.4263,,,,,,,
14032383,home,RSC Anderlecht,Nathan De Cat,Nathan De Cat,,nathan-de-cat,N. D. Cat,M,74,192,1673,M,1637689,EUR,1216425600,M,74,74,False,,19.0,15.0,3.0,2.0,0.0,3.0,5.0,12.0,14.0,,1.0,2.0,1.0,,,,,,,61.0,27.0,6.7,7.0,0.0269361,39.241398276055,4.0,26.25,11.13,,1,,0.15,0.09,0.16,,,,,2.0,2.0,1.0,1.0,,,,,1.0,,0.0729,31.146280324717,2.0,1.0,-0.31,,1.0,,,,,,,,,,,
14032383,home,RSC Anderlecht,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173,746,M,867250,EUR,966124800,M,91,91,False,,20.0,16.0,,,0.0,5.0,5.0,11.0,15.0,1.0,1.0,2.0,3.0,,,,,,,68.0,34.0,6.4,13.0,0.0379878,38.737062750705,5.0,11.865,8.4,,3,,0.25,0.14,-0.01,,2.0,,,7.0,3.0,1.0,,,,,,3.0,2.0,0.1625,24.50803437997,2.0,,-0.26,1.0,2.0,,,1.0,,,,,,,,
14032383,home,RSC Anderlecht,Thorgan Hazard,,,thorgan-hazard,T. Hazard,F,11,174,3646,M,94286,EUR,733363200,M,11,11,False,,55.0,41.0,,,0.0,3.0,6.0,38.0,49.0,,4.0,,6.0,,,,,,,90.0,79.0,7.3,24.0,0.535223,214.62207272446,20.0,109.305,29.505,,2,,0.35,0.4,-0.02,,12.0,3.0,,,,2.0,2.0,,,1.0,,1.0,,0.4996,114.57259354423,6.0,5.0,-0.12,,2.0,,1.0,,,THazard,1.0,1.0,,,,
14032383,home,RSC Anderlecht,Nilson Angulo,Nilson Angulo,,nilson-angulo,N. Angulo,F,10,182,4530,M,1116571,EUR,1055980800,M,19,19,False,,22.0,13.0,1.0,,0.0,,,13.0,22.0,2.0,9.0,2.0,3.0,,,,,,,90.0,46.0,7.0,20.0,0.279434,141.98487709247,14.0,82.005,28.56,,0,,0.15,0.34,0.17,,4.0,1.0,4.0,6.0,2.0,2.0,2.0,,,1.0,,5.0,1.0,,68.972844772187,3.0,1.0,,,,,,,,,,4.0,1.0,,,
14032383,home,RSC Anderlecht,Danylo Sikan,,,sikan-danylo,D. Sikan,F,14,185,1362,M,945479,EUR,987379200,F,14,14,False,,12.0,7.0,,,0.0,2.0,3.0,5.0,9.0,2.0,6.0,,3.0,,,,,,,68.0,28.0,6.8,8.0,0.268348,36.527384063775,6.0,12.915,9.975,,2,,0.17,0.31,-0.04,,,,3.0,6.0,2.0,,,,1.0,,,1.0,,0.1204,,,,-0.53,1.0,1.0,,,1.0,0.0253,,,4.0,,1.0,,
