match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_height,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_outfielderBlock,stat_keyPass,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_penaltyWon,stat_bigChanceMissed,stat_hitWoodwork
11174451,home,Oakland Roots SC,Taylor Bailey,taylor-bailey,T. Bailey,G,47,2,M,935633,EUR,857001600,G,47,47,False,29.0,19.0,14.0,6.0,18.0,21.0,1.0,8.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,90.0,39.0,6.6,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Bryan Tamacas,bryan-tamacas,B. Tamacas,D,21,40,M,808358,EUR,793324800,D,30,30,False,57.0,44.0,9.0,5.0,28.0,34.0,16.0,23.0,2.0,10.0,2.0,,2.0,,,,,90.0,78.0,7.1,16.0,0,176.0,2.0,8.0,1.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Drew Murray,drew-murray,D. Murray,D,99,27,M,1476460,EUR,1130371200,D,99,99,False,45.0,41.0,5.0,2.0,32.0,34.0,9.0,11.0,6.0,2.0,,,2.0,,,,,76.0,51.0,6.2,6.0,0,191.0,,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Neveal Hackshaw,neveal-hackshaw,N. Hackshaw,D,15,14,M,803481,EUR,811641600,D,13,13,False,56.0,44.0,13.0,7.0,25.0,29.0,19.0,27.0,1.0,6.0,,,,,,,,90.0,78.0,6.9,18.0,1,183.0,4.0,6.0,4.0,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Wolfgang Prentice,wolfgang-prentice,W. Prentice,M,7,3,M,1191070,EUR,956620800,M,19,19,False,31.0,24.0,1.0,,12.0,16.0,12.0,18.0,3.0,5.0,4.0,,,,,,,90.0,59.0,8.8,19.0,4,183.0,,9.0,,,4.0,4.0,4.0,Wolfgang Prentice,,,,1.0,1.0,3.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Ethan Kohler,ethan-kohler,E. Kohler,D,3,109,M,1476461,EUR,1116547200,M,66,66,False,46.0,37.0,5.0,5.0,13.0,17.0,24.0,29.0,5.0,6.0,1.0,,2.0,,,,,90.0,60.0,7.6,12.0,0,183.0,1.0,7.0,,2.0,5.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,
11174451,home,Oakland Roots SC,Joseph Nane,joseph-nane,J. Nane,M,,1,M,127498,EUR,565488000,M,4,4,False,25.0,23.0,1.0,1.0,12.0,13.0,11.0,12.0,7.0,9.0,1.0,,3.0,,,,,45.0,37.0,6.6,6.0,0,188.0,,7.0,,1.0,2.0,,4.0,,,1.0,,3.0,,,1.0,1.0,,,,,1.0,True,,,,,,,,
11174451,home,Oakland Roots SC,Kevin Wright,kevin-wright,K. Wright,D,,30,M,788263,EUR,820108800,M,3,3,False,22.0,16.0,2.0,,8.0,10.0,8.0,13.0,5.0,4.0,2.0,,3.0,,,,,90.0,38.0,6.3,11.0,0,169.0,,3.0,2.0,,3.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Ryan Her,ryan-her,R. Her,M,16,0,M,1476462,EUR,950400000,F,16,16,False,17.0,12.0,1.0,,5.0,6.0,8.0,13.0,7.0,4.0,1.0,,2.0,,,,,87.0,36.0,7.0,12.0,1,170.0,1.0,8.0,,,1.0,1.0,6.0,,,1.0,,3.0,,2.0,1.0,,,,1.0,,2.0,,1.0,1.0,,,,,,
11174451,home,Oakland Roots SC,Trayvon Reid,trayvon-reid,T. Reid,F,11,7,M,1398502,EUR,951436800,F,11,11,False,21.0,16.0,3.0,2.0,5.0,7.0,11.0,15.0,7.0,1.0,1.0,,2.0,,,,,68.0,38.0,7.0,10.0,2,,,9.0,,,3.0,3.0,3.0,,,2.0,,2.0,,1.0,4.0,3.0,1.0,,,,,,,1.0,,,,,,
11174451,home,Oakland Roots SC,Johnny Rodriguez,johnny-rodriguez,J. Rodriguez,F,14,11,M,1120176,EUR,897696000,F,17,17,False,14.0,10.0,1.0,1.0,2.0,2.0,9.0,13.0,8.0,1.0,2.0,,1.0,,,,,68.0,30.0,8.1,11.0,2,,,4.0,,,,,4.0,Johnny Rodriguez,,4.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,,,,
11174451,home,Oakland Roots SC,Daniel Gomez,daniel-gomez,D. Gomez,M,6,1,M,1476459,EUR,957657600,M,15,15,True,23.0,21.0,4.0,2.0,9.0,9.0,12.0,14.0,2.0,4.0,,,2.0,,,,,45.0,28.0,6.9,2.0,0,175.0,,3.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Dariusz Formella,dariusz-formella,D. Formella,F,,119,M,189129,EUR,814233600,F,9,9,True,9.0,5.0,1.0,,3.0,4.0,3.0,7.0,,,1.0,,,,,,,22.0,12.0,6.6,6.0,0,183.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,
11174451,home,Oakland Roots SC,Anuar Peláez,anuar-pelaez,A. Peláez,F,16,11,M,1188897,EUR,728524800,F,18,18,True,2.0,2.0,,,,,2.0,2.0,3.0,1.0,1.0,,1.0,,,,,22.0,9.0,6.8,1.0,2,186.0,,3.0,,,1.0,1.0,2.0,Anuar Peláez,,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,
11174451,home,Oakland Roots SC,Daniel Barbir,daniel-barbir,D. Barbir,D,14,7,M,818399,EUR,886204800,D,14,14,True,6.0,4.0,1.0,,4.0,4.0,,2.0,1.0,,,,,,,,,14.0,11.0,6.4,3.0,0,193.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Guillermo Diaz,guillermo-diaz,G. Diaz,D,24,4,M,983869,EUR,813801600,D,23,23,True,8.0,2.0,3.0,,1.0,4.0,2.0,6.0,1.0,2.0,,,1.0,,,,,9.0,12.0,6.8,7.0,0,173.0,,2.0,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,
11174451,home,Oakland Roots SC,Paul Blanchette,paul-blanchette,P. Blanchette,G,20,1,M,983157,EUR,766454400,G,20,20,True,,,,,,,,,,,,,,,,,,,,,,0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174451,home,Oakland Roots SC,Edgardo Rito,edgardo-rito,E. Rito,D,,35,M,870452,EUR,824515200,D,72,72,True,,,,,,,,,,,,,,,,,,,,,,0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174451,away,El Farolito,Johan Lizarralde,johan-lizarralde,J. Lizarralde,G,1,3,M,1479721,EUR,794620800,G,1,1,False,23.0,13.0,12.0,3.0,12.0,15.0,1.0,8.0,,8.0,,,,2.0,2.0,,2.0,90.0,29.0,6.2,10.0,0,184.0,,,1.0,,,,,Johan Lizarralde,,,,,,,,,,,,,,,,,,,1.0,,,
11174451,away,El Farolito,Werner Santos,werner-santos,W. Santos,M,16,0,M,1479842,EUR,968457600,D,16,16,False,30.0,25.0,4.0,2.0,21.0,23.0,4.0,7.0,4.0,3.0,1.0,,1.0,,,,,90.0,38.0,6.2,7.0,0,,5.0,6.0,1.0,1.0,1.0,,,Werner Santos,,2.0,1.0,,,,,,,,,,,,,,,,,,,
11174451,away,El Farolito,Jonathan Mosquera,jonathan-mosquera,J. Mosquera,D,3,1,M,1482824,EUR,569116800,D,2,2,False,37.0,30.0,8.0,4.0,23.0,25.0,7.0,12.0,5.0,7.0,,,5.0,,,,,90.0,45.0,6.3,7.0,0,187.0,1.0,2.0,4.0,3.0,1.0,1.0,,Jonathan Mosquera,,,,,,,,,,,,,,,,,,,,,,
11174451,away,El Farolito,Jhonatan Pérez,jhonatan-perez,J. Pérez,D,23,1,M,891104,EUR,602726400,D,23,23,False,46.0,41.0,2.0,1.0,20.0,22.0,21.0,26.0,7.0,13.0,2.0,,1.0,,,,,90.0,74.0,6.4,14.0,1,179.0,,7.0,1.0,,5.0,3.0,2.0,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,,,,,
11174451,away,El Farolito,Hurick,hurick,Hurick,D,26,0,M,1479711,EUR,885772800,M,26,26,False,12.0,8.0,2.0,,3.0,3.0,5.0,10.0,4.0,1.0,,,,,,,,45.0,20.0,6.2,7.0,1,,1.0,4.0,,,3.0,2.0,,Hurick,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,
11174451,away,El Farolito,Jehimy Arias,jehimy-arias,J. Arias,M,8,0,M,1479793,EUR,885427200,M,8,8,False,44.0,33.0,7.0,3.0,20.0,23.0,13.0,22.0,2.0,10.0,1.0,,2.0,,,,,83.0,63.0,6.7,16.0,2,,,4.0,,5.0,2.0,1.0,2.0,Jehimy Arias,,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,
11174451,away,El Farolito,Luis Becerra,luis-becerra,L. Becerra,M,5,0,M,1479730,EUR,699148800,M,5,5,False,43.0,34.0,,,13.0,15.0,22.0,29.0,11.0,9.0,,,6.0,,,,,90.0,61.0,6.3,15.0,0,,1.0,6.0,2.0,1.0,3.0,1.0,2.0,Luis Becerra,,,1.0,4.0,,1.0,,,,,,1.0,1.0,True,1.0,,,,,,,
11174451,away,El Farolito,Camilo Monroy,camilo-monroy,C. Monroy,F,,4,M,869986,EUR,906681600,M,12,12,False,24.0,19.0,1.0,,7.0,7.0,12.0,17.0,6.0,6.0,4.0,,1.0,,,,,81.0,44.0,5.9,16.0,1,170.0,,3.0,1.0,2.0,,,3.0,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,
11174451,away,El Farolito,Ricardo Delgado,ricardo-delgado,R. Delgado,F,,3,M,247819,EUR,775008000,F,17,17,False,28.0,23.0,3.0,,6.0,7.0,17.0,21.0,4.0,7.0,3.0,,3.0,,,,,45.0,40.0,7.7,9.0,2,164.0,,5.0,,,1.0,1.0,3.0,,,,,1.0,,,1.0,1.0,2.0,1.0,,,2.0,,,,,,,1.0,,
