match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_penaltyConceded,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_blockedScoringAttempt,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_penaltyMiss
10437941,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,22.0,16.0,10.0,4.0,14.0,16.0,2.0,6.0,10.0,4.0,1.0,2.0,4.0,1.0,1.0,90.0,31.0,7.5,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437941,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,56.0,45.0,4.0,4.0,21.0,24.0,25.0,37.0,4.0,,,,,,,90.0,86.0,6.4,21.0,0,5.0,1.0,3.0,2.0,6.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10437941,home,FC Arouca,João Basso,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,79.0,72.0,6.0,4.0,51.0,53.0,21.0,26.0,7.0,,,,,,,90.0,92.0,7.2,7.0,0,,,4.0,1.0,5.0,7.0,1.0,,2.0,3.0,,2.0,,True,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
10437941,home,FC Arouca,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1396,M,920514,EUR,908323200,D,3,3,False,58.0,47.0,10.0,3.0,32.0,34.0,15.0,24.0,4.0,,,,,,,90.0,68.0,6.4,12.0,1,,,,,3.0,6.0,,,1.0,,,1.0,2.0,,4.0,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10437941,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,40.0,32.0,4.0,2.0,15.0,19.0,18.0,29.0,6.0,,,,,,,90.0,75.0,6.4,22.0,0,8.0,1.0,2.0,1.0,6.0,4.0,,2.0,4.0,,,1.0,2.0,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10437941,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,69.0,58.0,11.0,9.0,22.0,23.0,38.0,59.0,3.0,,,,,,,90.0,98.0,7.7,23.0,0,13.0,2.0,,,,5.0,,,,4.0,1.0,3.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,
10437941,home,FC Arouca,Ismaila Soro,ismaila-soro,I. Soro,M,19,173,157,M,892808,EUR,894499200,M,23,23,False,34.0,28.0,2.0,2.0,17.0,20.0,11.0,14.0,7.0,,,,,,,68.0,41.0,6.7,8.0,0,,,,,2.0,1.0,,,1.0,2.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
10437941,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,24.0,18.0,1.0,1.0,4.0,6.0,14.0,18.0,2.0,,,,,,,81.0,37.0,6.6,9.0,3,,,1.0,,2.0,1.0,,1.0,,,1.0,,,,,,,1.0,,2.0,,,,,,morlayesylla2,1.0,,,,,,,
10437941,home,FC Arouca,André Bukia,andre-bukia,A. Bukia,M,95,173,93,M,798904,EUR,794188800,F,7,7,False,25.0,21.0,1.0,1.0,5.0,5.0,16.0,22.0,4.0,,,,,,,68.0,32.0,7.3,8.0,0,2.0,,,,2.0,3.0,,,,,,1.0,,,4.0,2.0,,,,,,,2.0,,,,,,,,,,,
10437941,home,FC Arouca,Oday Dabbagh,oday-dabbagh,O. Dabbagh,F,27,182,6559,M,920458,EUR,912643200,F,15,15,False,22.0,19.0,,,9.0,9.0,10.0,13.0,1.0,,,,,,,81.0,29.0,6.6,6.0,0,,,2.0,2.0,4.0,4.0,,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10437941,home,FC Arouca,Antony Alves,antony-alves,A. Alves,M,11,178,335,M,1105971,EUR,999907200,F,11,11,False,24.0,20.0,1.0,1.0,5.0,6.0,15.0,20.0,3.0,,,,,,,90.0,39.0,6.6,10.0,3,2.0,,,,4.0,4.0,,3.0,1.0,,,2.0,1.0,,2.0,2.0,,,,1.0,,,,Antony,,,2.0,,,,,,,
10437941,home,FC Arouca,Oriol Busquets,oriol-busquets,O. Busquets,M,66,185,483,M,817621,EUR,916790400,M,14,14,True,25.0,25.0,2.0,2.0,9.0,9.0,16.0,16.0,,,,,,,,22.0,30.0,6.8,1.0,1,,,,,2.0,2.0,1.0,,,,1.0,,1.0,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,
10437941,home,FC Arouca,Rafa Mújica,rafa-mujica,R. Mújica,F,19,183,746,M,845424,EUR,909619200,F,19,19,True,2.0,2.0,,,,,2.0,2.0,,,,,,,,22.0,8.0,6.7,2.0,2,,,,1.0,3.0,2.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,
10437941,home,FC Arouca,Arsénio Nunes,arsenio-nunes,A. Nunes,F,12,180,45,M,252087,EUR,620438400,M,8,8,True,9.0,7.0,1.0,1.0,,,7.0,10.0,,,,,,,,9.0,14.0,6.7,4.0,0,1.0,,,,2.0,3.0,1.0,1.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,
