match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_fouls,stat_blockedScoringAttempt,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_shotOffTarget,player_sofascoreId,captain,stat_ownGoals
11399410,home,AFC Ajax,Diant Ramaj,ramaj-diant,D. Ramaj,G,41,189,935,M,981562,EUR,1000857600,G,40,40,False,33.0,30.0,10.0,7.0,29.0,32.0,1.0,1.0,9.0,2.0,4.0,90.0,44.0,7.6,3.0,0.00074184,0,0.2591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Anton Gaaei,anton-gaaei,A. Gaaei,D,3,183,906,M,1120315,EUR,1037664000,D,3,3,False,68.0,54.0,5.0,3.0,30.0,37.0,24.0,32.0,6.0,,,90.0,98.0,7.6,21.0,0.049056,0,,,,1.0,2.0,1.0,6.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,71.0,67.0,7.0,4.0,52.0,53.0,15.0,18.0,4.0,,,90.0,78.0,7.1,5.0,0.0737707,0,,,,,1.0,2.0,3.0,,,3.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,82.0,77.0,6.0,4.0,50.0,52.0,27.0,30.0,4.0,,,90.0,94.0,8.1,6.0,0.0562578,1,,,,,1.0,2.0,2.0,2.0,1.0,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,0.5012,0.7256,,,,,,,,,,,,
11399410,home,AFC Ajax,ArJany Martha,martha-arjany,A. Martha,D,11,180,259,M,1004277,EUR,1062633600,D,42,42,False,50.0,47.0,2.0,,18.0,19.0,29.0,32.0,3.0,,,90.0,88.0,7.9,11.0,0.0826878,1,,,,1.0,,5.0,10.0,1.0,1.0,,3.0,7.0,4.0,2.0,2.0,1.0,,2.0,1.0,,,0.0157,0.0715,2.0,1.0,,,,,,,,,,
11399410,home,AFC Ajax,Benjamin Tahirović,benjamin-tahirovic,B. Tahirović,M,8,191,1907,M,1102659,EUR,1046649600,M,33,33,False,46.0,38.0,5.0,4.0,22.0,24.0,16.0,22.0,8.0,,,75.0,59.0,7.0,12.0,0.183546,1,,,,,,8.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,,2.0,3.0,,,,0.0109,,2.0,,1.0,,,,,,,,,
11399410,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,55.0,47.0,,,15.0,15.0,33.0,41.0,2.0,,,83.0,74.0,8.7,13.0,0.195412,4,,,,1.0,1.0,5.0,4.0,3.0,2.0,1.0,3.0,1.0,,1.0,,3.0,,1.0,3.0,1.0,,1.2139,1.4388,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
11399410,home,AFC Ajax,Steven Berghuis,steven-berghuis,S. Berghuis,F,23,182,1909,M,100386,EUR,693100800,M,23,23,False,62.0,55.0,5.0,2.0,17.0,19.0,40.0,47.0,1.0,,,74.0,78.0,9.3,11.0,0.91615,1,,,,4.0,,1.0,5.0,4.0,3.0,1.0,,1.0,,1.0,1.0,4.0,,,,,,0.0872,,,,,2.0,2.0,2.0,,1.0,1.0,,,
11399410,home,AFC Ajax,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,998,M,1160026,EUR,1074816000,M,38,38,False,22.0,19.0,1.0,,5.0,6.0,14.0,16.0,2.0,,,68.0,27.0,7.4,4.0,0.047224,2,,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,,0.5731,0.4752,,,,,,,,,,,,
11399410,home,AFC Ajax,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5149,M,361798,EUR,876268800,M,7,7,False,60.0,54.0,1.0,1.0,11.0,13.0,43.0,48.0,5.0,,,90.0,86.0,7.9,15.0,0.573608,4,,,,1.0,,8.0,7.0,7.0,5.0,,,,,3.0,2.0,4.0,,3.0,3.0,,,0.2514,0.5849,2.0,1.0,1.0,1.0,,1.0,,,,StevenBergwijn,True,
11399410,home,AFC Ajax,Chuba Akpom,chuba-akpom,C. Akpom,F,29,186,1664,M,190867,EUR,813196800,F,10,10,False,17.0,14.0,,,2.0,3.0,12.0,14.0,1.0,,,68.0,31.0,7.6,10.0,0.159285,2,,,,,,4.0,4.0,2.0,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,,0.2872,0.257,2.0,1.0,,,,,,,1.0,,,
11399410,home,AFC Ajax,Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,9,176,13243,M,1009372,EUR,972950400,F,19,19,True,9.0,7.0,,,,,7.0,9.0,,,,22.0,14.0,6.9,4.0,0.106252,2,,,,,,2.0,1.0,1.0,1.0,,,,,2.0,,1.0,,1.0,1.0,,,0.1327,0.169,,1.0,1.0,,,,,,,georgesmkd,,
11399410,home,AFC Ajax,Carlos Forbs,carlos-borges,C. Forbs,F,9,169,11145,M,1069486,EUR,1079654400,F,11,11,True,11.0,8.0,,,2.0,2.0,6.0,10.0,3.0,,,22.0,16.0,6.8,5.0,0.0895349,0,,Carlos Forbs,,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,
11399410,home,AFC Ajax,Mika Godts,mika-godts,M. Godts,F,11,176,3962,M,1149146,EUR,1118102400,F,39,39,True,7.0,7.0,,,2.0,2.0,5.0,5.0,2.0,,,16.0,9.0,6.5,2.0,0.0372511,0,,Mika Godts,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Jakov Medić,jakov-medic,J. Medić,D,5,194,859,M,872307,EUR,905126400,D,18,18,True,19.0,18.0,2.0,2.0,12.0,12.0,6.0,7.0,1.0,,,15.0,22.0,6.7,2.0,0.00216607,0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Anass Salah-Eddine,anass-salah-eddine,A. Salah-Eddine,D,2,179,6705,M,961684,EUR,1011312000,D,17,17,True,6.0,6.0,,,1.0,1.0,5.0,6.0,1.0,,,12.0,11.0,6.6,2.0,0.00957381,1,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,0.027,,1.0,,,,,,,,1.0,,,
11399410,home,AFC Ajax,Charlie Setford,charlie-setford,C. Setford,G,51,193,273,M,1112626,EUR,1084233600,G,51,51,True,,,,,,,,,,,,,,,,,0,,Charlie Setford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399410,home,AFC Ajax,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13348,M,128383,EUR,706320000,G,1,1,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerorulli,,
