match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_keyPass,stat_clearanceOffLine,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_penaltyMiss,stat_blockedScoringAttempt
10385494,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,13,13,False,True,24.0,4.0,21.0,3.0,1.0,6.0,3.0,18.0,1.0,10.0,1.0,3.0,1.0,5.0,1.0,2.0,2.0,90.0,36.0,8.0,20.0,0.0,0.0,0.00653578,0,0.7628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385494,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,False,,17.0,8.0,7.0,2.0,3.0,5.0,6.0,14.0,4.0,5.0,,,,,,,,80.0,39.0,6.4,13.0,0.0,0.0,0.0162382,0,,2.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10385494,home,Bournemouth,Jack Stephens,jack-stephens,J. Stephens,D,5,185,213,M,,134361,EUR,759628800,D,3,3,False,,23.0,15.0,5.0,1.0,14.0,19.0,1.0,4.0,1.0,1.0,,,,,,,,90.0,29.0,6.9,9.0,0.0,0.0,0.00019588,0,,,,1.0,1.0,1.0,3.0,,1.0,2.0,,,,Jack,Stephens,1.0,1.0,,,,,,,,,,,,,,,
10385494,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,25,25,False,,38.0,28.0,8.0,4.0,20.0,25.0,8.0,13.0,7.0,5.0,1.0,,,,,,,90.0,52.0,7.1,11.0,0.0,0.0,0.00464363,0,,,,,1.0,1.0,5.0,,,2.0,,,,,,2.0,,3.0,2.0,,,,,,,,,,,,,
10385494,home,Bournemouth,Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,3053,M,,865167,EUR,907632000,D,5,5,False,,24.0,17.0,5.0,,16.0,16.0,1.0,8.0,5.0,6.0,1.0,,,,,,,90.0,49.0,6.9,13.0,0.0,0.0,0.00101078,0,,,,,1.0,,2.0,,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,
10385494,home,Bournemouth,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,d.ouattara15,1106451,EUR,1013385600,M,11,11,False,,15.0,6.0,4.0,1.0,4.0,10.0,4.0,9.0,5.0,2.0,,,,,,,,90.0,38.0,7.2,15.0,0.4365,0.0,0.0371819,1,,4.0,2.0,4.0,6.0,8.0,12.0,1.0,,1.0,,,,Dango Ouattara,,,,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
10385494,home,Bournemouth,Joe Rothwell,joe-rothwell,J. Rothwell,M,48,185,268,M,,190853,EUR,789782400,M,14,14,False,,29.0,24.0,4.0,2.0,15.0,16.0,9.0,15.0,,8.0,,,,,,,,90.0,39.0,6.8,9.0,0.0,0.0,0.00384719,0,,2.0,,,1.0,3.0,4.0,,1.0,1.0,,,2.0,,,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,
10385494,home,Bournemouth,Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179,5444,M,jeffersonlerma,355796,EUR,783043200,M,8,8,False,,32.0,20.0,5.0,,11.0,15.0,9.0,18.0,1.0,10.0,,,,,,,,81.0,47.0,7.0,14.0,0.0,0.0,0.00329462,0,,1.0,,1.0,1.0,4.0,3.0,1.0,3.0,,,2.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,
10385494,home,Bournemouth,Jaidon Anthony,jaidon-anthony,J. Anthony,M,11,177,1095,M,,1020680,EUR,944006400,M,32,32,False,,24.0,20.0,1.0,,10.0,11.0,10.0,13.0,1.0,5.0,,,,,,,,88.0,45.0,6.4,13.0,0.0,0.0,0.00969138,0,,,,1.0,1.0,8.0,7.0,,,1.0,,2.0,1.0,,,,2.0,9.0,3.0,,,,,,1.0,1.0,,,,,,
10385494,home,Bournemouth,Philip Billing,philip-billing,P. Billing,M,8,193,1790,M,,548660,EUR,834451200,F,29,29,False,,25.0,20.0,1.0,,7.0,9.0,13.0,18.0,3.0,4.0,,,,,,,,70.0,44.0,7.5,10.0,0.3279,0.4497,0.00641866,1,,2.0,,,1.0,5.0,6.0,2.0,2.0,2.0,,1.0,2.0,,,2.0,2.0,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,
