match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_gender,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_goals,stat_errorLeadToAGoal,stat_totalOffside,player_sofascoreId
10438181,home,Boavista,Rafael Bracali,rafael-bracali,R. Bracali,G,182,29,44676,EUR,357868800,G,1,1,False,True,16.0,8.0,16.0,8.0,4.0,5.0,4.0,11.0,9.0,1.0,1.0,2.0,90.0,23.0,6.7,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438181,home,Boavista,Pedro Malheiro,pedro-malheiro,P. Malheiro,D,179,415,1131249,EUR,980035200,D,79,79,False,,35.0,30.0,1.0,,15.0,17.0,20.0,25.0,9.0,,,,89.0,62.0,7.4,10.0,0,,,79,M,1.0,7.0,5.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,
10438181,home,Boavista,Vincent Sasso,vincent-sasso,V. Sasso,D,190,44,74071,EUR,666662400,D,23,23,False,,22.0,19.0,2.0,1.0,18.0,18.0,1.0,4.0,1.0,,,,90.0,34.0,6.6,3.0,2,,,23,M,,,,3.0,2.0,4.0,,,,,2.0,5.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,
10438181,home,Boavista,Rodrigo Abascal,rodrigo-abascal,R. Abascal,D,190,156,846416,EUR,758505600,D,26,26,False,,43.0,32.0,14.0,9.0,20.0,21.0,12.0,24.0,4.0,,,,90.0,66.0,7.0,16.0,1,,,26,M,,2.0,,1.0,4.0,5.0,1.0,,,,5.0,1.0,2.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,,,,,
10438181,home,Boavista,Bruno Onyemaechi,bruno-onyemaechi,B. Onyemaechi,D,182,5807,1134441,EUR,923097600,D,70,70,False,,41.0,30.0,7.0,2.0,16.0,19.0,14.0,27.0,10.0,,,,90.0,78.0,6.9,23.0,1,,,70,M,,5.0,,2.0,3.0,8.0,1.0,4.0,3.0,,2.0,2.0,3.0,3.0,,,,,,1.0,,,,1.0,2.0,,,,
10438181,home,Boavista,Sebastián Pérez,sebastian-perez,S. Pérez,M,176,396,158597,EUR,733363200,M,24,24,False,,39.0,33.0,3.0,2.0,18.0,18.0,15.0,21.0,6.0,,,,79.0,51.0,7.2,7.0,1,,,42,M,,,,,3.0,5.0,2.0,,,,1.0,2.0,4.0,3.0,1.0,,,,1.0,,,,1.0,,1.0,,,,
10438181,home,Boavista,Bruno Lourenço,bruno-lourenco,B. Lourenço,M,179,99,984810,EUR,886377600,M,8,8,False,,34.0,26.0,4.0,3.0,4.0,7.0,23.0,33.0,7.0,,,,89.0,57.0,7.6,15.0,1,,,8,M,,6.0,1.0,,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,,,,1.0,1.0,,2.0,,,,,,
10438181,home,Boavista,Gaius Makouta,makouta-gaius,G. Makouta,M,180,299,847013,EUR,869788800,M,42,42,False,,37.0,31.0,1.0,,13.0,14.0,18.0,25.0,3.0,,,,90.0,56.0,6.3,13.0,2,,,42,M,,2.0,,2.0,8.0,5.0,1.0,3.0,,,1.0,1.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,,,
10438181,home,Boavista,Ibrahima Camará,ibrahima-camara,I. Camará,M,190,520,976145,EUR,917222400,M,6,6,False,,44.0,34.0,3.0,2.0,7.0,10.0,29.0,40.0,6.0,,,,90.0,61.0,7.4,19.0,0,,,2,M,,6.0,2.0,3.0,7.0,8.0,1.0,3.0,1.0,,,1.0,3.0,2.0,2.0,5.0,,,,2.0,,,1.0,,1.0,,,,
10438181,home,Boavista,Ricardo Mangas,mangas-ricardo,R. Mangas,D,179,1156,878496,EUR,890179200,M,19,19,False,,21.0,19.0,,,4.0,5.0,15.0,18.0,4.0,,,,68.0,34.0,6.6,9.0,2,Ricardo,Mangas,91,M,,2.0,,1.0,3.0,4.0,,2.0,,,,1.0,2.0,,,,,,1.0,1.0,1.0,,1.0,,2.0,,,,
