match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_expectedGoals,stat_totalCross,stat_keyPass,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_fouls,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_hitWoodwork,player_sofascoreId
11409036,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,24.0,14.0,13.0,3.0,13.0,14.0,1.0,10.0,1.0,11.0,1.0,2.0,2.0,4.0,1.0,1.0,90.0,38.0,7.8,10.0,0.00012142,0,1.4806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409036,home,Casa Pia,Fernando Varela,fernando-varela,F. Varela,D,5,183,60,M,51705,EUR,564883200,D,15,15,False,29.0,18.0,7.0,1.0,17.0,21.0,1.0,8.0,2.0,4.0,1.0,,,,,,89.0,42.0,7.0,12.0,0.00308567,0,,True,1.0,8.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11409036,home,Casa Pia,Nermin Zolotić,nermin-zolotic,N. Zolotić,D,44,188,74,M,94826,EUR,742003200,D,19,19,False,30.0,28.0,4.0,3.0,25.0,25.0,3.0,5.0,1.0,3.0,,,,,,,90.0,41.0,7.2,3.0,0.00109485,0,,,,5.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11409036,home,Casa Pia,Duplexe Tchamba,duplexe-tchamba,D. Tchamba,D,2,191,133,M,891792,EUR,900028800,D,2,2,False,37.0,30.0,8.0,3.0,25.0,28.0,5.0,9.0,2.0,5.0,1.0,,,,,,90.0,58.0,7.3,13.0,0.00114034,1,,,1.0,3.0,1.0,4.0,1.0,,,,,,,,1.0,0.0254,,,,,,,,,,,,,,,,,
11409036,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,M,18,18,False,17.0,9.0,2.0,,4.0,7.0,5.0,11.0,1.0,1.0,,,,,,,69.0,31.0,6.6,12.0,0.00656462,0,,,1.0,2.0,1.0,,2.0,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
11409036,home,Casa Pia,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,8,8,False,32.0,27.0,5.0,3.0,18.0,20.0,9.0,12.0,5.0,3.0,1.0,,,,,,90.0,46.0,7.3,6.0,0.0054526,1,,,,,,2.0,,,,,1.0,1.0,4.0,4.0,1.0,0.0173,,,,,,,,,,,,,,,,,
11409036,home,Casa Pia,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,16,16,False,28.0,27.0,3.0,3.0,22.0,23.0,5.0,5.0,2.0,3.0,1.0,,,,,,58.0,40.0,6.7,7.0,0.0042494,1,,,,,,1.0,4.0,,,,2.0,,,,,0.0123,,,1.0,2.0,1.0,1.0,,,,,,,,,,,
11409036,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,35.0,27.0,7.0,3.0,12.0,15.0,15.0,20.0,3.0,3.0,1.0,,,,,,90.0,58.0,6.7,14.0,0.0162621,1,,,,4.0,,,2.0,,,,4.0,,1.0,1.0,,0.0302,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
11409036,home,Casa Pia,Rúben Lameiras,ruben-lameiras,R. Lameiras,M,22,175,78,M,793154,EUR,788054400,F,10,10,False,21.0,17.0,1.0,1.0,5.0,5.0,12.0,17.0,4.0,3.0,2.0,,,,,,58.0,32.0,6.9,8.0,0.0125851,1,,,,,,1.0,1.0,,,,1.0,,,,1.0,0.0246,1.0,,,3.0,2.0,,,2.0,,,,,,,,,
11409036,home,Casa Pia,Clayton,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,99,99,False,12.0,11.0,1.0,1.0,4.0,4.0,7.0,8.0,2.0,4.0,2.0,,,,,,90.0,28.0,7.1,9.0,0.019966,3,,,,1.0,,,4.0,,,7.0,12.0,2.0,,,1.0,0.625,,,,2.0,,1.0,2.0,4.0,1.0,1.0,0.5408,,,,,,
