match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded
11409036,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11409036,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,
11409036,,,,,89,,,2,,,substitution,,122425666.0,False,True,regular,,,,,
11409036,,,,,82,,,9,,,substitution,,122425633.0,False,False,regular,,,,,
11409036,,,,,82,,,9,,,substitution,,122425632.0,False,False,regular,,,,,
11409036,,,,,76,,,15,,,substitution,,122425595.0,True,False,injury,,,,,
11409036,,1.0,0.0,,74,,,17,,,goal,,178613167.0,,True,regular,1017023.0,Clayton,,,
11409036,,,,,72,,,19,,,substitution,,122425570.0,False,False,regular,,,,,
11409036,,,,,71,,,20,,,card,,121151135.0,,False,yellow,54672.0,David Simão,David Simão,Foul,False
11409036,,,,,69,,,22,,,substitution,,122425548.0,False,True,regular,,,,,
11409036,,,,,69,,,22,,,substitution,,122425547.0,False,True,regular,,,,,
11409036,,,,,64,,,27,,,card,,121151103.0,,False,yellow,927376.0,Francisco Montero,Francisco Montero,Foul,False
11409036,,,,,58,,,33,,,substitution,,122425485.0,False,True,regular,,,,,
11409036,,,,,58,,,33,,,substitution,,122425486.0,False,True,regular,,,,,
11409036,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11409036,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,
