match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,player_sofascoreId,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,stat_challengeLost,stat_errorLeadToAShot,stat_fouls,stat_goals,stat_blockedScoringAttempt,captain,stat_goodHighClaim,stat_punches
14771917,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,23.0,22.0,4.0,3.0,0.0,21.0,21.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,2.0,90.0,35.0,8.9,2.0,0.00024334,53.666588556285,6.0,34.86,11.865,1.2473,0,1.7316,0.05,0.01,0.21,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771917,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,43.0,36.0,1.0,1.0,1.0,8.0,9.0,28.0,34.0,1.0,4.0,,,,,89.0,75.0,7.6,19.0,0.305004,141.1010782311,13.0,81.06,26.04,,2,,0.28,0.47,0.17,,5.0,1.0,1.0,5.0,6.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.1731,42.529291521839,2.0,1.0,-0.41,,,,,,,,,,,,,,,
14771917,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400,D,2,2,False,109.0,98.0,12.0,7.0,0.0,40.0,40.0,58.0,69.0,3.0,4.0,,,,,90.0,121.0,7.9,13.0,0.0513417,407.96299451677,56.0,244.125,16.905,,3,,0.48,0.38,0.17,,1.0,,,,6.0,,,,,,2.0,,,1.0,1.0,1.0,2.0,,0.1629,40.405941902305,3.0,,-0.56,DaniloP,3.0,1.0,0.1033,,,,,,,,,,,
14771917,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,78.0,75.0,5.0,4.0,0.0,43.0,44.0,32.0,34.0,4.0,2.0,,,,,89.0,85.0,7.8,3.0,0.0237245,232.42592551576,34.0,118.02,13.65,,1,,0.37,0.19,0.42,,,,,,1.0,,,,,,1.0,,,,,,,,0.0739,,,,-0.05,,1.0,,,,,1.0,,,,,,,,
14771917,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180.0,1741,M,1006089,EUR,1060128000,D,12,12,False,86.0,81.0,5.0,4.0,0.0,31.0,34.0,50.0,52.0,4.0,8.0,,,,,90.0,106.0,7.7,8.0,0.124255,229.33180900885,29.0,107.1,28.035,,0,,0.53,0.23,-0.1,,3.0,1.0,1.0,4.0,5.0,,2.0,2.0,,,,,,,,1.0,,,,54.525050460897,2.0,1.0,,,3.0,,,,,,1.0,1.0,3.0,,,,,
14771917,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,47.0,45.0,5.0,4.0,0.0,11.0,12.0,34.0,35.0,,5.0,,,,,90.0,56.0,7.0,5.0,0.128552,197.48716455163,18.0,129.465,30.765,,0,,0.22,0.36,-0.07,,,,,6.0,2.0,3.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,76.492433410859,3.0,2.0,,nglkante,,,,,,,2.0,,1.0,,,,,
14771917,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,77.0,71.0,4.0,2.0,0.0,35.0,35.0,36.0,42.0,2.0,3.0,,,,,90.0,86.0,7.4,7.0,0.537255,149.32398614687,22.0,31.395,19.95,,0,,0.61,0.12,0.13,,,,1.0,7.0,4.0,,1.0,,,,,,3.0,,,,1.0,,,22.314177466355,1.0,2.0,,Fabinho,3.0,,,,,,1.0,,4.0,,,,,
14771917,home,Al-Ittihad,Ahmed Al-Ghamdi,ahmed-al-ghamdi,A. Al-Ghamdi,M,27,178.0,356,M,984415,EUR,1000944000,M,27,27,False,35.0,26.0,,,0.0,5.0,7.0,21.0,28.0,,3.0,,,,,82.0,52.0,7.8,18.0,0.652925,53.293056793425,9.0,-14.91,2.94,,1,,0.55,0.14,-0.09,,4.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,3.0,1.0,1.0,0.666,,,1.0,0.45,,,1.0,0.9922,,,,2.0,,2.0,1.0,,,,
14771917,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178.0,5144,M,361798,EUR,876268800,M,34,34,False,27.0,27.0,,,0.0,2.0,2.0,25.0,25.0,,,,,,,88.0,39.0,7.5,7.0,0.302441,120.33505695533,13.0,62.475,23.52,,3,,0.25,0.04,-0.04,,3.0,1.0,1.0,6.0,1.0,1.0,3.0,,,,,,,,,,1.0,,0.7987,47.842011651479,2.0,3.0,0.48,StevenBergwijn,,2.0,1.2054,,,,1.0,,,1.0,1.0,,,
14771917,home,Al-Ittihad,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170.0,2642,M,1128560,EUR,1132531200,M,78,78,False,44.0,40.0,1.0,1.0,1.0,9.0,9.0,31.0,35.0,,2.0,,,,,90.0,79.0,7.3,25.0,0.76888,201.88211510573,21.0,41.16,19.95,,0,,0.5,0.26,-0.02,,18.0,5.0,3.0,9.0,5.0,1.0,6.0,3.0,1.0,,,,,1.0,,3.0,1.0,1.0,,90.310766869418,6.0,3.0,,,,,,,,,,,2.0,,,,,
