match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_lastManTackle,stat_totalOffside,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_dispossessed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_hitWoodwork
14573092,home,Breidablik Kópavogur,Anton Ari Einarsson,anton-ari-einarsson,A. A. Einarsson,G,1,192.0,18,M,797032,EUR,777772800,G,1,1,False,27.0,21.0,11.0,7.0,0.0,20.0,23.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,90.0,32.0,7.1,6.0,0.00087595,0.0803,0,0.3088,0.02,-0.03,0.16,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Valgeir Valgeirsson,valgeir-valgeirsson,V. Valgeirsson,D,17,168.0,36,M,934255,EUR,1032652800,D,17,17,False,45.0,36.0,2.0,,0.0,15.0,17.0,24.0,32.0,1.0,10.0,9.0,2.0,,,90.0,85.0,7.9,17.0,0.328335,,1,,0.49,0.25,0.21,,,,4.0,3.0,3.0,8.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0152,4.0,-0.13,,,,,,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Damir Muminović,damir-muminovic,D. Muminović,D,44,186.0,26,M,73624,EUR,642556800,D,44,44,False,47.0,40.0,11.0,7.0,0.0,23.0,24.0,17.0,23.0,1.0,2.0,6.0,,,,90.0,64.0,7.7,8.0,0.125105,,1,,0.35,0.14,0.84,,,,,,4.0,,,,1.0,9.0,2.0,1.0,1.0,,1.0,0.006,1.0,-0.06,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Viktor Orn Margeirsson,viktor-orn-margeirsson,V. O. Margeirsson,D,21,188.0,6,M,796721,EUR,774835200,D,21,21,False,56.0,47.0,5.0,2.0,0.0,38.0,41.0,9.0,15.0,4.0,6.0,5.0,,,,90.0,69.0,7.6,9.0,0.00659386,,0,,-0.05,0.16,0.44,,,,,,,,,,,8.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Kristinn Jónsson,kristinn-jonsson,K. Jónsson,D,19,174.0,9,M,64384,EUR,649728000,D,19,19,False,45.0,34.0,6.0,3.0,0.0,9.0,14.0,29.0,39.0,1.0,5.0,4.0,1.0,,,90.0,72.0,7.3,19.0,0.233478,,1,,0.38,0.16,-0.05,,,,8.0,4.0,3.0,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,,2.0,0.0136,3.0,-0.02,,2.0,,,1.0,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Höskuldur Gunnlaugsson,hoskuldur-gunnlaugsson,H. Gunnlaugsson,M,7,173.0,59,M,156416,EUR,780537600,M,7,7,False,37.0,32.0,3.0,1.0,0.0,7.0,7.0,25.0,33.0,,2.0,10.0,1.0,,,90.0,54.0,6.7,13.0,0.154586,,3,,0.57,0.09,-0.03,,,,3.0,,5.0,4.0,1.0,,2.0,1.0,1.0,,,,2.0,0.9806,,-1.0,,1.0,,,1.0,True,1.0,1.0,1.0,0.1972,1.0,,,,,,,,,
14573092,home,Breidablik Kópavogur,Arnór Gauti Jónsson,arnor-gauti-jonsson,A. G. Jónsson,M,6,,14,M,1029004,EUR,1022803200,M,6,6,False,48.0,42.0,4.0,3.0,0.0,27.0,29.0,15.0,19.0,2.0,3.0,5.0,,,,90.0,62.0,7.1,8.0,0.00977319,,2,,0.21,0.06,0.17,,Arnór Gauti Jónsson,,,,2.0,,,,2.0,3.0,1.0,1.0,,,2.0,0.1318,,-0.43,,,,,,,,,2.0,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Viktor Karl Einarsson,viktor-karl-einarsson,V. K. Einarsson,M,8,176.0,30,M,822170,EUR,854582400,M,8,8,False,26.0,24.0,2.0,2.0,0.0,8.0,8.0,16.0,18.0,,6.0,3.0,4.0,,,72.0,39.0,7.2,6.0,0.022907,,0,,0.27,-0.09,0.18,,,,,,3.0,2.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
14573092,home,Breidablik Kópavogur,Ágúst Orri Thorsteinsson,agust-orri-porsteinsson,Á. O. Thorsteinsson,M,15,,54,M,2203670,EUR,1105660800,F,15,15,False,22.0,18.0,,,0.0,4.0,5.0,14.0,24.0,,3.0,5.0,,,,72.0,43.0,6.7,15.0,0.0543291,,0,,-0.11,0.39,0.17,,Ágúst Orri Thorsteinsson,,7.0,,4.0,4.0,1.0,,,,2.0,2.0,2.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Tobias Thomsen,tobias-thomsen,T. Thomsen,F,77,182.0,161,M,150140,EUR,719452800,F,77,77,False,15.0,8.0,,,0.0,3.0,4.0,5.0,13.0,3.0,4.0,2.0,,,,60.0,21.0,6.6,10.0,0.0392028,,2,,-0.02,,-0.01,,,,2.0,,1.0,,,,2.0,,,1.0,1.0,,1.0,0.3308,1.0,-0.51,1.0,,,,,,1.0,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Davíð Ingvarsson,david-ingvarsson,D. Ingvarsson,M,18,176.0,18,M,879184,EUR,924998400,F,18,18,False,10.0,6.0,,,0.0,2.0,2.0,4.0,9.0,,,,,,,72.0,23.0,5.9,12.0,0.00349487,,3,,-0.19,0.12,-0.01,,,,1.0,,5.0,3.0,,,1.0,,,,,,2.0,0.2975,,-0.54,1.0,,,,,,1.0,1.0,1.0,0.132,,,1.0,,,,,,,
14573092,home,Breidablik Kópavogur,Þorleifur Úlfarsson,thorleifur-ulfarsson,Þ. Úlfarsson,F,45,185.0,37,M,1025993,EUR,977875200,F,45,45,True,5.0,1.0,,,0.0,1.0,1.0,,4.0,2.0,2.0,,,,,30.0,11.0,6.1,6.0,1.413e-05,,2,,-0.35,0.04,-0.03,,,,,,2.0,,,,,1.0,,,,,2.0,0.3482,,0.06,1.0,1.0,,,,,,1.0,,0.3191,,,1.0,,,,,,,
14573092,home,Breidablik Kópavogur,Kristinn Steindorsson,kristinn-steindorsson,K. Steindorsson,M,10,177.0,22,M,64386,EUR,641347200,F,10,10,True,15.0,13.0,,,0.0,9.0,10.0,5.0,7.0,1.0,1.0,3.0,,,,18.0,17.0,6.6,3.0,0.047154,,0,,0.09,0.04,0.16,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Óli Valur Ómarsson,oli-valur-omarsson,O. V. Omarsson,M,9,172.0,65,M,957138,EUR,1042070400,M,9,9,True,6.0,3.0,,,0.0,,1.0,3.0,8.0,1.0,2.0,1.0,,,,18.0,15.0,6.7,7.0,0.00617954,,0,,-0.04,0.15,-0.03,,,,3.0,,2.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14573092,home,Breidablik Kópavogur,Aron Bjarnason,aron-bjarnason,A. Bjarnason,M,11,173.0,19,M,239060,EUR,813628800,M,11,11,True,8.0,7.0,,,0.0,5.0,5.0,2.0,7.0,,2.0,5.0,1.0,,,18.0,16.0,6.7,6.0,0.00603711,,1,,-0.09,0.03,0.13,,,,4.0,,1.0,,,,1.0,,,1.0,1.0,,,0.0103,,-0.04,,,,,,,,,,,,1.0,,,,,,,,
