match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_bigChanceCreated
12499308,home,Genoa,Pierluigi Gollini,,,pierluigi-gollini,P. Gollini,G,95,194,1254,M,329175,EUR,795484800,G,95,95,False,40.0,34.0,13.0,7.0,0.0,32.0,33.0,2.0,7.0,3.0,1.0,1.0,90.0,43.0,6.2,6.0,0.00235304,0,-1.3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499308,home,Genoa,Koni De Winter,,,de-winter-koni,K. De Winter,D,5,191,3255,M,1001828,EUR,1023840000,D,4,4,False,43.0,38.0,3.0,2.0,0.0,24.0,26.0,15.0,18.0,3.0,,,90.0,56.0,6.1,7.0,0.0134593,0,,1.0,1.0,1.0,4.0,4.0,6.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12499308,home,Genoa,Mattia Bani,,,mattia-bani,M. Bani,D,13,188,270,M,250547,EUR,755481600,D,13,13,False,46.0,41.0,7.0,5.0,0.0,35.0,36.0,6.0,10.0,1.0,,,90.0,57.0,6.7,5.0,0.00159955,1,,,,,2.0,1.0,4.0,,,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0345,,,,,,,,,,,,,
12499308,home,Genoa,Johan Vásquez,,,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,34.0,25.0,2.0,,0.0,16.0,21.0,9.0,13.0,3.0,,,90.0,46.0,6.2,12.0,0.00308116,0,,,,2.0,2.0,5.0,3.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,
12499308,home,Genoa,Alessandro Zanoli,,,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,M,59,59,False,26.0,24.0,3.0,2.0,0.0,12.0,13.0,12.0,18.0,,,,85.0,49.0,6.7,12.0,0.00859789,0,,5.0,,1.0,2.0,1.0,5.0,,,2.0,1.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,
12499308,home,Genoa,Morten Frendrup,,,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,37.0,33.0,2.0,,0.0,22.0,22.0,11.0,15.0,6.0,,,90.0,47.0,6.6,5.0,0.00655086,0,,,,,,3.0,3.0,,,,3.0,,1.0,,3.0,,,5.0,,,,1.0,,,,,,,,,,,
12499308,home,Genoa,Milan Badelj,,,milan-badelj,M. Badelj,M,,186,902,M,39482,EUR,604368000,M,47,47,False,8.0,6.0,2.0,1.0,0.0,2.0,3.0,4.0,5.0,1.0,,,25.0,9.0,6.5,2.0,0.00896306,0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,
12499308,home,Genoa,Fabio Miretti,,,fabio-miretti,F. Miretti,M,21,179,3225,M,1010223,EUR,1059868800,M,23,23,False,12.0,10.0,4.0,3.0,0.0,5.0,6.0,6.0,10.0,,,,69.0,28.0,6.5,7.0,0.157077,1,,4.0,1.0,,,3.0,2.0,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,0.1017,,,,,,,,,,,,,
12499308,home,Genoa,Honest Ahanor,,,honest-ahanor,H. Ahanor,D,69,184,1976,M,1634980,EUR,1203724800,M,69,69,False,8.0,6.0,1.0,,0.0,3.0,4.0,3.0,5.0,3.0,,,69.0,19.0,6.4,5.0,0.00201965,0,,1.0,,1.0,,4.0,4.0,2.0,1.0,2.0,1.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,
12499308,home,Genoa,Vitinha,,,vitinha,Vitinha,F,9,183,2248,M,1093695,EUR,953078400,F,9,9,False,14.0,6.0,3.0,,0.0,3.0,6.0,3.0,8.0,3.0,,,68.0,28.0,5.9,15.0,0.00288474,0,,,,2.0,,11.0,3.0,3.0,4.0,,1.0,,1.0,,,,,1.0,2.0,,2.0,,,,,,,,,,,,
12499308,home,Genoa,Andrea Pinamonti,,,andrea-pinamonti,A. Pinamonti,F,99,185,2688,M,826198,EUR,927072000,F,19,19,False,17.0,8.0,1.0,,0.0,8.0,10.0,,7.0,1.0,,,90.0,24.0,6.8,10.0,0.00013851,2,,,,1.0,3.0,1.0,5.0,,,,,,1.0,,,1.0,,1.0,2.0,0.1751,,,,1.0,0.4768,,,,,,,,
