match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,isHome,incidentClass,player_id,player_name,injury,playerName,reason,rescinded,from
12499308,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12499308,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,,
12499308,,0.0,3.0,,89,,,2,,,goal,,187681011.0,False,regular,979222.0,Francisco Conceição,,,,,
12499308,,,,,85,,,6,,,substitution,,123105442.0,True,regular,,,False,,,,
12499308,,,,,76,,,15,,,card,,121591450.0,True,yellow,889785.0,Johan Vásquez,,Johan Vásquez,Foul,False,
12499308,,,,,74,,,17,,,substitution,,123105287.0,False,regular,,,False,,,,
12499308,,,,,74,,,17,,,substitution,,123105285.0,False,regular,,,False,,,,
12499308,,,,,74,,,17,,,substitution,,123105286.0,False,regular,,,False,,,,
12499308,,,,,69,,,22,,,substitution,,123105235.0,True,regular,,,False,,,,
12499308,,,,,69,,,22,,,substitution,,123105236.0,True,regular,,,False,,,,
12499308,,,,,68,,,23,,,substitution,,123105237.0,True,regular,,,False,,,,
12499308,,,,,62,,,29,,,substitution,,123105109.0,False,regular,,,False,,,,
12499308,,,,,62,,,29,,,substitution,,123105108.0,False,regular,,,False,,,,
12499308,,0.0,2.0,,55,,,36,,,goal,,187678597.0,False,regular,832208.0,Dušan Vlahović,,,,,
12499308,,,,,50,,,41,,,card,,121591210.0,False,yellow,901850.0,Nicolò Fagioli,,Nicolò Fagioli,Foul,False,
12499308,,0.0,1.0,,48,,,43,,,goal,,187677926.0,False,penalty,832208.0,Dušan Vlahović,,,,,penalty
12499308,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12499308,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
12499308,,,,,27,,,19,,,card,,121590693.0,True,yellow,918440.0,Morten Frendrup,,Morten Frendrup,Foul,False,
12499308,,,,,25,,,21,,,substitution,,123104166.0,True,injury,,,True,,,,
