match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_wasFouled,stat_wonContest,player_firstName,player_lastName,stat_goalAssist,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim
10388310,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,49.0,41.0,21.0,13.0,40.0,44.0,1.0,5.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0,90.0,60.0,7.6,8.0,0.0,0.0,0.00038322,0,0.6534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388310,home,FC Bayern München,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10858,M,benpavard21,787505,EUR,827971200,D,5,5,False,,83.0,70.0,4.0,1.0,42.0,52.0,29.0,35.0,1.0,5.0,,,,,,90.0,114.0,8.4,20.0,0.3285,0.29,0.715272,2,,4.0,1.0,5.0,3.0,9.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,4.0,,,,,,,,,,,
10388310,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,65.0,60.0,5.0,4.0,35.0,37.0,25.0,28.0,5.0,5.0,,,,,,90.0,77.0,7.3,6.0,0.0,0.0,0.0347797,0,,,,3.0,1.0,4.0,3.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,
10388310,home,FC Bayern München,Lucas Hernández,lucas-hernandez,L. Hernández,D,21,183,10289,M,lucashernandez21,352370,EUR,824256000,D,21,21,False,,73.0,67.0,9.0,8.0,50.0,54.0,17.0,19.0,,8.0,,,,,,90.0,79.0,6.9,7.0,0.0,0.0,0.00883963,0,,,,,2.0,3.0,3.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
10388310,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,,62.0,56.0,2.0,2.0,32.0,33.0,24.0,30.0,2.0,8.0,,,,,,90.0,84.0,7.4,12.0,0.0,0.0,0.147193,0,,1.0,,,,3.0,6.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,,,,,,,,
10388310,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,,61.0,53.0,5.0,3.0,36.0,40.0,20.0,26.0,,3.0,,,,,,90.0,91.0,8.3,14.0,0.2027,0.1717,0.204692,3,,5.0,3.0,3.0,1.0,8.0,10.0,1.0,3.0,,,2.0,,,3.0,5.0,3.0,,1.0,5.0,,4.0,,,,1.0,1.0,,,,
10388310,home,FC Bayern München,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,18,18,False,,60.0,55.0,3.0,1.0,28.0,29.0,27.0,33.0,1.0,4.0,,,,,,90.0,74.0,7.3,8.0,0.1675,0.0393,0.0434449,3,,2.0,,,,2.0,5.0,2.0,,,1.0,1.0,,,,4.0,3.0,,,1.0,1.0,,1.0,,,,1.0,,,,
10388310,home,FC Bayern München,Thomas Müller,thomas-muller,T. Müller,F,13,186,37471,M,esmuellert,35166,EUR,621648000,M,25,25,False,,45.0,37.0,6.0,3.0,12.0,13.0,25.0,36.0,1.0,6.0,,,,,,90.0,68.0,7.7,16.0,0.3606,0.2107,0.123357,3,,4.0,,,1.0,2.0,4.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,,1.0,,1.0,,,,,1.0,1.0,4.0,,
10388310,home,FC Bayern München,Serge Gnabry,serge-gnabry,S. Gnabry,M,7,176,19183,M,sergegnabry,187433,EUR,805680000,M,7,7,False,,17.0,11.0,2.0,,5.0,7.0,6.0,12.0,,2.0,,,,,,45.0,33.0,6.9,11.0,0.167,0.0,0.0144846,3,,2.0,,2.0,,4.0,3.0,,,,2.0,,,1.0,,,,,1.0,1.0,3.0,1.0,2.0,,,,1.0,,,,
10388310,home,FC Bayern München,Jamal Musiala,jamal-musiala,J. Musiala,M,10,184,116690,M,Bambi,1010231,EUR,1046217600,M,42,42,False,,30.0,26.0,,,8.0,9.0,18.0,22.0,,1.0,,,,,,83.0,47.0,7.4,10.0,0.4438,0.4248,0.0991926,4,,1.0,,,1.0,3.0,5.0,,2.0,,,1.0,,,,,,1.0,,3.0,3.0,2.0,2.0,,,,3.0,1.0,,,
