match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,player_firstName,player_lastName,stat_outfielderBlock,stat_challengeLost,stat_wonContest,stat_penaltyConceded,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_unsuccessfulTouch,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_aerialLost,stat_blockedScoringAttempt,captain,stat_penaltyMiss
10389797,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,99,99,False,23.0,19.0,6.0,2.0,19.0,21.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,80.0,31.0,5.4,4.0,0.0,0.0,3.899e-05,0,-0.7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4067,M,DaniloP,99545,EUR,684374400,D,15,15,False,60.0,55.0,6.0,5.0,42.0,45.0,16.0,,9.0,,,,,89.0,70.0,6.4,7.0,0.0,0.0,0.00496751,0,,13.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,Sergio Ramos,sergio-ramos,S. Ramos,D,93,184,68934,M,SergioRamos,10710,EUR,512524800,D,4,4,False,58.0,53.0,6.0,3.0,42.0,43.0,15.0,4.0,5.0,,,,,90.0,70.0,6.9,6.0,0.0605,0.607,0.00931451,1,,11.0,,3.0,2.0,4.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,El Chadaille Bitshiabu,el-chadaille-bitshiabu,E. C. Bitshiabu,D,5,196,1695,M,,1048009,EUR,1116201600,D,31,31,False,47.0,45.0,7.0,7.0,30.0,31.0,16.0,4.0,3.0,,,,,80.0,52.0,6.5,2.0,0.0,0.0,0.00630703,0,,15.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,wzairemery6,1142672,EUR,1141776000,M,33,33,False,36.0,31.0,1.0,,18.0,21.0,15.0,1.0,4.0,,,,,90.0,52.0,6.0,7.0,0.0,0.0,0.0378262,0,,13.0,,,5.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,40.0,38.0,1.0,,21.0,22.0,19.0,1.0,3.0,,,,,58.0,46.0,7.0,2.0,0.0,0.0,0.200097,0,,18.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,
10389797,home,Paris Saint-Germain,Marco Verratti,marco-verratti,M. Verratti,M,6,165,6337,M,marcoverratti,126691,EUR,720921600,M,6,6,False,101.0,95.0,2.0,1.0,50.0,53.0,48.0,,8.0,1.0,,,,90.0,111.0,6.4,7.0,0.0,0.0,0.17098,0,,45.0,,,3.0,6.0,1.0,1.0,2.0,1.0,,1.0,,,3.0,,,,2.0,1.0,,2.0,,,,,,,,,,,,
10389797,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,M,2,2,False,56.0,49.0,2.0,2.0,22.0,26.0,30.0,1.0,6.0,,,,,90.0,69.0,6.7,9.0,0.0,0.0,0.019356,0,,27.0,,1.0,5.0,5.0,,,1.0,1.0,2.0,2.0,,,2.0,,,,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,
10389797,home,Paris Saint-Germain,Lionel Messi,lionel-messi,L. Messi,F,10,169,2023630,M,LM10,12994,EUR,551491200,F,30,30,False,50.0,41.0,2.0,,13.0,13.0,39.0,,,,,,,90.0,69.0,7.6,14.0,0.5839,0.7021,0.554235,6,,29.0,2.0,,4.0,3.0,,,,,1.0,5.0,3.0,,1.0,,,,,2.0,,4.0,,1.0,,,,1.0,1.0,3.0,,,,
10389797,home,Paris Saint-Germain,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,190,97012,M,hekitike,1048422,EUR,1024531200,F,44,44,False,11.0,11.0,,,4.0,4.0,7.0,,3.0,,,,,57.0,22.0,6.5,4.0,0.4287,0.0,0.016588,5,,7.0,,,7.0,,3.0,,,,2.0,,,,,Hugo Ekitiké,,,,,,,,,1.0,,,,,3.0,2.0,2.0,,
