match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,stat_wonTackle,stat_dispossessed,stat_fouls,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_goalAssist,stat_blockedScoringAttempt,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
10913545,home,Al Tai,Victor Braga,victor-braga,V. Braga,G,1,193.0,79,M,805020,EUR,698284800,G,1,1,False,25.0,12.0,19.0,6.0,10.0,13.0,2.0,12.0,1.0,18.0,1.0,1.0,90.0,39.0,7.3,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913545,home,Al Tai,Collins Fai,collins-fai,C. Fai,D,,167.0,535,,336551,EUR,713664000,D,40,40,False,45.0,28.0,5.0,3.0,14.0,19.0,15.0,30.0,3.0,6.0,,,90.0,84.0,7.5,25.0,0,4.0,1.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
10913545,home,Al Tai,Adrián Martínez,adrian-martinez,Adrián Martínez,D,5,187.0,37,M,757930,EUR,742608000,D,5,5,False,28.0,25.0,5.0,3.0,21.0,21.0,4.0,7.0,3.0,5.0,,,90.0,35.0,7.0,3.0,0,,,4.0,,5.0,2.0,1.0,,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,
10913545,home,Al Tai,Abdulkarim Al Sulaima,abdulkarim-al-sulaima,A. A. Sulaima,D,4,,5,M,1127119,EUR,961804800,D,4,4,False,39.0,30.0,6.0,,26.0,30.0,4.0,9.0,6.0,6.0,,,90.0,49.0,6.9,10.0,0,,,,2.0,3.0,2.0,1.0,,,1.0,,,,Abdulkarim Al Sulaima,,1.0,,1.0,1.0,,,,,,,,,,,,,
10913545,home,Al Tai,Hussain Qasim,hussain-qasim,H. Qasim,D,12,179.0,18,M,948595,EUR,874800000,D,12,12,False,44.0,35.0,1.0,,23.0,28.0,12.0,18.0,3.0,5.0,,,90.0,69.0,7.2,14.0,0,2.0,,,1.0,3.0,5.0,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,
10913545,home,Al Tai,Mukhtar Ali,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600,M,7,7,False,57.0,44.0,6.0,,21.0,23.0,24.0,35.0,2.0,8.0,,,90.0,73.0,7.7,14.0,1,1.0,1.0,,1.0,2.0,5.0,,2.0,2.0,2.0,2.0,1.0,1.0,,,,2.0,,2.0,,1.0,1.0,,,,,,,,,,
10913545,home,Al Tai,Alfa Semedo,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200,M,30,30,False,46.0,41.0,1.0,1.0,17.0,19.0,24.0,27.0,4.0,6.0,,,89.0,64.0,7.1,9.0,1,,,1.0,3.0,5.0,7.0,,1.0,1.0,,3.0,2.0,1.0,,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,
10913545,home,Al Tai,Amir Saâyoud,amir-saayoud,A. Saâyoud,F,11,170.0,2347,M,309154,EUR,654652800,M,10,10,False,43.0,37.0,1.0,1.0,10.0,10.0,27.0,35.0,,9.0,,,81.0,61.0,7.5,16.0,2,2.0,,,,7.0,4.0,,4.0,2.0,,1.0,1.0,2.0,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
10913545,home,Al Tai,Knowledge Musona,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400,M,11,11,False,48.0,37.0,4.0,3.0,13.0,18.0,24.0,36.0,1.0,6.0,,,89.0,76.0,6.8,23.0,6,6.0,,,,9.0,2.0,2.0,4.0,2.0,2.0,,,1.0,,,1.0,,4.0,1.0,,2.0,,,1.0,2.0,True,1.0,2.0,1.0,,,
10913545,home,Al Tai,Khalil Al-Absi,khalil-al-absi,K. Al-Absi,M,11,165.0,52,M,1019289,EUR,991008000,M,24,24,False,28.0,24.0,1.0,,10.0,11.0,14.0,19.0,,5.0,,,69.0,46.0,6.6,15.0,0,2.0,,3.0,,6.0,4.0,,3.0,1.0,2.0,1.0,5.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,
