match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalTackle,stat_penaltyConceded,stat_fouls,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_goals,stat_wasFouled,stat_accurateCross,captain,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_goodHighClaim,stat_outfielderBlock,stat_penaltyWon,stat_penaltyMiss
10407361,home,KAS Eupen,Lennart Moser,lennart-moser,L. Moser,G,99,196,55,M,886064,EUR,944438400,G,1,1,False,13.0,8.0,8.0,3.0,7.0,8.0,1.0,5.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,90.0,23.0,6.4,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407361,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,34,M,1020435,EUR,1017273600,D,28,28,False,19.0,14.0,7.0,4.0,10.0,12.0,4.0,7.0,,1.0,,2.0,,,,45.0,21.0,5.9,5.0,0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10407361,home,KAS Eupen,Boris Lambert,lambert-boris,B. Lambert,M,35,187,94,M,936240,EUR,955324800,D,35,35,False,44.0,39.0,4.0,2.0,24.0,27.0,15.0,17.0,1.0,2.0,2.0,4.0,,,,90.0,50.0,6.7,5.0,1,,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10407361,home,KAS Eupen,Jason Davidson,jason-davidson,J. Davidson,D,2,180,75,M,105350,EUR,678153600,D,3,3,False,67.0,55.0,6.0,4.0,19.0,24.0,36.0,44.0,2.0,2.0,,3.0,,,,90.0,86.0,6.8,17.0,3,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10407361,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,145,M,990265,EUR,939686400,M,15,15,False,23.0,19.0,2.0,,5.0,5.0,14.0,21.0,,5.0,,11.0,,,,90.0,49.0,7.6,10.0,5,,,4.0,,1.0,1.0,5.0,3.0,2.0,2.0,3.0,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
10407361,home,KAS Eupen,Nathan Bitumazala,nathan-bitumazala,N. Bitumazala,M,10,178,85,M,1010227,EUR,1039478400,M,17,17,False,30.0,28.0,,,11.0,11.0,18.0,20.0,,2.0,,6.0,,,,78.0,43.0,6.4,7.0,1,,,2.0,,1.0,1.0,6.0,,1.0,2.0,1.0,,,,1.0,,2.0,,4.0,1.0,,,1.0,,,,,,,,
10407361,home,KAS Eupen,James Jeggo,james-jeggo,J. Jeggo,M,,179,44,M,184791,EUR,697852800,M,4,4,False,39.0,30.0,2.0,1.0,15.0,16.0,15.0,23.0,3.0,4.0,2.0,7.0,,,,90.0,45.0,6.7,10.0,0,,,,,2.0,,2.0,,,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,
10407361,home,KAS Eupen,Stef Peeters,stef-peeters,S. Peeters,M,8,188,81,M,201988,EUR,697593600,M,8,8,False,42.0,33.0,6.0,2.0,6.0,7.0,30.0,44.0,,2.0,1.0,6.0,,,,90.0,68.0,9.1,18.0,3,,,,,,,1.0,1.0,3.0,,9.0,,,2.0,,,5.0,1.0,2.0,,1.0,,3.0,True,1.0,2.0,1.0,,,,
10407361,home,KAS Eupen,Regan Charles-Cook,regan-charles-cook,R. Charles-Cook,F,77,175,62,M,803116,EUR,857174400,M,10,10,False,21.0,15.0,4.0,3.0,5.0,7.0,11.0,16.0,,3.0,,6.0,,,,60.0,36.0,6.7,11.0,2,,,,1.0,1.0,1.0,6.0,1.0,,,2.0,,,1.0,,,1.0,1.0,4.0,,1.0,2.0,1.0,,,1.0,,,,,
10407361,home,KAS Eupen,Konan N'Dri,ndri-konan,K. N'Dri,F,11,174,429,M,978327,EUR,972604800,F,11,11,False,18.0,11.0,,,3.0,5.0,8.0,14.0,1.0,8.0,,1.0,,,,89.0,38.0,8.5,14.0,3,,,3.0,,,4.0,6.0,1.0,,1.0,1.0,1.0,,2.0,4.0,1.0,2.0,,2.0,,1.0,4.0,,,1.0,1.0,1.0,,,,
